perturbation,text_id,крупный,мелкий,средний
add_digits,coling::b1217276-7bc0-4410-b466-8118c7036ee5,-14.76,3.07,-7.14
add_digits,coling::b21c6524-7e1a-4589-933c-d0152005962d,-21.84,-2.96,-12.18
add_digits,coling::b27b582c-94a8-4076-8b94-e286cb9f2ca1,-15.85,20.16,-6.02
add_digits,coling::b535c4fe-fe84-4ce7-af76-446c58fe22a2,-17.2,3.74,-0.51
add_digits,coling::b53b4239-d0ed-4e79-b84e-c3496abd88eb,-11.91,1.02,8.3
add_digits,coling::b53fdf6a-f822-4baa-8af9-8f0d42fe78ea,-20.75,9.68,-6.3
add_digits,coling::bb048a1e-39f8-4c80-9db0-70176b1cc508,-12.42,-8.54,-10.55
add_digits,coling::bd4df89c-701f-407b-9fc6-2c51aa5be36c,-32.4,20.98,-14.36
add_digits,coling::be76162e-6297-4c2c-be8b-8be691cc5a5e,-18.53,2.84,-1.93
add_digits,coling::c0381ae0-3b9c-40a4-bc53-f4a76564adb9,-17.19,7.28,-0.58
add_digits,coling::c5dd6ecd-4882-4b86-be71-efecfae71001,-36.87,-5.56,-15.34
add_digits,coling::c7e45e24-dc16-40b2-9030-8200e20e46f4,-27.52,-1.05,-14.3
add_digits,coling::c986a4de-fede-44ef-b275-ef7634245f1b,-24.03,7.94,8.78
add_digits,coling::cbaa1dc4-0458-47d8-b3a6-f6f1b4b4c270,-22.31,1.36,-9.25
add_digits,coling::ce094fc2-a215-4a99-a6f1-dc2a198dfd49,-26.68,1.24,-17.25
add_digits,coling::d2400f57-c1e4-49a6-aaa9-1c92f1814051,-26.84,27.85,-8.07
add_digits,coling::d8e4451f-f606-413a-a2c5-5f2b5e9c789f,-27.5,8.07,-9.41
add_digits,coling::d9b96a87-ee9b-46e9-995f-edfccd85de77,0.2,14.71,7.36
add_digits,coling::da2d8730-7c13-4b32-befb-c2bbe666088c,-14.03,11.39,-12.51
add_digits,coling::dc12cc52-6173-4721-b8be-42699b3cf392,-22.61,-3.31,-7.13
add_digits,coling::dc1c93ce-9792-4a14-bd29-c025f2613860,-28.27,-1.18,-14.35
add_digits,coling::df393828-70be-448f-bbdb-11367e15a5fb,-20.33,13.8,-2.54
add_digits,coling::ef2146c2-c9fe-4563-b26a-b39f1bb94bdd,-11.98,22.09,-1.29
add_digits,coling::ef4cca12-c45c-4b1b-9c67-8db766ad0259,-20.18,4.46,-9.92
add_digits,coling::efafda31-a3f3-48d6-9d8f-b2b5d4b1143b,-9.18,8.43,-0.42
add_digits,coling::f05692cf-092b-40e0-9f4a-d3f7ccd65bf8,-26.94,-6.17,-10.25
add_digits,coling::f249dac3-f3a2-4db9-9758-e18c9f8ff33e,-26.92,13.75,-4.44
add_digits,coling::f2d66835-0de6-4a50-b3da-a170f0608965,-10.92,6.02,8.76
add_digits,coling::f3328e08-1b91-430d-bea9-e5b836b0102f,-5.98,7.94,-0.14
add_digits,coling::f4961832-eeb4-41fc-8a64-82c3010783ae,-24.38,17.47,0.28
add_digits,coling::f4f3b137-0da5-4cc5-a8e0-08f5a2849b41,-16.51,-13.6,-12.13
add_digits,coling::fedf3b3b-fd89-4a69-bc59-0ff4e485de6a,0.36,6.21,-0.01
add_punctuation,coling::019875e1-f507-4de8-a2a7-1f1dffeba025,-7.89,45.53,-6.78
add_punctuation,coling::0303abd4-4ede-45e6-94d9-7e4d99699a27,-1.94,34.14,-0.53
add_punctuation,coling::040c1d28-4583-4101-87e6-0631f517d0b5,-1.95,41.64,-7.62
add_punctuation,coling::049da962-b4ab-4271-80d7-6c08dd7157b9,3.58,17.97,-11.69
add_punctuation,coling::07106895-c293-4117-be28-f75985334b33,-18.03,13.98,-15.84
add_punctuation,coling::0a6f4d1d-1792-4bfc-a4cf-9fcf063648e1,1.06,39.27,-8.92
add_punctuation,coling::0b4651e6-8f56-467b-81ae-810fa7819810,-4.35,38.74,-7.58
add_punctuation,coling::0c653e8b-8157-47f3-bdaa-142023fb5739,-4.91,47.68,-12.88
add_punctuation,coling::108b67b9-1113-4b28-81da-e218ced4ceb9,10.72,59.08,-3.3
add_punctuation,coling::1770be09-c92d-43e3-ab15-7b7318ca2f96,-7.97,4.32,-16.69
add_punctuation,coling::17ad7e76-2fa1-4c9b-a42b-44a53287fb2e,-1.45,4.4,-4.57
add_punctuation,coling::1a16d27a-89fc-4df9-8b4f-cf2532a8cec8,9.61,24.57,-11.68
add_punctuation,coling::1c1fb589-36fc-45ac-bccc-1e9cced6c731,3.58,1.96,-8.38
add_punctuation,coling::1d5a005f-1162-4f21-a546-b8229951a6c2,-9.02,46.26,-8.18
add_punctuation,coling::1eb3e11f-345c-4e21-9971-65b1c025ebf0,2.27,28.03,-14.27
add_punctuation,coling::1eb5e451-a672-4645-8dea-c413ad11c953,8.73,33.46,-8.22
add_punctuation,coling::203e204e-a867-4d1d-97e8-bdd789e6fc2b,2.81,17.38,-7.79
add_punctuation,coling::22aa3208-6e8c-4005-9386-819f202c1c74,-16.61,38.7,-22.44
add_punctuation,coling::23d0bd02-f2a0-4752-971c-cac75280ef8f,-0.89,40.94,-4.33
add_punctuation,coling::28a6b262-a893-4fcb-a538-fc9aa5adc135,-11.25,25.23,-10.13
add_punctuation,coling::2b392f9b-db4c-468a-bf65-fc00202e096d,-14.38,33.28,-10.87
add_punctuation,coling::2e921a31-8ffa-4c78-8c4d-ef7e72432bc8,-1.22,19.16,-8.48
add_punctuation,coling::31049c2c-a6a8-44a9-acaa-b8e3b1237658,7.02,11.93,-5.56
add_punctuation,coling::32e519e5-5c7c-4bcb-a0ea-bfeb2b47c9d8,16.24,2.34,7.87
