токен,класс,k,размах,диаметр,мин. пара
Ġto,служ,3,0.5649136893331167,0.630227495122684,0.4572691042504885
Ġwith,служ,2,0.10203808160925995,0.10203808160925995,0.10203808160925995
or,подслово,3,0.3122627845819222,0.3765078661465859,0.20738809087633658
ER,подслово,2,0.6021949855271308,0.6021949855271308,0.6021949855271308
Ġcharge,смысл-редк,2,0.53018379853319,0.53018379853319,0.53018379853319
Ġfees,смысл-редк,3,0.502793256584168,0.607810817234986,0.31990811126804014
ĠAdmiral,смысл-редк,2,0.5141203743647776,0.5141203743647776,0.5141203743647776
ĠBro,смысл-редк,2,0.2418131500581501,0.2418131500581501,0.2418131500581501
ĠER,смысл-редк,2,0.4356024553093032,0.4356024553093032,0.4356024553093032
Ġlower,смысл-част,2,0.6759334847736737,0.6759334847736737,0.6759334847736737
Ġyou,служ,3,0.4197699888143465,0.4906125018806877,0.35288860139120587
Ġand,служ,5,0.5017019809683746,0.6193555899292132,0.36049038556134255
ĠE,смысл-част,4,0.3852134423078451,0.4398506248242906,0.28550819283156625
),пункт,3,0.20761535531564987,0.2342775312933881,0.16353296988218521
Ġexpense,смысл-редк,2,0.5226656061393705,0.5226656061393705,0.5226656061393705
Ġcharge,смысл-редк,3,0.4913272556597763,0.525675448617431,0.44075469732816536
Fs,подслово,2,0.3579713430448674,0.3579713430448674,0.3579713430448674
.,пункт,11,0.9007388551643108,1.3542163323779652,0.09023898424824055
Ġclass,смысл-част,2,0.45379001772537464,0.45379001772537464,0.45379001772537464
Ġfor,служ,3,0.48364874433237764,0.5249471002746278,0.4490906534325229
Ġ(,пункт,3,0.3924965494108124,0.40375864340103595,0.38550866537692646
ker,подслово,4,0.3529640524256546,0.5079351341592224,0.1695582975928533
).,пункт,2,0.31629786499293994,0.31629786499293994,0.31629786499293994
ĠET,смысл-редк,2,0.4983473455914411,0.4983473455914411,0.4983473455914411
angu,подслово,3,0.35139913535903106,0.4019047061120354,0.28162171237181943
Ġthey,служ,3,0.2816417195563083,0.3307067630738785,0.22902318497065255
",",пункт,5,0.5396610301287553,0.6790697587542138,0.4331633335277263
ĠInvest,смысл-редк,3,0.36132751732968516,0.42049778802793397,0.2905617856407065
Ġwith,служ,3,0.31410606987877476,0.3972643118418286,0.15141414506814904
ard,подслово,2,0.3161338663578469,0.3161338663578469,0.3161338663578469
Ġinitial,смысл-редк,3,0.2875470165828155,0.35220009940459424,0.17233894541011238
Ġyour,служ,2,0.3658645294681292,0.3658645294681292,0.3658645294681292
Ġmutual,смысл-редк,3,0.4504633414054996,0.5154991066412739,0.3993740969396497
ĠER,смысл-редк,2,0.47473715466245475,0.47473715466245475,0.47473715466245475
age,подслово,2,0.31051468194051984,0.31051468194051984,0.31051468194051984
's,подслово,2,0.2908784603235407,0.2908784603235407,0.2908784603235407
Ġtrading,смысл-редк,3,0.3781362400075317,0.4855920048118374,0.30575246083190083
  ,пункт,8,0.27074947734136134,0.41522678673721075,0.13625452531034823
Ġbuy,смысл-част,2,0.5394673365966103,0.5394673365966103,0.5394673365966103
Ġlower,смысл-част,2,0.670185771098588,0.670185771098588,0.670185771098588
Ġhave,служ,2,0.5069458080805207,0.5069458080805207,0.5069458080805207
ĠV,смысл-част,3,0.3468612139674554,0.38749508605427274,0.29780697509460863
TF,подслово,2,0.3852913641801443,0.3852913641801443,0.3852913641801443
Ġto,служ,3,0.5618473372180828,0.6609593307675337,0.452008760562543
Ġfunds,смысл-редк,3,0.36491141483988215,0.400679287009262,0.33667345076971056
Ġthat,служ,2,0.3792608993701922,0.3792608993701922,0.3792608993701922
Ġpurchase,смысл-редк,2,0.6092417443590818,0.6092417443590818,0.6092417443590818
06,пункт,2,0.2534403115160508,0.2534403115160508,0.2534403115160508
Ġof,служ,2,0.6213034197432806,0.6213034197432806,0.6213034197432806
Ġher,служ,2,0.421939302846085,0.421939302846085,0.421939302846085
Ġsat,смысл-редк,2,0.42482565465805494,0.42482565465805494,0.42482565465805494
Ġhe,служ,4,0.5155596011737548,0.6440147469907685,0.41064206800547803
