mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,genre,text_idx
q_small,0.3,16.42536022990961,1.0835831884945366,0.9391185346316449,3.214024703614593,0.9999085561779159,0.0045885096606032945,0.007041827956697944,0.004016358328868445,7,41,201,xsum,1
q_small,0.35,17.965702883159302,0.925397571934438,0.9443383870643113,3.1260240048504255,0.9999539134116393,0.0032755114922448617,0.004830780483512598,0.002867080781399568,7,41,201,xsum,1
q_small,0.4,19.114094016931478,0.7965192280785424,0.9476825844262255,3.039435213631946,0.9999735387491514,0.002490737884065496,0.003588304374453344,0.0021801623153560805,7,41,201,xsum,1
q_small,0.45,19.976264652688435,0.7246452124786693,0.9499405911272096,2.9503495931187733,0.9999817289754789,0.002074608051670297,0.0031173630084051496,0.0018159206242943811,7,41,201,xsum,1
q_small,0.5,20.67678280234355,0.6930811678886946,0.951636576658983,2.855448754972662,0.9999854903216608,0.0018520698630710179,0.0028538934142066097,0.0016211312104360924,7,41,201,xsum,1
q_small,0.55,21.335266269104764,0.6658349380739912,0.9531292467885398,2.7516916402061002,0.9999882238809236,0.0016711277202822944,0.002640315235995061,0.0014627511402201692,7,41,201,xsum,1
q_small,0.6,22.059149504963,0.6194953771505473,0.9546673365727444,2.6357914062759193,0.9999911083348619,0.0014544531601515202,0.0023241465869139333,0.0012730942061382816,7,41,201,xsum,1
q_small,0.65,22.900005181709613,0.5488974122000448,0.9563318876102829,2.504280611505814,0.9999940105054609,0.0011958018473129904,0.001906992829239229,0.0010466946926946943,7,41,201,xsum,1
q_small,0.7,23.84912633349289,0.4205668170765208,0.9580697428485825,2.3527166105073394,0.9999970217951114,0.0008447520479686138,0.001293119453181113,0.0007394180626485443,7,41,201,xsum,1
q_small,0.75,24.92064981431475,0.27847048477939457,0.959872635446866,2.1738597303627665,0.9999989089034045,0.0005122708500854491,0.0008869250211915869,0.0004483946744282756,7,41,201,xsum,1
q_small,0.8,26.07015838400771,0.2721362752391728,0.9616419668315697,1.9557899966412122,0.9999991331558837,0.00045744437843853517,0.0006950777646377304,0.0004004046357601212,7,41,201,xsum,1
