текст,условие,проекция,"доля > 0, %"
12,20 чужих хапаксов [случайная ось],0.0013857269624309948,57.6271186440678
12,маркер каждые 3,-0.018879730079418018,45.97701149425287
12,маркер каждые 3 [случайная ось],0.02650640839209372,87.35632183908046
12,без пунктуации,0.072439135533451,95.3125
12,без пунктуации [случайная ось],0.007328746271352299,70.3125
12,без служебных,0.07511811774777158,92.95774647887323
12,без служебных [случайная ось],0.001220595467249556,53.52112676056338
13,исходный,-0.021214631861215773,25.0
13,исходный [случайная ось],0.0007234429720534694,52.27272727272727
13,перемешивание,0.31695244328315764,100.0
13,перемешивание [случайная ось],-0.011593970806740302,21.153846153846153
13,эхо x2,0.0243259073258427,68.08510638297872
13,эхо x2 [случайная ось],0.00162563723436787,55.319148936170215
13,эхо x4,-0.011906948334163956,42.857142857142854
13,эхо x4 [случайная ось],0.0037384068457774903,57.14285714285714
13,эхо на четверти,0.015288466658313531,62.5
13,эхо на четверти [случайная ось],0.00557420320461922,77.08333333333334
13,словарь к 25,0.0043381465724176066,48.529411764705884
13,словарь к 25 [случайная ось],0.0025965741745483753,57.35294117647059
13,словарь к 60,0.05217049267968664,85.45454545454545
13,словарь к 60 [случайная ось],0.003961473439251781,58.18181818181818
13,все слова разные,0.21225479956558613,100.0
13,все слова разные [случайная ось],-0.005795288090200334,29.411764705882355
13,чужие хапаксы,0.12484491561133566,100.0
13,чужие хапаксы [случайная ось],-0.002421284013468654,43.63636363636363
13,хапаксы одного домена,0.11732766400003428,100.0
13,хапаксы одного домена [случайная ось],-0.0005467351827915161,55.10204081632652
13,20 чужих хапаксов,0.038703185757159635,84.61538461538461
13,20 чужих хапаксов [случайная ось],-0.0016039961082213003,51.92307692307693
13,маркер каждые 3,-0.0674617444637422,28.985507246376812
13,маркер каждые 3 [случайная ось],0.016255822230548646,82.6086956521739
13,без пунктуации,0.1616070609872551,100.0
13,без пунктуации [случайная ось],-0.004394549061708511,43.13725490196079
13,без служебных,0.1057221829611256,100.0
13,без служебных [случайная ось],-0.009612223611093075,21.27659574468085
14,исходный,-0.05930585463696639,11.11111111111111
