текст,условие,зерно,типов k>=2,радиус по типам,радиус по токенам,"до ближайшего, прочие",прочие: доля на оси,прочие: смещение,экземпляров маркера,"доля выборки, %",радиус маркера,радиус прочих,"до ближайшего, маркер",до ближайшего центра,зазор маркера,"коротких рёбер маркерных, %",маркер: доля на оси,маркер: смещение
10,маркер каждые 3,1,23,0.30263038154242766,0.314391190706579,0.5903353513209556,0.013314343057572842,0.5368118806764112,49.0,24.378109452736318,0.30975905630670275,0.30230635087132424,0.3057560539380789,0.8348067015013463,1.0631826359533176,70.0,0.04564496502280235,0.7850029872188826
10,маркер каждые 3,2,20,0.31174310183761683,0.32709285283543776,0.5980388507306784,0.018011488020420074,0.533023393390867,31.0,15.422885572139302,0.30047812145175223,0.31233599554213604,0.315063425458604,0.8293449709215062,0.9622520356250941,62.5,0.050648823380470276,0.7772635457516318
11,исходный,0,39,0.2653566656286007,0.2950850994730634,0.5413077666043616,0.012758458964526653,0.4556115592775367,,,,,,,,,,
11,исходный,1,30,0.3016070676638208,0.33086077192041063,0.5360529899282256,0.01269181165844202,0.4393153368603706,,,,,,,,,,
11,исходный,2,31,0.27249536034643757,0.2984702358709897,0.5301778199148967,0.014467463828623295,0.4447920422307015,,,,,,,,,,
11,маркер каждые 3,0,27,0.2885158774779595,0.3200608248399499,0.5622873387463094,0.04270503297448158,0.5771434616690572,47.0,23.383084577114428,0.31689963643080304,0.2874241944413117,0.32521741913593044,0.7845967681599295,0.8162420843907151,60.0,0.022613519802689552,0.7612552048960065
11,маркер каждые 3,1,30,0.30859571164918354,0.3396476113095011,0.5687658057175695,0.04580910876393318,0.5890445895995208,47.0,23.383084577114428,0.32390989326715375,0.3080676364209776,0.3385137682593328,0.780574476133894,0.8006986530581258,72.5,0.019522953778505325,0.7555952817579091
11,маркер каждые 3,2,28,0.30674750445481935,0.34094023434489285,0.5634242657801716,0.040340278297662735,0.5800471797174834,43.0,21.393034825870647,0.31980307190299995,0.3062639649197014,0.32896973318495115,0.7747133164434072,0.84248844661969,55.00000000000001,0.021116632968187332,0.758988671797152
12,исходный,0,32,0.2856173515811969,0.3306555141867169,0.5157908049765174,0.014990986324846745,0.47618073646654363,,,,,,,,,,
12,исходный,1,35,0.27834695119236463,0.32245194360455864,0.5296063780345626,0.013502266258001328,0.4819758435913122,,,,,,,,,,
12,исходный,2,33,0.2872585639011637,0.34724588742303975,0.5263055235755915,0.015603197738528252,0.4865303241038324,,,,,,,,,,
12,маркер каждые 3,0,22,0.3071562912545864,0.33533893616831945,0.592246798012298,0.026787638664245605,0.5702731734841133,42.0,20.8955223880597,0.3413603241740705,0.30552752778222997,0.3482606988395305,0.7830892233013704,0.7458452643626516,60.0,0.02521444857120514,0.7545120221280909
12,маркер каждые 3,1,25,0.30463084614431,0.34107100115630956,0.5705131603754733,0.026322057470679283,0.5826592749113642,44.0,21.890547263681594,0.3338329546199448,0.3034140916244919,0.3412525140793195,0.7771887296286228,0.7778682328911133,55.00000000000001,0.025370372459292412,0.7369810282357305
12,маркер каждые 3,2,26,0.3034518629695553,0.3374147754656459,0.5760839192370579,0.027751682326197624,0.5764393531789795,32.0,15.92039800995025,0.3231560705667254,0.3026636946656685,0.35498157722528206,0.7542556606430418,0.7568519071982521,47.5,0.025973042473196983,0.7217039197858293
13,исходный,0,27,0.28956289410949876,0.341889286615713,0.5345589733373416,0.014180691912770271,0.4751613510949924,,,,,,,,,,
13,исходный,1,31,0.2726193196656943,0.32554064684165307,0.5323969368413837,0.013103868812322617,0.48849124630558455,,,,,,,,,,
13,исходный,2,34,0.2903468032220258,0.3390976924894869,0.5401583672713938,0.014344274997711182,0.488839738486425,,,,,,,,,,
13,маркер каждые 3,0,23,0.3371794934803079,0.36724198265686453,0.5775148948908034,0.015198576264083385,0.5738179951993042,40.0,19.900497512437813,0.3436653312914011,0.3368846826707127,0.3126948710478482,0.7323210566730013,0.7924869603662128,72.5,0.041082028299570084,0.731988851583721
13,маркер каждые 3,1,19,0.3307236545917667,0.3643619282730013,0.6055828845248897,0.014936319552361965,0.558941488308221,36.0,17.91044776119403,0.3630661313356777,0.3289268503282161,0.32448121118621237,0.7764285431479506,0.8535151179812059,70.0,0.041716501116752625,0.7482428332966907
13,маркер каждые 3,2,23,0.34686315574458015,0.3822323520562353,0.5713130984417383,0.012635698541998863,0.5835834975752479,47.0,23.383084577114428,0.34602605442618545,0.3469012058045071,0.32123216960616935,0.7801768753009591,0.8473111451424375,67.5,0.04563401639461517,0.7434377032205532
14,исходный,0,30,0.32562244906896604,0.3752318118639461,0.5623976548628934,0.02619021013379097,0.4852573559218544,,,,,,,,,,
14,исходный,1,29,0.31835838899767,0.3714722726419127,0.5784830022518219,0.027006616815924644,0.4763264803396774,,,,,,,,,,
14,исходный,2,28,0.32166434762175866,0.36422220571400127,0.5759505157621378,0.027812516316771507,0.486950700855246,,,,,,,,,,
14,маркер каждые 3,0,20,0.3547816430607034,0.37689467429098666,0.631755571553861,0.02446255087852478,0.6061430789642364,51.0,25.37313432835821,0.3251679194240668,0.35634026009421066,0.3310457682895617,0.8061136239988093,0.7779619540397182,80.0,0.02949991263449192,0.7690071315847051
14,маркер каждые 3,1,21,0.32374424929000206,0.3545382742349235,0.590893559481593,0.01828760653734207,0.58616529239908,46.0,22.885572139303484,0.3104970777062454,0.3244066078691899,0.3230525270638793,0.7987057389918957,0.7754341117496276,70.0,0.03057418391108513,0.7541001824660772
14,маркер каждые 3,2,23,0.3029051220032496,0.33404500689698274,0.6030686864477571,0.021570567041635513,0.5842602431014253,44.0,21.890547263681594,0.3180529017607944,0.3022165865597248,0.326707897434871,0.8431288732412779,1.0872459902646627,82.5,0.02973935753107071,0.771224470946364
15,исходный,0,31,0.2739849694309084,0.3032266706489286,0.5684452006539832,0.014849953353404999,0.4486393519211743,,,,,,,,,,
15,исходный,1,29,0.2798654070142281,0.3176453229018965,0.5888095770565482,0.013739580288529396,0.4533688324468921,,,,,,,,,,
15,исходный,2,36,0.2621925029701533,0.3086051924162388,0.5675502111956781,0.016277294605970383,0.45852458985215777,,,,,,,,,,
15,маркер каждые 3,0,25,0.33352170546556886,0.355774356141072,0.6071664776019411,0.03654348850250244,0.5904575716077548,32.0,15.92039800995025,0.3339318214437243,0.33350461729981234,0.3615552150445372,0.8078237336453099,0.7610190313266518,50.0,0.03224513679742813,0.7814368349703052
15,маркер каждые 3,1,33,0.2886636613809105,0.3197421424024361,0.5870186058105282,0.033525511622428894,0.5802366654121741,40.0,19.900497512437813,0.333510613946203,0.28726219411324505,0.3567357971359316,0.8201322688680819,0.8156652600767951,62.5,0.03038865327835083,0.781454113515558
15,маркер каждые 3,2,31,0.304634155661948,0.3189876025010095,0.5677124593174683,0.03413845971226692,0.5948306157106266,36.0,17.91044776119403,0.3191663615456035,0.3041497487991595,0.35156671499563535,0.8519503852885855,0.8854581618425637,52.5,0.03351432830095291,0.7754773232797607
16,исходный,0,27,0.28069661052487993,0.356211741998452,0.5859614777451926,0.0233641117811203,0.4868763718122825,,,,,,,,,,
16,исходный,1,25,0.28733179633407585,0.3822663242095413,0.5709079864506678,0.019225727766752243,0.4969292932907193,,,,,,,,,,
