текст,условие,n,общее направление,низкий PMI: направление,высокий PMI: направление,низкий PMI: взаимное расст.,высокий PMI: взаимное расст.
26,перемешивание,178,0.25531741976737976,0.3299875259399414,0.18355685472488403,0.9303080275110096,0.955229076322174
27,исходный,167,0.12265005707740784,0.15146373212337494,0.10281625390052795,0.9564053213163756,1.0234288976958974
27,чужие хапаксы,159,0.21242812275886536,0.277314692735672,0.14645932614803314,0.8436598291913718,1.0538500839520986
27,перемешивание,162,0.2527030408382416,0.32147032022476196,0.18222559988498688,0.9104444986938472,0.9950770007667527
28,исходный,166,0.10711240023374557,0.14796657860279083,0.07077952474355698,0.9187833361878113,1.01063676593693
28,чужие хапаксы,171,0.09910031408071518,0.12184374034404755,0.0777163952589035,0.8862292493338545,1.023089894492292
28,перемешивание,164,0.23049581050872803,0.2688473165035248,0.1608753502368927,0.8778372589740652,0.9866218156478996
29,исходный,171,0.07829546928405762,0.06773071736097336,0.08417250961065292,0.9876973850297962,0.9822474336464835
29,чужие хапаксы,161,0.17443135380744934,0.2532338500022888,0.14680518209934235,0.8296768940550553,1.072792693012553
29,перемешивание,169,0.2977704703807831,0.3826843500137329,0.2183043360710144,0.9177300480492814,1.0178068976702503
30,исходный,173,0.10624141246080399,0.07998256385326385,0.10961390286684036,0.8934884560950128,1.0019736569167805
30,чужие хапаксы,172,0.14027944207191467,0.1606033742427826,0.1349366307258606,0.8785706746909142,0.9712622983429989
30,перемешивание,175,0.32479986548423767,0.34121254086494446,0.2598692774772644,0.9017681401334783,0.9785810947374253
31,исходный,167,0.11451530456542969,0.13068430125713348,0.10953319817781448,0.9627447631241685,0.9789291183550909
31,чужие хапаксы,160,0.1658114194869995,0.19117756187915802,0.13356703519821167,0.9110301857390349,0.9997378927027559
31,перемешивание,170,0.27878284454345703,0.3427709639072418,0.2331867665052414,0.9201783263623959,1.0535078276916474
32,исходный,163,0.0995199903845787,0.18114303052425385,0.020974718034267426,0.8970564167121163,0.9555453685713845
32,чужие хапаксы,150,0.11749333888292313,0.1681530922651291,0.12799802422523499,0.8855686541867208,0.9188592924627632
32,перемешивание,163,0.24001003801822662,0.3080901503562927,0.25373145937919617,0.8932326525462629,1.0223819061737955
33,исходный,172,0.16662625968456268,0.17899632453918457,0.10676025599241257,0.9436982819872807,1.04582369077783
33,чужие хапаксы,163,0.14610134065151215,0.2110104262828827,0.08632971346378326,0.8165782300905079,1.0650814821031394
33,перемешивание,166,0.27790844440460205,0.3293890655040741,0.19595180451869965,0.9219222525208132,1.0037042497707016
34,исходный,156,0.08430194109678268,0.0926089659333229,0.05320506915450096,0.9407453642313598,0.9988146842008614
34,чужие хапаксы,154,0.1460125595331192,0.1798211932182312,0.11436548084020615,0.8874051523651597,0.9922728421578096
34,перемешивание,162,0.24995318055152893,0.3233993947505951,0.19161514937877655,0.9151724122895987,0.9635167443111559
35,исходный,163,0.1286039501428604,0.16238798201084137,0.10349259525537491,0.948401082160629,0.9858498978308874
35,чужие хапаксы,165,0.24701862037181854,0.25923365354537964,0.21184733510017395,0.9278139042686506,0.9968075685134277
35,перемешивание,161,0.30532658100128174,0.3632782995700836,0.2755385637283325,0.8631346401496226,0.9845409230822719
36,исходный,174,0.14415261149406433,0.15636086463928223,0.1459900438785553,0.9512465464909852,0.9651642849103644
36,чужие хапаксы,173,0.22301706671714783,0.27254971861839294,0.18170227110385895,0.905082924448447,0.9671448686381608
36,перемешивание,170,0.29290446639060974,0.3256694972515106,0.26484617590904236,0.938648484631421,0.9459335306462513
37,исходный,180,0.12190505117177963,0.11326219886541367,0.13152797520160675,0.964822721997507,0.9650582050137606
37,чужие хапаксы,185,0.1736721247434616,0.25719693303108215,0.1740582287311554,0.8536545523368717,0.9741810606206287
37,перемешивание,179,0.30888301134109497,0.34746262431144714,0.22956785559654236,0.8985981471015209,0.9279289973105134
38,исходный,177,0.11875708401203156,0.11106722801923752,0.13237956166267395,0.8807856443780264,0.9500966797990005
38,чужие хапаксы,174,0.20177516341209412,0.2248738557100296,0.2119617462158203,0.8209936251377117,0.9858941469126793
38,перемешивание,181,0.3207380175590515,0.37639522552490234,0.27693745493888855,0.8763250604361212,0.9557541808252514
39,исходный,172,0.14713941514492035,0.171089768409729,0.11701566725969315,0.9080017020563745,0.9618683113973748
39,чужие хапаксы,171,0.25976648926734924,0.32800570130348206,0.22105853259563446,0.8722346610914955,1.0187244840426553
39,перемешивание,181,0.33417195081710815,0.36744245886802673,0.28197959065437317,0.8911679433313555,0.9374842735470514
