mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,arm,genre,text,L_used,seed
q0.5_range,0.0,8.180593665386414,1.3928979864574877,0.877759482880664,2.8867934786512555,0.9966376970996071,0.026975082550345395,0.056448030197151056,0.020813718065411636,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q0.5_range,0.2,18.33152892230605,1.4930611201407897,0.9454491764304948,2.7843098638545944,0.9998675116317508,0.0057582872358554,0.012250343054482471,0.004443039862549677,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q0.5_range,0.4,37.65056139177047,5.015919444980384,0.9734399710645861,2.7304966796106083,0.9999207291064729,0.004585859615320528,0.008303811841539499,0.0035384058211016083,8,20,100,fixed_L_small,xsum,xsum_1,100,0
q_small,0.0,9.125597188782546,0.43803912032893844,0.8904181305274761,3.6807702499266317,0.9997906596461614,0.006829138053527504,0.013558200259445208,0.005260055283477705,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q_small,0.2,12.28570433069699,0.8023377373220149,0.9186045852087287,3.4218671139496624,0.9997991272674724,0.006901328249141593,0.01037496098138746,0.005315658848214405,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q_small,0.4,20.887669230227843,1.5630420140147276,0.952124864245129,3.0233120522761934,0.9999150608472994,0.004651213472429056,0.0065436012309305625,0.003582537035928821,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q_small,0.6,21.763509296679402,1.2030204022835127,0.9540515278869766,2.644857676151513,0.9999574774398454,0.0032975449610398487,0.006349946729411471,0.0025398913682618354,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q_small,0.8,23.342687775301215,1.5366389180383826,0.9571600318855271,1.9812054248529531,0.999947916551522,0.0036613874591590683,0.007021872985988331,0.002820136347874916,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q_large,0.0,9.125597188782546,0.43803912032893844,0.8904181305274761,3.6807702499266317,0.9997906596461614,0.006829138053527504,0.013558200259445208,0.005260055283477705,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q_large,0.2,7.519419335968273,0.3031329990966292,0.867011007722815,3.497438031252502,0.9997706326397117,0.00696049603196128,0.008567959562388872,0.005361232067878869,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q_large,0.4,5.9050548604158655,0.19991088340040783,0.8306535631525742,3.3153962036755344,0.9997142643662119,0.00744327643325726,0.010783494168944863,0.005733087429520692,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q_large,0.6,4.619809253715534,0.45829428136182737,0.7835408465845773,2.9931981902400917,0.9955139098316668,0.027878662404431407,0.05358524512219809,0.02147317923979791,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q_large,0.8,3.2894976438688848,0.15718843844658761,0.6960022142396589,2.4448052710862567,0.9973931306788447,0.018859797433842862,0.03775652696620835,0.014526515112102921,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
