текст,условие,"радиус, абс","каркас: парная, абс","каркас: ребро MST, абс","каркас: до ближайшего, абс","облако: парная, абс",r / ребро каркаса,норма вектора
4,исходный,7.337878227233887,30.480126072681653,22.81564165940272,22.309527194223506,31.46136875112538,0.3215731165662778,37.545118967692055
4,перемешивание,7.9303544362386065,29.051069361254235,21.75026969897968,21.36261283670447,30.62923959741633,0.36462279874988185,37.368604024251304
4,эхо x4,5.27497132619222,33.931394198521865,26.536110236673192,25.930028470184695,34.48424082869752,0.1988304281582737,36.95805994669596
4,чужие хапаксы,7.403199831644694,28.65188001600306,21.39515746828138,21.056427920627762,30.18055728966804,0.34602705167497233,37.62975565592448
4,без пунктуации,8.173951307932535,27.740141948872594,21.443866311799596,21.138882937789425,28.793277138138823,0.38118027635295454,37.15408452351888
5,исходный,8.14876397450765,32.211468905397496,24.22584863725619,23.637163914596258,33.07567487025536,0.33634664909779266,38.3192392985026
5,перемешивание,8.543976465861002,29.00281297479133,22.07541878799012,21.636152918730357,30.495522079849195,0.38703298592304664,37.64736557006836
5,эхо x4,5.294357140858968,33.12520170511788,26.253920243351885,25.708108089576445,33.889523880761594,0.20167636512588896,36.99658711751302
5,чужие хапаксы,8.086545944213867,29.77866907917793,22.557487000239576,22.14750607907071,31.296423385528474,0.35850842527818233,37.999396006266274
5,без пунктуации,8.198713302612305,27.872895239543407,21.23054191882819,20.790471396786558,28.934497705685615,0.38616037418865784,37.547332763671875
6,исходный,8.980913798014322,31.363753226822535,24.13503401617196,23.744422177049817,32.59878057176184,0.37210273865555993,38.04867172241211
6,перемешивание,9.684633255004883,30.18079790404008,23.42310551209881,23.100769552611,32.13011595059865,0.41346386074853586,37.8226318359375
6,эхо x4,6.478592236836751,33.87452325925603,27.02356416602124,26.62458613154341,34.60260652344624,0.2397978690901108,37.335245768229164
6,чужие хапаксы,8.366920153299967,29.603622926314955,22.46911184364244,22.096071983447697,31.217257641016246,0.37238794799728225,38.073282877604164
6,без пунктуации,8.580408414204916,27.807620478765827,21.70631220984392,21.417686924409384,28.832109969154704,0.3953530309445366,37.36422348022461
7,исходный,8.061761538187662,29.356265598864496,22.58488351660563,22.136641918856565,30.416624977480307,0.35694401224128686,37.863260904947914
7,перемешивание,8.382871309916178,28.21814986544968,21.602434508487097,21.263747545137246,29.477524425118293,0.3881318338276836,37.22616449991862
7,эхо x4,5.6341986656188965,31.74021786978229,25.727810551286755,25.384973332517777,32.4739572094527,0.21898825828164248,36.66142781575521
7,чужие хапаксы,7.780398368835449,28.424868012983293,21.813568411867085,21.44256771950857,29.77606666316603,0.35669279023188594,37.77653884887695
7,без пунктуации,8.098797480265299,27.45985027439166,21.46687906420731,21.184073078808435,28.502786434668483,0.3772779360249325,37.371716817220054
8,исходный,6.987099011739095,30.29891782687584,22.575071930073022,22.212149369396986,31.44456062617678,0.30958490514232134,37.30370585123698
8,перемешивание,8.839871724446615,28.37552665982985,21.81030903079046,21.484765171982886,29.838971701714826,0.40531802421346635,37.0288340250651
8,эхо x4,5.103346506754558,33.713434265049784,26.478713079766596,26.06647209467241,34.14565014769906,0.19273580079599287,36.61749267578125
8,чужие хапаксы,7.586971759796143,28.9351069141855,21.83578873352138,21.543896306877087,30.428558469270197,0.34745612065524417,37.16178639729818
8,без пунктуации,6.718366622924805,27.745884762823916,21.212980649505173,20.861915086230606,28.86591419308806,0.3167279818050596,36.91258875528971
9,исходный,9.501803080240885,32.445311100202794,24.735846624526044,24.321765227122327,33.213195818254114,0.384127646462338,37.69564692179362
9,перемешивание,10.345904350280762,28.03504713231679,22.220790154835367,21.993180394258673,29.762696071893657,0.4655826013515216,37.369258880615234
9,эхо x4,6.450501918792725,32.695494154106434,25.87712764533657,25.397373340191166,33.383304288905904,0.24935797883027425,37.34313837687174
9,чужие хапаксы,9.808631896972656,30.969673014342806,24.040478229486666,23.59905572236542,32.814179661863726,0.40792441292010756,37.609945933024086
9,без пунктуации,10.37394110361735,29.275336752588014,22.93474147002176,22.64128433788189,30.99654198866037,0.45241722537016377,37.24189376831055
10,исходный,8.141548951466879,30.47702935120761,22.954354361588702,22.456719901418293,31.39844005245519,0.3546777341964262,38.16914494832357
10,перемешивание,8.800089836120605,29.145635827452818,22.368146105109176,21.99585284597897,30.620623462533533,0.39347183483926323,37.56301498413086
10,эхо x4,5.1494855880737305,33.34747108206188,26.76796233605418,26.379930489629675,33.8025733404792,0.1923723934620798,37.01683044433594
10,чужие хапаксы,8.441614786783854,29.04196002186903,21.919538646283268,21.577280523502925,30.868136619164222,0.3851559190669445,37.917555491129555
10,без пунктуации,8.147797584533691,27.032037791487507,20.881407022271933,20.576245614640644,27.97111829827348,0.3902317526734535,37.278368631998696
11,исходный,8.03461742401123,31.601821539689016,24.09043328466656,23.697903618166478,32.57187898733821,0.33361228746867616,37.94007110595703
11,перемешивание,8.880613009134928,28.22840043649091,21.965737672086078,21.688681830086995,29.56402654376943,0.40431281708271904,37.24931716918945
11,эхо x4,5.792505582173665,33.5962056375634,26.777159191860733,26.39527818018517,33.89727383886231,0.21636857969651876,36.978617350260414
11,чужие хапаксы,7.345168590545654,29.445968001444967,22.43663774898278,22.178727239911222,30.728073822636073,0.32737649668791846,37.604496002197266
11,без пунктуации,8.289470672607422,28.607489465245592,22.34667794263918,22.050088778740285,29.713803893144213,0.37092739635563654,37.42114003499349
12,исходный,8.721359888712565,31.100766558652214,23.72498253088784,23.196752010154245,31.88056914139465,0.3676225911366024,37.81597137451172
12,перемешивание,9.270130475362143,28.71333928071952,22.659408711176336,22.352808947844363,30.343724498131312,0.40912447742124974,37.54985046386719
12,эхо x4,5.773362636566162,32.68167912483185,26.056069936235485,25.705480374758938,33.26570916195505,0.22150374851103463,37.15351359049479
12,чужие хапаксы,8.319324493408203,29.182998316228492,22.100244637995583,21.732537452494686,30.832100522537313,0.3764674351537513,37.72579447428385
12,без пунктуации,8.830776532491049,30.17286089012684,23.189265165758783,22.831972858256236,30.979346941610874,0.3807871550237308,37.58344650268555
13,исходный,9.258511543273926,32.78186737522038,24.718071980113354,24.31661771936712,34.522151816072856,0.3747049152044288,38.02460606892904
13,перемешивание,9.235768953959147,29.745918605288455,22.914640221372878,22.551425913911554,32.01366231776232,0.40315938175576616,37.854330698649086
13,эхо x4,6.665859699249268,34.39721903892855,26.862766296198327,26.53448896224215,35.192923659054806,0.2481786141773943,37.22943623860677
