текст,условие,стоков,норма стока,норма прочих,косинус стока с общим,разброс внутри стока,сток → облако,масштаб,сток: проекция на ось,сток: смещение,прочие: проекция на ось,прочие: смещение
12,исходный,6,26.204102,37.785015,0.9986755847930908,0.029088230361457582,1.0356792741813932,32.22444642484406,0.1650989237785961,0.9869263688740544,-0.012158104424122398,0.4662408121954926
12,чужие хапаксы,10,26.623997,37.758804,0.9982627630233765,0.14603650853207795,1.118532835975581,30.47534762108432,0.1695472460308062,1.0575269154243774,0.07863266416283897,0.5002035299727936
12,перемешивание,5,26.911295,37.574543,0.9885522127151489,0.24625714074554822,1.0379650949495063,30.346485185266552,0.2079968894887429,1.063917342943607,0.3298213202427845,0.68855127558987
13,исходный,3,26.345102,38.0242,0.9997645020484924,0.06228266214776608,0.9276705473160642,35.22908081637995,0.17558980155662082,1.0048511522881736,-0.02301637324318868,0.46761834364682314
13,чужие хапаксы,5,26.171116,38.066624,0.9981682300567627,0.0380283989448363,1.04781262442461,32.285234694454964,0.13507455636549903,1.0687712707555919,0.11469978576393539,0.5216096531109443
13,перемешивание,3,26.337866,37.779198,0.9998538494110107,0.06330861292684042,1.0789827049076055,31.510014079697438,0.1966073783867507,1.2058275670591987,0.3232901220301481,0.6652395652959648
14,исходный,8,26.241856,38.386383,0.9996222257614136,0.0644210142199062,1.1252949816080375,31.10354558527272,0.1695587584994965,1.1808186231801716,-0.05357442010051448,0.4638090668278198
14,чужие хапаксы,4,26.256468,38.35817,0.9998309016227722,0.05930169340272049,1.2132133998304715,29.57029034155166,0.2054457476796764,1.3550476633544166,0.10280989536362174,0.5305454858536259
14,перемешивание,6,26.325577,38.0756,0.9997955560684204,0.07856738249503827,1.2430751340408646,28.705196807883283,0.22732388286327143,1.4559090641038586,0.3399062328349493,0.6849751954384528
15,исходный,4,26.284588,37.65762,0.9995378851890564,0.056058357458663374,1.0482647807396677,31.931890188164324,0.1638738690449275,1.0424307778081454,0.007257858298818907,0.43931403958941534
15,чужие хапаксы,4,26.161747,37.507935,0.9979355335235596,0.03066946621419397,1.102654239851032,30.477755423634775,0.1407645757667436,1.1512572874674252,0.11584253911996614,0.5022354972625229
15,перемешивание,5,26.457355,37.05606,0.9990320205688477,0.08235502527482975,1.2318845900922613,28.069982992154912,0.2054346185746283,1.3005552979564365,0.31804561689841304,0.6820521123214686
16,исходный,5,26.425177,37.814697,0.9984418749809265,0.09321974718557426,1.1159602482292224,30.917694692222746,0.15605789067495984,1.1633305502672031,0.0467123464750615,0.4740797991756048
16,чужие хапаксы,6,26.558226,37.915596,0.9986903667449951,0.10927758970973472,1.1961256065830055,29.591166937353897,0.19162781764350398,1.2064375165398047,0.17863484783824937,0.5870359397446695
16,перемешивание,8,26.26345,37.272835,0.9996690154075623,0.03329797037577102,1.1659595546755717,29.235388257461718,0.20656386393026846,1.248026584313771,0.353493945307679,0.7125874682356033
17,исходный,4,26.166887,38.054527,0.9968554377555847,0.02108704104549101,1.038879415506664,32.41977858871867,0.165271740517765,0.9751877736482437,0.021723973054785874,0.449040824502478
17,чужие хапаксы,7,26.458803,37.849636,0.9983081221580505,0.06587832140214142,1.1046962836183338,31.297408640425964,0.17818573330001017,1.2548967627287058,0.14380341514691117,0.5180971856491728
17,перемешивание,5,26.46484,37.684784,0.9994239211082458,0.093427455451855,1.0738915571129037,31.407194058683313,0.17800664305876782,1.1919133611838872,0.33043804699852775,0.6758282861177107
18,исходный,5,26.3234,38.03185,0.9998051524162292,0.056981004717727095,1.1115137508682282,31.236829257006356,0.1736693562312893,1.1561891961610242,-0.03978353291247824,0.4415176571852063
18,чужие хапаксы,3,26.231537,37.96295,0.9992939829826355,0.06608713329483973,1.1426292707001309,30.33918010909857,0.15344518912896615,1.1001588745438222,0.14153745453489017,0.5204960628738827
18,перемешивание,7,26.318802,37.790035,0.9999180436134338,0.07048748714167233,1.1305163041875481,30.437423621978027,0.18494587021264383,1.227416186996708,0.34832685018165094,0.6747159558168115
19,исходный,3,26.233147,37.602947,0.9992573261260986,0.07464695466843495,1.0274463737275175,32.11302537260801,0.16315708532771275,1.0358753358304729,0.035084502722100834,0.43031703467308347
19,чужие хапаксы,6,26.32894,37.7016,0.9993680119514465,0.10345884890861352,1.0805078759744602,31.016189464873335,0.1879104507792453,1.1332604777805537,0.14508665840612425,0.5011392937113313
19,перемешивание,4,26.38219,37.247135,0.9998106360435486,0.08231167757734704,1.0200290650141084,31.959658949449693,0.19668729609045835,1.1830844059036747,0.3387991913714707,0.6859521934014807
20,исходный,4,26.168797,37.601055,0.9978402853012085,0.03389562023271835,1.0498803066607016,31.579814643473174,0.1722231621939638,1.1518415541764075,0.0014219600284296682,0.46137204186706865
20,чужие хапаксы,3,26.390274,37.877666,0.9995505213737488,0.10559241697438103,1.1732471083887717,29.758701475318638,0.21692517193761268,1.3155985686535663,0.12755304018820462,0.5441987060073409
20,перемешивание,6,26.463621,37.566963,0.9988843202590942,0.09193044339820018,1.166559902886112,29.554756698482063,0.20699054314201726,1.3816837528063566,0.26073112215964084,0.647522215179398
21,исходный,6,26.312864,38.110157,0.9985315203666687,0.11844280451180639,1.0536173152145145,31.837303665412453,0.17251406036512268,1.1261162410928098,-0.028580204180937662,0.4594305038828263
21,чужие хапаксы,4,26.299753,37.94625,0.9998109936714172,0.054322469808521415,1.190768765110479,29.635846344823428,0.19374597879290942,1.362624754222705,0.13631122775323296,0.5522486419172182
21,перемешивание,5,26.519495,37.759144,0.9986178278923035,0.08551638543953254,1.1647137121851197,30.08969086795315,0.17634199278052048,1.2064114820178657,0.31418817290067225,0.6704689009224235
22,исходный,6,26.536459,37.76143,0.9978601932525635,0.08858812233629142,1.0755769363734402,31.716121374943004,0.17327959371699897,1.1388717301729998,-0.0033104006142673577,0.4736488838277257
22,чужие хапаксы,4,26.216782,38.01228,0.9985540509223938,0.02299194080106473,1.0794608416056943,31.671348634565533,0.15725704381037464,0.9851610721100887,0.07906100698645144,0.4969058837087389
22,перемешивание,3,26.234125,37.900745,0.9990074634552002,0.062193370457053816,1.1839057825394077,29.39022520333131,0.1992889045852397,1.1452465426728022,0.36673233999189786,0.7283748433157223
23,чужие хапаксы,3,26.174309,38.04268,0.9993030428886414,0.03563877685980249,1.129495624710888,30.600569650314842,0.16284594282115913,1.1723517040473175,0.12274874361568364,0.5165987832674995
23,перемешивание,7,26.586971,37.48351,0.9947253465652466,0.09011625988282927,1.143669655633243,29.994095697305546,0.1914748809200786,1.2795956331078462,0.3711113481908418,0.694572899414515
24,чужие хапаксы,6,26.253448,37.61757,0.9995982646942139,0.05450883397236929,1.1003984152588198,30.806799701345653,0.17149051356669678,1.187607788486831,0.09327315547441876,0.4800558461793117
24,перемешивание,3,26.531088,37.20876,0.9979022741317749,0.08763851118781776,1.083818006276307,30.90274756480817,0.2044080405311663,1.2789906865586578,0.28344464185823137,0.6247213715076294
25,исходный,6,26.371666,38.02136,0.999133288860321,0.07682179531524523,0.9255742394631521,35.089255231125,0.1732471369526099,1.0258727931688796,-0.017874652190488505,0.4762853901699769
25,чужие хапаксы,6,26.2041,37.733593,0.99921053647995,0.03188999626880634,0.9889762182341151,33.13375677076585,0.15062611216422828,1.0391126732681246,0.0596140265031577,0.48394062516097675
