perturbation,genre,text_id,n_words_before,n_words_after,ttr_before,ttr_after,hapax_before,hapax_after,content_types_before,content_types_after,mean_log_rank_before,mean_log_rank_after,mean_sent_len_before,mean_sent_len_after,linebreaks_before,linebreaks_after,oov_rate_before,oov_rate_after,upper_frac_before,upper_frac_after,punct_frac_before,punct_frac_after,idea_spread_before,idea_spread_after
topics_up_v2,xsum,47,345,348,0.5855072463768116,0.6666666666666666,0.43768115942028984,0.5449275362318841,0.463768115942029,0.5681159420289855,5.027995477604143,5.6252291583181595,24.642857142857142,21.5625,0.0,0.0,0.0,0.014492753623188406,0.027968596663395486,0.0257529463116543,0.02845927379784102,0.022697512003491925,0.7895714193582535,0.9179621860384941
topics_up_v2,xsum,48,323,333,0.5139318885448917,0.6934984520123839,0.3684210526315789,0.5851393188854489,0.42105263157894735,0.5944272445820433,4.949185138947648,5.544172424543385,24.846153846153847,20.1875,0.0,0.0,0.0,0.02476780185758514,0.025542168674698794,0.020572450805008944,0.02072289156626506,0.01744186046511628,0.6444335877895355,0.8663577139377594
topics_up_v2,xsum,49,559,550,0.48,0.6236363636363637,0.3054545454545455,0.4818181818181818,0.38727272727272727,0.5509090909090909,4.959761236485008,5.5891517239441795,16.176470588235293,18.96551724137931,0.0,0.0,0.0,0.038181818181818185,0.02527836292506771,0.01816267438799684,0.033102618116160096,0.025533035009212952,0.8129794746637344,0.8931362628936768
topics_up_v2,academic_abstracts,0,959,1122,0.38790406673618355,0.5255474452554745,0.24087591240875914,0.38894681960375393,0.3357664233576642,0.4848800834202294,5.336724778462403,5.648584401510682,25.236842105263158,23.390243902439025,0.0,0.0,0.0,0.03441084462982273,0.0183004455760662,0.013151108818978855,0.02084659452577976,0.017534811758638472,0.623484343290329,0.7526014894247055
topics_up_v2,academic_abstracts,1,463,515,0.37365010799136067,0.6868250539956804,0.18142548596112312,0.5637149028077754,0.2937365010799136,0.6133909287257019,5.983345742032005,6.571606248047292,23.15,17.14814814814815,0.0,0.0,0.0,0.038876889848812095,0.03299203640500569,0.02305339920018819,0.05005688282138794,0.037167725241119734,0.5382165610790253,0.7846622318029404
topics_up_v2,academic_abstracts,2,454,476,0.40308370044052866,0.5859030837004405,0.23348017621145375,0.44493392070484583,0.32819383259911894,0.526431718061674,5.843035272024427,6.338392800298524,37.833333333333336,26.705882352941178,0.0,0.0,0.0,0.02643171806167401,0.051683894631543846,0.03718309859154929,0.022340780260086696,0.01915492957746479,0.3826447129249573,0.7150706350803375
topics_up_v2,academic_abstracts,3,428,496,0.46261682242990654,0.6121495327102804,0.29205607476635514,0.4883177570093458,0.39485981308411217,0.5467289719626168,5.960853916540925,6.255773851709707,21.4,18.608695652173914,0.0,0.0,0.0,0.016355140186915886,0.023639896373056996,0.01710772520716386,0.02687823834196891,0.016840417000801924,0.5673204958438873,0.7145876586437225
topics_up_v2,academic_abstracts,4,370,436,0.5324324324324324,0.7108108108108108,0.3810810810810811,0.5972972972972973,0.4486486486486487,0.654054054054054,5.82504191830838,6.426488238790947,19.473684210526315,15.416666666666666,0.0,0.0,0.0,0.01891891891891892,0.03727409638554217,0.01327683615819209,0.019954819277108432,0.01327683615819209,0.5650424957275391,0.6856774985790253
topics_up_v2,academic_abstracts,5,342,409,0.3508771929824561,0.6023391812865497,0.21052631578947367,0.49415204678362573,0.2777777777777778,0.5175438596491229,5.817309009040341,6.133686838528259,18.0,15.545454545454545,0.0,0.0,0.0,0.03216374269005848,0.08344370860927153,0.055478980013783596,0.031788079470198675,0.028256374913852515,0.5389564633369446,0.7161127924919128
topics_up_v2,academic_abstracts,6,336,363,0.5,0.6607142857142857,0.30654761904761907,0.5327380952380952,0.4107142857142857,0.5773809523809523,5.827451572178721,6.216851913304707,21.0,17.68421052631579,0.0,0.0,0.0,0.023809523809523808,0.023534269199009084,0.010305614783226724,0.03303055326176713,0.0216773276474769,0.5357513725757599,0.7144809365272522
topics_up_v2,academic_abstracts,7,310,318,0.3580645161290323,0.6709677419354839,0.15806451612903225,0.5645161290322581,0.267741935483871,0.5903225806451613,5.817264813453781,6.250450891770548,22.142857142857142,13.478260869565217,0.0,0.0,0.0,0.03870967741935484,0.025691699604743084,0.017753623188405798,0.07391304347826087,0.06123188405797102,0.5033281743526459,0.7878996878862381
topics_up_v2,academic_abstracts,8,348,342,0.49415204678362573,0.6374269005847953,0.30409356725146197,0.49707602339181284,0.4064327485380117,0.5614035087719298,5.643901435527726,5.973920884319377,24.428571428571427,24.428571428571427,0.0,0.0,0.0,0.038011695906432746,0.03617463617463618,0.02627511591962906,0.026195426195426197,0.02125193199381762,0.635700136423111,0.7758383750915527
topics_up_v2,academic_abstracts,9,325,361,0.48923076923076925,0.6553846153846153,0.2953846153846154,0.5261538461538462,0.37846153846153846,0.5538461538461539,5.647368727854186,5.956552752449039,19.11764705882353,17.105263157894736,0.0,0.0,0.0,0.03076923076923077,0.041982802225594334,0.03158326497128794,0.03338391502276176,0.02830188679245283,0.7005509436130524,0.8262837380170822
topics_up_v2,academic_abstracts,10,362,341,0.5542521994134897,0.7038123167155426,0.39002932551319647,0.6041055718475073,0.4252199413489736,0.6041055718475073,6.9849802294636705,6.002362812992777,21.3125,21.3125,0.0,0.0,0.0,0.02932551319648094,0.007352941176470588,0.009467455621301775,0.015165441176470588,0.0126232741617357,0.7279222011566162,0.8596736043691635
topics_up_v2,academic_abstracts,11,336,365,0.5059523809523809,0.6815476190476191,0.3273809523809524,0.5416666666666666,0.4226190476190476,0.6190476190476191,5.571183784112048,5.944876877408086,33.6,28.0,0.0,0.0,0.0,0.041666666666666664,0.014905743095133712,0.012697191227395151,0.022797018851380975,0.01654482493266641,0.5775273144245148,0.7716007083654404
topics_up_v2,academic_abstracts,12,334,349,0.46407185628742514,0.6586826347305389,0.2964071856287425,0.5419161676646707,0.4041916167664671,0.592814371257485,5.29690860644248,5.777484718506774,25.692307692307693,25.692307692307693,0.0,0.0,0.0,0.029940119760479042,0.005955107650022904,0.010342084327764518,0.02015574896930829,0.016706443914081145,0.5238456130027771,0.7976435422897339
topics_up_v2,academic_abstracts,13,313,334,0.549520766773163,0.6325878594249201,0.3929712460063898,0.4984025559105431,0.4472843450479233,0.5463258785942492,5.43773649548042,5.6928975922295,22.357142857142858,16.473684210526315,0.0,0.0,0.0,0.012779552715654952,0.02152550304164717,0.023148148148148147,0.01731399157697707,0.016835016835016835,0.6254616677761078,0.7687469869852066
topics_up_v2,academic_abstracts,14,319,336,0.5862068965517241,0.6865203761755486,0.45141065830721006,0.5329153605015674,0.4952978056426332,0.6363636363636364,5.7142295979242785,6.535516384589573,24.53846153846154,15.95,0.0,0.0,0.0,0.018808777429467086,0.012136974425661032,0.012667390517553384,0.021239705244906804,0.017010495837857402,0.5378957688808441,0.7241246402263641
topics_up_v2,academic_abstracts,15,308,337,0.4318181818181818,0.6461038961038961,0.262987012987013,0.525974025974026,0.3344155844155844,0.5487012987012987,4.797403682692148,5.44022775162657,20.533333333333335,18.11764705882353,0.0,0.0,0.0,0.04220779220779221,0.013433637829124127,0.009871244635193134,0.02203116603976357,0.020600858369098713,0.6287584900856018,0.8590934425592422
topics_up_v2,academic_abstracts,16,305,340,0.4557377049180328,0.6721311475409836,0.29508196721311475,0.5704918032786885,0.3901639344262295,0.6,4.9277272998948565,5.461666485858353,27.727272727272727,23.46153846153846,0.0,0.0,0.0,0.036065573770491806,0.006802721088435374,0.00897819581017529,0.012558869701726845,0.011970927746900385,0.5424082279205322,0.7599480450153351
topics_up_v2,academic_abstracts,17,313,333,0.4792332268370607,0.6389776357827476,0.31309904153354634,0.5079872204472844,0.3738019169329074,0.5527156549520766,5.172633530220673,5.697232988711867,26.083333333333332,24.076923076923077,0.0,0.0,0.0,0.03514376996805112,0.03938730853391685,0.021267361111111112,0.023522975929978117,0.018663194444444444,0.47772854566574097,0.7307851612567902
topics_up_v2,academic_abstracts,18,309,337,0.4368932038834951,0.6472491909385113,0.24919093851132687,0.517799352750809,0.3559870550161812,0.598705501618123,5.772141060953005,6.138824818265926,16.263157894736842,18.176470588235293,0.0,0.0,0.0,0.016181229773462782,0.04192139737991266,0.010697159719660641,0.03449781659388646,0.014385835485060863,0.6314966678619385,0.668982058763504
