согласие,текст,условие,токен,класс,k,logp,PMI,смещение,cos дом,до центра,черешок,лист,длинный лист
0.5212967395782471,0,исходный,Ġa,служ,5,-0.13988474011421204,3.8799277839650506,0.5161356138657757,0.8975093960762024,0.6447964576367365,0.448622149554799,1,0
,0,исходный,Ġguarantees,смысл-редк,1,-13.993871688842773,-2.2994416673991473,,,0.7378731809874672,0.7956770781447126,1,1
0.795468270778656,0,исходный,Ċ,пункт,16,-0.42520514130592346,3.978931997691106,0.4258820411080924,0.9366255402565002,0.6633372646198881,0.18794793982101848,1,0
0.811870813369751,0,исходный,Ġ$,пункт,4,-0.008711665868759155,7.821486013983069,0.4467932607716761,0.9192554354667664,0.7492071931857651,0.2848809527710567,0,0
,0,исходный,Ġde,смысл-част,1,-0.010369472205638885,9.021472722212534,0.6216702406538795,0.8245452642440796,0.717613323609314,0.7284230646837084,1,0
,0,исходный,Ġprovide,смысл-част,1,-3.8130173683166504,4.99104089523081,0.4125657833717497,0.9272229671478271,0.6583828787903088,0.7631989449318519,0,0
,0,исходный,/,пункт,1,-1.1024789810180664,6.448816314034027,0.42419486199994355,0.9266683459281921,0.6250617339706358,0.7759766571822097,0,0
0.7037065029144287,0,исходный,Ċ,пункт,16,-0.012729579582810402,4.391407559414219,0.4040334743324253,0.9403870701789856,0.6465988988539698,0.26066745311442013,1,0
,0,исходный,Ġadvers,смысл-редк,1,-0.0012679402716457844,11.69316208117198,,,0.7807355495614631,0.7214020945593892,1,0
0.7706996202468872,0,исходный,Ċ,пункт,16,-0.5449599027633667,3.8591772362336627,0.440564737430501,0.9362573027610779,0.6823905824577543,0.26771924960583016,0,0
,0,исходный,Ġborder,смысл-редк,1,-11.939733505249023,-1.0926013441926017,,,0.6602941850124553,0.7636882689243516,1,0
,0,исходный,Ġ+,пункт,1,-2.9662156105041504,6.831094426053594,0.4378819518687097,0.9165894985198975,0.6633297251756863,0.5629655570864852,1,0
,0,исходный,set,подслово,2,-10.661490440368652,-0.17103322325096215,,,0.6992740254075549,0.28122564195402944,1,0
,0,исходный,INF,подслово,1,-0.07535067945718765,12.024544450094602,,,0.8758436390715532,0.7911733736007163,0,0
,0,исходный,Ġcircumvent,смысл-редк,1,-1.0517710447311401,11.04812408482065,,,0.7658251563124614,0.8353739262908554,1,1
0.5657035112380981,0,исходный,ĠV,смысл-част,2,-0.011029703542590141,7.869357720833094,0.39691466828842625,0.9294774532318115,0.7266239304194376,0.3892340205915987,1,0
0.4498845636844635,0,исходный,Ġthat,служ,6,-0.024229716509580612,4.766453047349446,0.5817305490480944,0.873126208782196,0.716036266080112,0.29933473347958023,1,0
0.5488258600234985,0,исходный,Ġnetwork,смысл-част,2,-5.320012092590332,3.3954927736156844,0.3836118616059435,0.9273293614387512,0.6227928753189212,1.0277624768953346,0,0
,0,исходный,Ġagreement,смысл-редк,1,-0.3895080089569092,9.071329790979622,0.3458611219667347,0.94525545835495,0.6215576059268655,0.7293142811372326,0,0
0.5286740660667419,0,исходный,Ġis,служ,3,-2.5929603576660156,2.033865683853577,0.48680420583686795,0.9117657542228699,0.696609117467242,0.5919308318276676,0,0
0.37630897760391235,0,исходный,k,подслово,5,-4.555914402008057,3.6938331258336756,0.5061743516822126,0.8801778554916382,0.76159415730724,0.9169824798969591,0,0
,0,исходный,Ġtermination,смысл-редк,1,-7.395749092102051,5.397293218009684,,,0.6455117909638789,0.7101320393063089,0,0
0.14312095940113068,0,исходный,Ġis,служ,3,-0.20467329025268555,4.422152751266907,0.40609591214061613,0.9397726655006409,0.6905404360548442,0.5919308318276676,1,0
,0,исходный,uniform,подслово,1,-6.621127605438232,5.478767524113557,,,0.7421961383651495,0.733467746668049,0,0
0.45660504698753357,0,исходный,Ġthat,служ,6,-7.01795768737793,-2.2272749235189027,0.59844938079949,0.8726871013641357,0.7353186230941073,0.36331700848407766,0,0
0.20223522186279297,0,исходный,),пункт,3,-0.025685081258416176,5.679783523295346,0.48813537467449003,0.9193000793457031,0.8312710161207909,0.5716487798634791,1,0
0.7773306369781494,0,исходный,Ċ,пункт,16,-2.402418613433838,2.0017185255631915,0.41810607540300776,0.9352094531059265,0.6638681100320935,0.21610213459167932,1,0
,0,исходный,ible,подслово,1,-12.121060371398926,-2.161231405343406,,,0.672846388619352,0.8347665795567616,0,0
0.7272016406059265,0,исходный,Ċ,пункт,16,-0.00025078488397412,4.403886354113055,0.457070808351203,0.9283426403999329,0.6732666555165983,0.26771924960583016,1,0
0.41534340381622314,0,исходный,Ġof,служ,3,-0.02457069791853428,3.880818921867615,0.39726705162935605,0.9447936415672302,0.6618286332585172,0.7362090969695433,0,0
,0,исходный,Ġcontains,смысл-редк,1,-8.778711318969727,1.4493816336804723,0.49737827632982984,0.8994588255882263,0.6700825540323918,0.797429595576752,1,1
,0,исходный,-,пункт,1,-0.2899910509586334,4.8396435942596225,0.4122588366055358,0.9345145225524902,0.6680674091014666,0.8050334182720621,0,0
0.6025211811065674,0,исходный,k,подслово,5,-0.03843289986252785,8.211314627979204,0.3942177462687567,0.925287127494812,0.6897304027391677,0.40220182790564823,0,0
,0,исходный,set,подслово,2,-0.2329966425895691,10.257460574528121,,,0.6750481919112722,0.7141360000258243,0,0
0.48128819465637207,0,исходный,Ġin,служ,4,-0.10970913618803024,4.2896644687929655,0.4437749699429067,0.9301494359970093,0.6530758525932929,0.36781992350014847,1,0
,0,исходный,feas,подслово,1,-21.097084045410156,-9.40265402396653,,,0.8560000504005392,0.903317376726996,1,1
,0,исходный,Ġconsecutive,смысл-редк,1,-21.090229034423828,-8.990333904872038,,,0.7264106555357304,0.819488550319087,1,1
,0,исходный,V,подслово,1,-0.18557506799697876,9.2062698604526,0.40904146446793904,0.921508252620697,0.6935187449825437,0.7268742184570288,0,0
,0,исходный,have,подслово,1,-0.4636419415473938,10.719962456130242,,,0.7628726071524512,0.7352067802106466,1,0
,0,исходный,$-,пункт,1,-0.0038808283861726522,10.843251332670249,0.14984659630239106,0.9908040165901184,0.7505545261348198,0.8057753493763872,1,1
0.32991063594818115,0,исходный,Ġ(,пункт,3,-0.08025850355625153,5.176953343757116,0.47730796172124873,0.9128912687301636,0.7081345858546633,0.8024746320743857,0,0
,0,исходный,ĠMA,смысл-редк,1,-0.006111386697739363,12.09378374285405,,,0.7638603314598827,0.8150959313128413,1,1
0.30355289578437805,0,исходный,",",пункт,10,-0.01640276052057743,3.371143662840934,0.37473753596146675,0.9535139203071594,0.7524960472507748,0.31427033331792,0,0
0.6663216352462769,0,исходный,:,пункт,2,-4.988031387329102,0.9380776383207516,0.42116883181746706,0.938541829586029,0.789023969004261,0.7363330700253876,0,0
0.45427238941192627,0,исходный,ing,подслово,2,-8.066132545471191,-0.986823040868825,0.4843047087329815,0.9127863645553589,0.6112555265951821,0.8020369663747569,0,0
0.2048453986644745,0,исходный,Ġ(,пункт,3,-0.019867820665240288,5.2373440266481275,0.41423605584744616,0.9335951209068298,0.7459666601040486,0.8221554543951147,0,0
,0,исходный,message,подслово,1,-13.026514053344727,-3.3245141965913074,0.6959914542127134,0.7889490127563477,0.7992491117348856,0.6498178482765417,1,0
0.06254756450653076,0,исходный,Ġmessage,смысл-редк,3,-13.644871711730957,-3.942871854977538,0.3526718960214908,0.9469133615493774,0.7491843463851537,0.44339089551045363,1,0
,0,исходный,Ġsignificant,смысл-редк,1,-3.2918953895568848,5.917627982098741,0.499327051304979,0.900177538394928,0.7653809573915746,0.8168637738476974,1,1
-0.003829371649771929,0,исходный,",",пункт,10,-0.008673849515616894,3.3788725738458947,1.2564011975792635,0.16206605732440948,0.9804422324386088,0.04117493094596247,1,0
0.8652670979499817,0,исходный,ad,подслово,2,-0.0008148211054503918,8.617840219110647,0.5265812853393016,0.8753074407577515,0.7422158437306768,0.8281912246055934,0,0
