токен,класс,норма,лог_ранг,степень,черешок,отн_черешок,лист,длинный лист,hapax в тексте,один в выборке,текст
SRC,подслово,34.93046,8.707813551024888,1,6.874251959648896,0.3555598814318935,True,False,False,False,0
Ġ$,пункт,37.754246,5.480638923341991,5,25.944353819312557,1.3419309361906229,False,False,False,False,0
Ġthe,служ,38.94192,0.0,2,13.444631254889096,0.6954024267577261,False,False,False,False,0
Ġimpossible,смысл-редк,37.317093,8.48920515487607,1,27.778867338414063,1.436818265483431,True,True,False,True,0
Ġa,служ,38.42054,1.9459101490553132,2,13.645158790512154,0.7057743984585723,False,False,False,False,0
Ġcircumvent,смысл-редк,37.07921,9.41033811378308,1,27.896235333790056,1.4428889406295773,True,True,True,True,0
grades,подслово,37.135403,9.68700923909068,1,26.316651921741887,1.3611874705647065,True,True,True,True,0
able,подслово,38.0834,6.309918278226516,1,22.782543374737823,1.17839125894543,True,False,True,True,0
Ġwith,служ,39.329323,2.9444389791664403,1,18.03994012870743,0.9330875578685193,True,False,False,False,0
values,подслово,36.671444,9.411074701777263,3,29.947975024493786,1.5490119523314916,False,False,True,True,0
Ġis,служ,40.122612,2.302585092994046,4,26.454008308883054,1.3682920138681092,False,False,False,False,0
V,подслово,35.905308,7.223295679562314,3,27.423638170518075,1.4184445949284898,False,False,False,True,0
",",пункт,41.0549,0.6931471805599453,3,12.981897098937681,0.6714682296130268,False,False,False,False,0
(,пункт,38.168194,5.365976015021851,2,12.44932953922193,0.6439220093844803,False,False,False,False,0
Ċ,пункт,39.688778,2.1972245773362196,2,7.52253677071534,0.38909139466561204,False,False,False,False,0
n,подслово,36.032433,5.25227342804663,1,20.111229192635133,1.0402217301834553,True,False,False,True,0
Ġ$,пункт,38.212345,5.480638923341991,1,14.227772979346414,0.7359092019424162,True,False,False,False,0
Ġfor,служ,39.66926,2.5649493574615367,2,26.500025827805636,1.370672197729269,False,False,True,True,0
),пункт,41.253433,3.4011973816621555,1,17.847637970744113,0.9231410309029836,True,False,False,False,0
Ġborder,смысл-редк,37.104458,8.59007183682881,2,25.32858297854682,1.310081156983073,False,False,True,True,0
Ġ$,пункт,37.744133,5.480638923341991,1,13.616592042972423,0.7042968283276339,True,False,False,False,0
$,пункт,37.85262,6.089044875446846,1,22.14453239912794,1.1453911437079194,True,False,False,False,0
$-,пункт,36.67693,8.589699882202986,1,12.977026180035333,0.6712162889862431,True,False,False,False,0
Ġis,служ,40.618736,2.302585092994046,1,16.597062502804825,0.8584569797928118,True,False,False,False,0
),пункт,40.490295,3.4011973816621555,2,11.937375689831056,0.6174420009331582,False,False,False,False,0
Ġat,служ,38.4532,3.4339872044851463,2,26.75441663798133,1.3838301626735818,False,False,False,False,0
Ġ(,пункт,38.98704,2.995732273553991,2,26.00658403946872,1.3451496965488532,False,False,False,False,0
poss,подслово,37.756927,9.687257547490987,1,27.398266123787163,1.4171322656772083,True,True,True,True,0
Ġis,служ,38.88182,2.302585092994046,1,19.998218709042117,1.0343764404875353,True,False,False,False,0
Ġcomponents,смысл-редк,36.395252,7.866338923046544,1,24.43130233035046,1.2636707253089734,True,False,False,True,0
