mode,q,d_hat,набор,текст,условие
q_large,0.4,3.915862715854452,механические,0,словарь к 60
q_large,0.45,3.664105910481843,механические,0,словарь к 60
q_large,0.5,3.446501317542978,механические,0,словарь к 60
q_large,0.55,3.285835703450704,механические,0,словарь к 60
q_large,0.6,3.192647080820171,механические,0,словарь к 60
q_large,0.65,3.1784963011254908,механические,0,словарь к 60
q_large,0.7,3.243855903557302,механические,0,словарь к 60
q_large,0.75,3.3997525832204616,механические,0,словарь к 60
q_large,0.8,3.6096770049426192,механические,0,словарь к 60
q_large,0.85,3.7439548526135127,механические,0,словарь к 60
q_large,0.9,3.705649199470629,механические,0,словарь к 60
q_small,0.0,6.07363305172411,механические,0,словарь к 60
q_small,0.05,6.139908814938438,механические,0,словарь к 60
q_small,0.1,6.263921969846911,механические,0,словарь к 60
q_small,0.15,6.402102955096437,механические,0,словарь к 60
q_small,0.2,6.6414705329419785,механические,0,словарь к 60
q_small,0.25,7.053460024528358,механические,0,словарь к 60
q_small,0.3,7.660033923588518,механические,0,словарь к 60
q_small,0.35,8.45510475409324,механические,0,словарь к 60
q_small,0.4,9.432953774727505,механические,0,словарь к 60
q_small,0.45,10.517958070606655,механические,0,словарь к 60
q_small,0.5,11.5992720881654,механические,0,словарь к 60
q_small,0.55,12.5276196873076,механические,0,словарь к 60
q_small,0.6,13.276203006869718,механические,0,словарь к 60
q_small,0.65,13.919722287902797,механические,0,словарь к 60
q_small,0.7,14.558104909923493,механические,0,словарь к 60
q_small,0.75,15.203496612151712,механические,0,словарь к 60
q_small,0.8,15.906344103817457,механические,0,словарь к 60
q_small,0.85,16.787813009725276,механические,0,словарь к 60
q_small,0.9,17.966053634447697,механические,0,словарь к 60
q0.5_range,0.0,6.00761891701782,механические,0,все слова разные
q0.5_range,0.05,6.588865870144837,механические,0,все слова разные
q0.5_range,0.1,7.415918396919802,механические,0,все слова разные
q0.5_range,0.15,8.70110766231653,механические,0,все слова разные
q0.5_range,0.2,10.581272374144007,механические,0,все слова разные
q0.5_range,0.25,12.588412687761947,механические,0,все слова разные
q0.5_range,0.3,13.812597014277006,механические,0,все слова разные
q0.5_range,0.35,14.372866981362973,механические,0,все слова разные
q0.5_range,0.4,14.752540807111476,механические,0,все слова разные
q0.5_range,0.45,15.075603772692158,механические,0,все слова разные
q0.5_range,0.5,15.425516960516038,механические,0,все слова разные
q_large,0.0,9.320236330153781,механические,0,все слова разные
q_large,0.05,9.048100331304553,механические,0,все слова разные
q_large,0.1,8.786677928511804,механические,0,все слова разные
q_large,0.15,8.50702441469135,механические,0,все слова разные
q_large,0.2,8.209053193368575,механические,0,все слова разные
q_large,0.25,7.889362472074059,механические,0,все слова разные
q_large,0.3,7.552988334073458,механические,0,все слова разные
q_large,0.35,7.196002824989106,механические,0,все слова разные
q_large,0.4,6.822020990500011,механические,0,все слова разные
q_large,0.45,6.423725477171299,механические,0,все слова разные
q_large,0.5,6.00761891701782,механические,0,все слова разные
q_large,0.55,5.577111505812491,механические,0,все слова разные
q_large,0.6,5.112902614128103,механические,0,все слова разные
q_large,0.65,4.602106524654069,механические,0,все слова разные
q_large,0.7,4.068113775071463,механические,0,все слова разные
q_large,0.75,3.6342084472378726,механические,0,все слова разные
q_large,0.8,3.4876818372154688,механические,0,все слова разные
q_large,0.85,3.64152207272132,механические,0,все слова разные
q_large,0.9,3.9755580781490316,механические,0,все слова разные
q_small,0.0,9.320236330153781,механические,0,все слова разные
q_small,0.05,9.579321408076867,механические,0,все слова разные
q_small,0.1,10.075358198895502,механические,0,все слова разные
q_small,0.15,10.956800792597683,механические,0,все слова разные
q_small,0.2,12.265428871776097,механические,0,все слова разные
q_small,0.25,13.612502863515704,механические,0,все слова разные
q_small,0.3,14.384266697547847,механические,0,все слова разные
q_small,0.35,14.715123979311088,механические,0,все слова разные
q_small,0.4,14.948834565614177,механические,0,все слова разные
q_small,0.45,15.192364173028423,механические,0,все слова разные
q_small,0.5,15.425516960516038,механические,0,все слова разные
q_small,0.55,15.580954534618156,механические,0,все слова разные
q_small,0.6,15.679591065842658,механические,0,все слова разные
q_small,0.65,15.765307478365674,механические,0,все слова разные
