текст,условие,зерно,крупный,мелкий,средний,масштаб,"стоков, %","одиночек, %",типов всего,типов k>=2,до бл. при k=1,до бл. при k=2,до бл. при k>=3,"доля смысловые, %","доля служебные, %","доля пунктуация, %","доля подслова, %","ребро, среднее",рёбра: CV,длинные: CV,p90/p50,p99/p50,p10/p50,черешок одиночки,"длинных листьев, %",оба одиночки / случай,смысловые: ячеек,смысловые: радиус,смысловые: центры,смысловые: зазор,служебные: ячеек,служебные: радиус,служебные: центры,служебные: зазор,пунктуация: ячеек,пунктуация: радиус,пунктуация: центры,пунктуация: зазор,подслова: ячеек,подслова: радиус,подслова: центры,подслова: зазор
47,эхо x4,2,13.463364642674701,1.611886129284189,3.4801820769950664,35.19021069185368,1.4925373134328357,3.0303030303030303,55,49,0.7148208201805195,0.23292582741846796,0.16271831122412808,44.27860696517413,39.30348258706468,7.960199004975125,6.965174129353234,0.3784246523431123,0.783320758001413,0.06989506611614699,3.3938891008234053,3.7855169862101,0.3201825107701533,0.7300249636428996,0.4975124378109453,5.61125,26.0,0.161736260647102,0.9474546311676678,2.642013766825594,14.0,0.20229326071130477,0.8848986048729406,1.3938972790814825,5.0,0.10382663832912387,0.9336476055565615,4.170884990614827,4.0,0.07995932668939348,0.9918912843482446,6.009965129895648
47,эхо на четверти,0,16.974940665641256,2.5926896909602677,12.517118093301592,34.775580051423226,1.9900497512437811,42.13197969543147,117,34,0.7520433425430825,0.3915068267877604,0.34650921458223766,33.33333333333333,28.35820895522388,21.393034825870647,14.925373134328357,0.6006052458825071,0.36928338400808375,0.0567534111289671,1.2025194790702824,1.3190558390315243,0.4054288259648819,0.7862752774460599,8.955223880597014,1.8473385106691826,8.0,0.21070771979503397,0.9090342826022496,1.7704185401878387,11.0,0.2698887303574354,0.7430413401497674,1.1149652852043117,11.0,0.23298707246920575,0.9787214925122134,1.5552528078048278,4.0,0.19147883996498397,0.9700493460204855,2.6446045360304824
47,эхо на четверти,1,17.110369598802333,2.3904460168973314,12.253780351866922,34.56354823768044,1.9900497512437811,37.56345177664975,111,37,0.7415616665792418,0.3314037767834773,0.3526070549738034,39.800995024875625,27.860696517412936,19.402985074626866,10.945273631840797,0.5808365270485951,0.38913416427237363,0.055950755192586805,1.2008040268007658,1.326174426324723,0.37097725415729127,0.7754358311317315,8.955223880597014,1.9182359386413443,12.0,0.22264992499199943,0.8217776255055443,1.6555442778495406,10.0,0.303532146724389,0.7448787858550318,1.1143085786287823,10.0,0.18903115533221598,0.9952445322905129,3.020083800846358,4.0,0.13232012286684286,0.934452873000636,3.485400603576695
47,эхо на четверти,2,17.062822655155326,2.5619226849292085,13.022093559509907,34.42829408654056,2.4875621890547266,45.40816326530612,122,33,0.7374936846117599,0.3936748457012077,0.34032423104593834,36.318407960199,29.35323383084577,16.91542288557214,14.925373134328357,0.5985301078329144,0.3661006207894569,0.054802001829861134,1.2129654025327843,1.3358369489921569,0.4118398389006172,0.7641261671970347,8.955223880597014,1.7341674031056686,11.0,0.2190956476333206,0.8589316942705407,1.6436880793972735,13.0,0.2740035701644799,0.771998292768565,1.1796344484063463,8.0,0.20933156641149037,0.9691254849037692,1.4759429112314473,,,,
47,словарь к 25,0,11.71099682276726,4.56645414058156,6.554331809831022,32.73527454300554,1.9900497512437811,17.258883248730964,72,38,0.7610760380414597,0.49584372509403335,0.4380610910250382,44.27860696517413,29.35323383084577,15.422885572139302,8.955223880597014,0.5643881150966985,0.32870442902376373,0.07972376699727521,1.5718332141464897,1.8160383914166547,0.6873146102580112,0.7863066266051566,5.970149253731343,2.2716825259515567,17.0,0.31654779386927545,0.8202423486185669,1.0524370175131064,12.0,0.2880831193570032,0.7966568844283097,1.2192022972075227,5.0,0.27199347069772084,0.9464296097504115,1.5035700533843583,,,,
47,словарь к 25,1,12.43621620087057,4.861636381627653,6.57626051299205,32.77818718147398,1.9900497512437811,16.243654822335024,69,37,0.7709317730930891,0.4602814867629217,0.42114027469680304,46.766169154228855,26.865671641791046,14.427860696517413,9.950248756218906,0.5512275210159229,0.35197146623185416,0.07480598758846775,1.57473362180505,1.8269994187132528,0.641718740574366,0.7987584740797182,5.970149253731343,2.36724609375,18.0,0.2932958015088183,0.8257886167149162,1.2227862194804995,9.0,0.2760768675220364,0.773321464263573,1.180462047847958,5.0,0.2651545105764652,0.8816040105884578,1.436175407803177,4.0,0.25940421722280893,0.9309581933100382,1.5815530229860557
47,словарь к 25,2,12.819505295846696,4.976579401110329,6.9354661154556325,32.25481609124954,2.4875621890547266,15.306122448979592,66,36,0.786776364533661,0.43229383498585566,0.44189581713650206,51.741293532338304,26.368159203980102,10.44776119402985,8.955223880597014,0.5553017833143062,0.35002525380029725,0.08904512748659194,1.5571394452484546,1.8768222887563668,0.6591530986652937,0.8019627989623219,7.960199004975125,2.2445000000000004,18.0,0.30275957130466014,0.8175932713317707,1.0754811381922933,9.0,0.28605709226446413,0.7730126824542183,1.2044527712229138,5.0,0.26126860341222735,1.033234124445506,1.8154001732681564,,,,
47,словарь к 60,0,15.164438914423917,3.5891486156586367,9.388469020588882,34.21978794337779,2.4875621890547266,28.57142857142857,93,37,0.760641709516139,0.428260817034017,0.39035622163917105,34.82587064676617,30.845771144278604,15.422885572139302,16.417910447761194,0.5711974597532049,0.3743454800124809,0.06801581106852107,1.4467528922418946,1.6614918976181812,0.5579177665202554,0.7945453655986152,10.44776119402985,1.6103714923469388,10.0,0.30160075842563694,0.7786931370104317,1.2670275112499434,14.0,0.27850689846457444,0.7851042144835324,1.1924418639752752,6.0,0.23073737085336296,1.024790044109389,1.9116507771468736,7.0,0.21493112439078665,0.9548699040702391,1.9010132704644411
47,словарь к 60,1,14.553011335830215,3.851801488016503,8.95803736174192,34.31769814416108,2.9850746268656714,25.128205128205128,97,48,0.7402308216119435,0.4322820486993885,0.4095148470807053,34.82587064676617,32.33830845771145,15.92039800995025,13.930348258706468,0.5820687000777602,0.35296196641741284,0.0542501437856774,1.3486553969608934,1.5248164753795022,0.5385079916565462,0.7707453925429139,5.472636815920398,2.1033423573511034,16.0,0.2616594321168593,0.8408154346158204,1.3346694036168976,13.0,0.2987548770304189,0.7648629699281486,1.1159648972193796,8.0,0.22655483250243197,1.0257616017835443,1.922937355982243,10.0,0.1988168607071808,0.948426735153389,2.1730005184581884
47,словарь к 60,2,16.194319538745987,3.4584060838196176,9.736724110281639,33.88781354847986,4.477611940298507,25.0,93,45,0.7699922894170623,0.4313430374130279,0.3943137957478438,35.32338308457712,28.855721393034827,14.925373134328357,16.417910447761194,0.5647098698047225,0.40376859584261693,0.07560556367778191,1.4209586380577484,1.7111136193829364,0.5033663694333855,0.8032283532955968,9.45273631840796,2.01654296875,15.0,0.27546829318463756,0.8155868022133598,1.3528316721685103,14.0,0.2694326846413857,0.7962170160477144,1.2630905745333725,6.0,0.24418859973081639,0.9616702111803446,1.6966439550398515,9.0,0.19042003168126975,0.9779885285154157,2.0585934562274355
