mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,arm,text
q_small,0.15,9.412552099330508,0.3633660527266047,0.8937588881902574,3.580079106169683,0.9998736675950057,0.004695724475361863,0.0068106890687120725,0.0041013758041602635,8,61,261,aligned_frac,xsum_1
q_small,0.2,10.387800321142988,0.45442490289650217,0.9037332284906716,3.4907934782260175,0.999869730110557,0.004821564478104155,0.007498687176337171,0.004211287947675227,8,61,261,aligned_frac,xsum_1
q_small,0.25,11.812925631500201,0.530937117750046,0.9153469655871351,3.386315955060354,0.999896344814034,0.004356133587951024,0.007209179121142384,0.003804767718177366,8,61,261,aligned_frac,xsum_1
q_small,0.3,13.432574344554014,0.5612964375786028,0.9255541064319193,3.2815115120509173,0.999932225589093,0.003561613768192303,0.006046109953832257,0.0031108121034938456,8,61,261,aligned_frac,xsum_1
q_small,0.35,15.078774690448752,0.5658010473309438,0.9336816140217664,3.1794534566350063,0.9999573814751341,0.0028490802658599087,0.005039735535223855,0.002488465609049142,8,61,261,aligned_frac,xsum_1
q_small,0.4,16.55826534882307,0.568579550594814,0.9396072004564731,3.0805560816302773,0.9999707740252295,0.0023742945820299805,0.004054868674018053,0.0020737746436743703,8,61,261,aligned_frac,xsum_1
q_small,0.45,17.76957098416569,0.5551187028682778,0.9437240211994374,2.982539434825581,0.9999791783022829,0.0020128203560456377,0.003011911363369535,0.0017580530437256224,8,61,261,aligned_frac,xsum_1
q_small,0.5,18.665098753984175,0.5758440396008765,0.9464240713011741,2.882656765287575,0.9999816996105911,0.001892419146334668,0.0028228502409071154,0.0016528912926707668,8,61,261,aligned_frac,xsum_1
q_small,0.55,19.441520814107104,0.6060152069464768,0.9485636947046662,2.7754762040958485,0.9999828581806213,0.0018356762727481126,0.002663499575708883,0.0016033304953949664,8,61,261,aligned_frac,xsum_1
q_small,0.6,20.115066406039688,0.630234361745963,0.9502860204478498,2.6582723892219238,0.9999838804155259,0.0017833319004343605,0.0025534633629975545,0.0015576114709466601,8,61,261,aligned_frac,xsum_1
q_small,0.65,20.811708071496398,0.6493636412793455,0.951950123624423,2.5261329597232463,0.9999851179954486,0.0017165069216461268,0.002510993200635525,0.0014992446837653352,8,61,261,aligned_frac,xsum_1
q_small,0.7,21.54665052527266,0.6640724327341697,0.9535890741427735,2.374323463776427,0.9999864999714284,0.0016376796711521948,0.002405511596222709,0.0014303947800751538,8,61,261,aligned_frac,xsum_1
q_small,0.75,22.33529487085366,0.6837177508768402,0.9552278129399158,2.1955505114399734,0.9999876485223477,0.0015691574243803792,0.0023226562492730807,0.0013705455520313882,8,61,261,aligned_frac,xsum_1
q_small,0.8,23.01501527605763,0.7647216255851089,0.9565501048769542,1.9791948989127206,0.9999863324226349,0.0016529277783881382,0.0025102545825017586,0.0014437128992290506,8,61,261,aligned_frac,xsum_1
q_small,0.85,23.49097833349863,0.7928614627616802,0.957430466036658,1.7025191692702153,0.9999864879545346,0.001645008484434954,0.0027330402769383255,0.0014367959685666913,8,61,261,aligned_frac,xsum_1
q_small,0.9,23.3900789772267,0.781371293539908,0.957246830975918,1.3167737501007575,0.9999866437135096,0.0016351858370080143,0.0027204776895937144,0.0014282165962672668,8,61,261,aligned_frac,xsum_1
q_small,0.0,9.163764835558128,0.2942920537417221,0.89087454578497,3.67337684948311,0.9999071591396128,0.004531661365353393,0.008599262601611812,0.003504537121230419,8,51,256,standard_floor,xsum_1
q_small,0.05,9.405088434027926,0.3000033647557054,0.8936745776486305,3.6435150960962024,0.9999135916659491,0.0043855810671566894,0.0086629635220703,0.0033915666703435102,8,51,256,standard_floor,xsum_1
q_small,0.1,10.005856942851528,0.3319059870981999,0.9000585351448155,3.5844465540137103,0.999918606934266,0.004286800695073987,0.006367867681037254,0.003315175375208468,8,51,256,standard_floor,xsum_1
q_small,0.15,10.25257525594706,0.26376262756430147,0.9024635298902152,3.5387915166012545,0.9999536161874457,0.0032446967485335754,0.00527009644890164,0.00250926962224257,8,51,256,standard_floor,xsum_1
q_small,0.2,11.519199586847071,0.4856435468885564,0.9131884127485883,3.44544300701772,0.999903631601023,0.004732600014023112,0.00808979285621092,0.003659931996658846,8,51,256,standard_floor,xsum_1
q_small,0.25,12.21892800475714,0.3582079273215185,0.9181597600369955,3.3756714830820735,0.9999590329294364,0.00310238552612628,0.006177041950712336,0.002399213966825089,8,51,256,standard_floor,xsum_1
q_small,0.3,14.048010609714584,0.6794119867522653,0.9288155435113017,3.267822239650468,0.9999175741174505,0.004451745581040986,0.008229675411041804,0.0034427346584876557,8,51,256,standard_floor,xsum_1
q_small,0.35,15.239932764088481,0.9590535255249509,0.934382912609929,3.1786685547284526,0.9998828333331027,0.005339536121482277,0.010949803131927283,0.0041293029287121225,8,51,256,standard_floor,xsum_1
q_small,0.4,17.490046143537402,1.2064013465800703,0.9428246219710803,3.0679306577692267,0.9998950303777182,0.005099606750757913,0.009163315029745434,0.003943754777959817,8,51,256,standard_floor,xsum_1
q_small,0.45,16.805868903361958,0.8712841802705099,0.9404969772315698,3.0037098857213262,0.9999354517934458,0.003989005824467007,0.0063019363987102395,0.00308487723631106,8,51,256,standard_floor,xsum_1
q_small,0.5,18.272876328903784,1.023996509492179,0.9452740782567322,2.8929893773731226,0.9999368493799423,0.003965623057406658,0.006306831633467347,0.0030667942930914746,8,51,256,standard_floor,xsum_1
q_small,0.55,16.103361382268904,0.9610527411771708,0.937901163846383,2.835793047866413,0.999906324784052,0.004792266131235666,0.01050882642589901,0.003706074482999455,8,51,256,standard_floor,xsum_1
q_small,0.6,17.72716709689339,1.7919084025739727,0.9435894074595119,2.6977719522130528,0.999780939412732,0.007373334112066573,0.013527699657024606,0.005702130194575283,8,51,256,standard_floor,xsum_1
q_small,0.65,15.695383543820954,1.512861356157655,0.9362869981986719,2.6158828303593276,0.9997419334585782,0.007941125295727018,0.017298876548630382,0.006141228600175195,8,51,256,standard_floor,xsum_1
q_small,0.7,23.020277807984186,3.6340073500075873,0.9565600377049678,2.3709262220074385,0.9996917363991955,0.008867301294094056,0.01574046090291681,0.006857482067807546,8,51,256,standard_floor,xsum_1
q_small,0.75,17.142529166873253,2.4915576941846482,0.9416655506159248,2.2764195141954655,0.9995138290554313,0.010963467627672138,0.01692100261094609,0.008478541572487678,8,51,256,standard_floor,xsum_1
q_small,0.8,21.68755299425766,4.871886413325307,0.9538906025836674,2.009664875310121,0.9992930331262375,0.01339376985548171,0.024340366549457038,0.010358003360670836,8,51,256,standard_floor,xsum_1
q_small,0.85,15.764283382128118,3.7490068872589437,0.9365654641089683,1.8393055211873786,0.9984456995723433,0.019507182920465927,0.039466368487326875,0.015085780062490096,8,51,256,standard_floor,xsum_1
q_small,0.9,19.861365926626846,10.814619867873809,0.9496509956216372,1.3926806600512935,0.9950244281383526,0.03545029205118448,0.05773098613195504,0.027415301902671472,8,51,256,standard_floor,xsum_1
q_small,0.0,9.163764835558128,0.2942920537417221,0.89087454578497,3.67337684948311,0.9999071591396128,0.004531661365353393,0.008599262601611812,0.003504537121230419,8,51,256,standard_round,xsum_1
q_small,0.05,9.348828248013604,0.31295798738791775,0.8930347233395292,3.646325722396949,0.9999035469370469,0.00463018626543322,0.008812510560881393,0.003580730848399693,8,51,256,standard_round,xsum_1
q_small,0.1,9.902161408656717,0.31645718676660045,0.8990119471163361,3.588520905653554,0.9999226791421302,0.004173320562718527,0.006838736250067257,0.0032274160957083678,8,51,256,standard_round,xsum_1
q_small,0.15,11.010289796025509,0.560136344523819,0.9091758692526895,3.5046691190193218,0.9998450538970091,0.005974795394192698,0.010841024632898488,0.0046205774356381036,8,51,256,standard_round,xsum_1
q_small,0.2,12.108788338012609,0.755556559854786,0.9174153538665184,3.4233818898292303,0.9998107358983129,0.006663346377768717,0.011305120942515678,0.005153064814384175,8,51,256,standard_round,xsum_1
q_small,0.25,12.68833584407425,0.8100181844397809,0.9211874581277715,3.3575945911171496,0.9998210431336242,0.006505972489971707,0.014008275516456337,0.005031360523786998,8,51,256,standard_round,xsum_1
q_small,0.3,14.831313370322546,0.8783147539425945,0.9325750879216806,3.246844778332154,0.9998900189718627,0.005163185641633949,0.008570149717169073,0.0039929231877852385,8,51,256,standard_round,xsum_1
q_small,0.35,17.506721200804993,1.6383140958894709,0.942879081209449,3.134136710099488,0.999807189545527,0.006912168577904449,0.011171424341495317,0.005345490189243114,8,51,256,standard_round,xsum_1
q_small,0.4,16.779302851071154,0.8130923000017587,0.9404027682868742,3.0770706214022883,0.9999434173968197,0.003734382571029717,0.0069275132470680845,0.00288796564657451,8,51,256,standard_round,xsum_1
q_small,0.45,15.674739354262924,0.6921455975907093,0.9362030859078981,3.022285817555466,0.9999456773270716,0.003642701542346428,0.005880975859873239,0.0028170645923188543,8,51,256,standard_round,xsum_1
q_small,0.5,19.841980495271592,2.621620323192894,0.9496018051102155,2.8661603273700025,0.9997050559818119,0.008610463754868253,0.01707440742465316,0.006658858071490446,8,51,256,standard_round,xsum_1
