n,rep,"одиночек, %","длинных с одиночкой, %",средняя длина,S(q=0.5),S(q=0.7),S(q=0.9),текст
41,0,73.17073170731707,100.0,23.56278932326639,550.3649218722096,343.60366864009353,126.18279159995879,3
61,0,80.32786885245902,100.0,23.43562960681616,789.1399454752575,495.39903932763576,177.31465453098463,3
81,0,65.4320987654321,87.5,21.31507336486793,1018.4931047552224,636.4619146940579,233.0402806003201,3
101,0,75.24752475247524,95.0,22.56087127997617,1292.1439823855271,809.8309335748428,300.65855993995046,3
121,0,64.46280991735537,83.33333333333334,22.02315277815988,1518.863815029405,945.8991340632526,345.38169386739895,3
161,0,47.82608695652174,78.125,19.952407290177415,1977.0026650675823,1246.0798042673805,458.2139227501493,3
201,0,51.741293532338304,92.5,20.162358357403562,2460.1016652903145,1537.4393612548843,558.2490503356587,3
41,1,70.73170731707317,100.0,23.148290397048065,524.6893831649338,329.6325231630374,117.55126554114541,3
61,1,80.32786885245902,100.0,22.546025799927474,776.0111369958818,486.61796148650876,180.8360166560802,3
81,1,64.19753086419753,100.0,22.798860335618873,1054.3534993076664,660.3519918932732,241.1943903591237,3
101,1,64.35643564356435,80.0,21.86961945646199,1255.0291687550393,784.3523710193336,288.09871322875085,3
121,1,64.46280991735537,87.5,21.685533304733575,1516.8224234868194,948.6158469157501,346.261599784916,3
161,1,57.7639751552795,90.625,20.68504005673325,1981.919345051601,1235.344867439159,445.0851126769864,3
201,1,54.22885572139303,90.0,19.693325528808614,2386.99390378146,1500.5396887444085,549.2020450140376,3
41,2,85.36585365853658,100.0,25.34100378835589,552.4504952414737,344.393516474168,124.10610893809464,3
61,2,68.85245901639344,100.0,23.16241282022619,793.7880248707507,497.35246473989247,179.80298759184166,3
81,2,74.07407407407408,100.0,22.878463764022893,1025.6032796280901,637.9184371729732,227.20636737703308,3
101,2,60.396039603960396,90.0,20.934575465486983,1241.7032994913197,775.2380498986887,276.08109231943763,3
121,2,60.33057851239669,91.66666666666666,21.78178276869968,1540.5030682811735,964.7590500028949,353.2215311861243,3
161,2,59.006211180124225,87.5,21.670495571469434,1987.3371771596026,1240.4291823791464,447.47042133495125,3
201,2,51.243781094527364,82.5,20.082651583766364,2413.3190403251856,1507.637531651108,546.7652334619837,3
41,3,85.36585365853658,100.0,24.812351594331666,540.1232217568556,338.6251162846884,127.63123031305008,3
61,3,63.934426229508205,91.66666666666666,22.110936471811392,786.3812971817711,494.999880370251,183.7258529764013,3
81,3,62.96296296296296,87.5,22.83245670283737,1058.5911187007016,669.2124608407887,248.12185611813862,3
101,3,54.45544554455446,90.0,21.435619508156307,1258.7019269785685,785.2487413622122,287.30694148619364,3
121,3,61.15702479338842,79.16666666666666,21.935620714887673,1508.7688863857538,940.5143237047432,344.784552288431,3
161,3,59.62732919254658,78.125,20.009355025236346,1944.542818799143,1219.1581232728172,440.38231085164546,3
201,3,48.756218905472636,82.5,19.83332947769688,2427.100239983097,1520.4047497786034,549.3542260884824,3
41,4,80.48780487804879,100.0,24.35108569024114,547.0865798991554,341.96471352342115,118.67290599544614,3
61,4,75.40983606557377,100.0,23.03946540467266,775.9000868426087,482.1875111133281,176.0999457919785,3
81,4,75.30864197530865,93.75,23.164282562401212,1044.7614046909298,655.8274070442347,240.78127716020603,3
101,4,59.4059405940594,75.0,21.301526053757595,1269.348947865055,799.7157633201625,292.117041820193,3
121,4,61.15702479338842,100.0,21.692743837266935,1527.9380096270881,952.1956119867319,347.3166583602119,3
161,4,52.79503105590062,90.625,20.429601921582634,1962.26377546933,1221.7290900588823,437.99973538521,3
201,4,46.766169154228855,92.5,19.713800355990934,2405.3253522936775,1512.5964893942732,551.3461489155637,3
41,5,73.17073170731707,87.5,24.259051360723493,554.9483446108715,346.16105129171996,125.30407635690901,3
61,5,70.49180327868852,83.33333333333334,23.110711324098762,794.2970413966879,499.66082719273214,182.6089099250326,3
81,5,66.66666666666666,68.75,22.575945648498426,1039.0623741428842,652.1997773358189,243.4767369254889,3
101,5,63.366336633663366,95.0,21.19523911416475,1242.8281694460036,773.886688935229,273.3898414325713,3
121,5,59.50413223140496,87.5,21.50223008217847,1510.0221751528697,945.1627929352508,342.9593712374275,3
161,5,52.79503105590062,71.875,20.71280372551637,1981.9458302280793,1245.0366300326737,452.7273756905166,3
201,5,50.74626865671642,87.5,19.950363982515466,2409.7411504897636,1506.6314663117023,545.5185906797018,3
41,6,90.2439024390244,100.0,24.18477604836945,522.4426400126795,323.66534512537174,112.9236529614466,3
61,6,73.77049180327869,100.0,23.13893180837788,804.1265005755374,504.3122880945531,182.872650910007,3
81,6,83.9506172839506,100.0,22.857934624273014,1030.424014889145,642.5831000029414,233.6428383293142,3
101,6,66.33663366336634,100.0,21.834853827084025,1287.9346089470373,799.4068929235802,290.29200457099876,3
121,6,62.8099173553719,87.5,22.00175186310195,1529.388897741801,954.3152294036956,343.94030579119124,3
161,6,52.79503105590062,84.375,20.914361467034865,1974.968467949581,1231.591431336706,451.27367763431664,3
201,6,50.74626865671642,90.0,20.349280096690755,2439.224515337007,1525.9364118752055,552.0203351513836,3
41,7,75.60975609756098,75.0,24.343212065530498,531.9576828344983,328.9363942524513,117.38971698823406,3
61,7,60.65573770491803,100.0,22.553651275960988,782.2445312331988,486.32799986875517,175.9795760703619,3
81,7,67.90123456790124,93.75,22.46361429808409,1043.0610334625464,653.8944353262877,240.9214362598991,3
101,7,63.366336633663366,100.0,21.388696096696894,1239.5059133190484,771.8369223146317,274.302209545004,3
121,7,66.11570247933885,91.66666666666666,21.32601502399366,1535.1106092734963,962.770032236665,349.31636831632864,3
161,7,54.6583850931677,81.25,20.41046470323605,1954.3745907184443,1215.6502750391949,439.02635852768094,3
201,7,52.736318407960205,92.5,19.78313428009028,2428.4044548503653,1514.5525192409455,548.7462670467601,3
41,0,70.73170731707317,100.0,24.802918164401085,557.0857444801553,347.1717516352986,126.01397874156044,6
61,0,63.934426229508205,91.66666666666666,23.453995597866374,835.0644147537256,525.8303777363041,191.95542606538947,6
81,0,71.60493827160494,81.25,23.981783952849735,1111.9171998343922,701.4079829867189,258.28363839090696,6
101,0,61.386138613861384,90.0,22.938991892350362,1352.6799876298155,843.6419524002133,303.0858400424375,6
121,0,50.413223140495866,79.16666666666666,21.879034073907004,1571.4022517130124,977.2751687740495,350.79148506693224,6
161,0,56.52173913043478,81.25,21.70593680506451,2055.8924435392637,1275.5469303748114,455.4729344013081,6
201,0,50.74626865671642,87.5,21.236662144658208,2565.3434682186917,1605.6442917060942,576.6327268445709,6
41,1,90.2439024390244,100.0,26.973277822167073,579.6781430850438,357.5371926275144,128.58837741064315,6
61,1,57.377049180327866,83.33333333333334,23.05953187595876,805.3936946614672,499.79657677689795,177.1746387001378,6
81,1,54.32098765432099,93.75,23.250943568332964,1104.1728471789065,685.9327359581956,245.9603039395756,6
101,1,57.42574257425742,95.0,22.69528794471275,1346.6750746810524,835.0542535501091,295.67814075898974,6
121,1,66.11570247933885,87.5,22.54021088788185,1594.9048535585175,998.7942617885133,350.737481152204,6
161,1,51.5527950310559,78.125,21.278182085197148,2063.954868519374,1297.2931020143924,469.9434553912156,6
201,1,50.24875621890548,92.5,20.92941722003871,2573.877846578828,1605.2315154167832,572.7589392735182,6
41,2,63.41463414634146,75.0,25.02319973854565,580.5379749425585,362.0672834240693,128.21531509845718,6
61,2,68.85245901639344,91.66666666666666,24.60811095662731,830.2324272854327,517.5295477212505,188.44645797286321,6
81,2,80.24691358024691,93.75,24.99361011551475,1098.1069170335304,685.30826395408,247.91308568051238,6
