mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,genre,text_idx
q_large,0.4,5.532568051898831,0.1545050508433905,0.8192521103004254,3.294950232249945,0.99988612852007,0.004977408633218284,0.008865445658700288,0.005047649053007794,5,51,256,xsum,0
q_large,0.45,5.181263338269467,0.1640982143411493,0.8069968780366994,3.2392719720527037,0.9998279051611094,0.006027631141532843,0.010867699117322438,0.006112692138713586,5,51,256,xsum,0
q_large,0.5,4.818857509952228,0.17075626048998427,0.7924819320897676,3.1820003118499836,0.9997417696493073,0.007251078560428355,0.013353452422427026,0.007353404658111414,5,51,256,xsum,0
q_large,0.55,4.443426737125454,0.17401458670332381,0.7749484667666826,3.124151989546874,0.9996121120120403,0.008690879952467529,0.016211492659359727,0.008813524304415551,5,51,256,xsum,0
q_large,0.6,4.0564819120507405,0.17369825083892204,0.7534809665909608,3.065695042267829,0.9994115443202911,0.010409035796274802,0.019237892174075455,0.010555926497402878,5,51,256,xsum,0
q_large,0.65,3.6848214940043413,0.16636363337316376,0.7286164332174236,2.9988292606775238,0.9991523705615488,0.012082022314243605,0.021659436344794614,0.012252521942020794,5,51,256,xsum,0
q_large,0.7,3.3830116300540083,0.1443408008924844,0.7044053910083556,2.8974187511786,0.9990392227522984,0.01243644557628101,0.02149508333294925,0.012611946770243168,5,51,256,xsum,0
q_large,0.75,3.1941136320492256,0.12630310135161338,0.6869241000175573,2.72376453933863,0.999026564087604,0.012207519724516227,0.018386186489852463,0.01237979035231162,5,51,256,xsum,0
q_large,0.8,3.1433372006452185,0.14344415286339773,0.6818667752875083,2.431898250198972,0.9986418936260527,0.014315781128528325,0.023588366154577933,0.014517803214754424,5,51,256,xsum,0
q_large,0.85,3.2575645355167637,0.2468687534386183,0.6930221983027068,1.9765626089673727,0.9966308416679022,0.022940042180582824,0.03298794993741527,0.02326376850315147,5,51,256,xsum,0
q_large,0.9,3.5832601542204134,0.5330144566188628,0.7209245332571831,1.2771235373553536,0.9901506507450616,0.040935156242590975,0.051115234983140745,0.041512826827931205,5,51,256,xsum,0
q_small,0.0,7.624247677057815,0.11180263280692714,0.8688395180275809,3.7385019291660004,0.9999852988328637,0.0018965844395690185,0.0029681441514384233,0.0019233487454595405,5,51,256,xsum,0
q_small,0.05,7.806421942810017,0.19167892274313225,0.8719003395760545,3.7078077223826678,0.9999609598713919,0.0031015905263387495,0.004667800015230483,0.0031453596915086055,5,51,256,xsum,0
q_small,0.1,8.036211688356447,0.2382315156801701,0.8755632580648808,3.663143637653258,0.9999467504398042,0.003637563820824078,0.005478775192885976,0.0036888965581204757,5,51,256,xsum,0
q_small,0.15,8.568449415631681,0.2815163761592618,0.8832927696141066,3.591904697621644,0.9999434691220778,0.003781057949780265,0.005177682303791009,0.00383441565400181,5,51,256,xsum,0
q_small,0.2,9.316215742357105,0.3261814518494575,0.8926602788454758,3.506339267206194,0.999946827618117,0.0037059054218240256,0.0053990993285211175,0.003758202585209791,5,51,256,xsum,0
q_small,0.25,10.2012441420177,0.3408492847898393,0.9019727411599611,3.4140731149646046,0.9999604424434682,0.0032297599783620906,0.005201415342675375,0.0032753378509895233,5,51,256,xsum,0
q_small,0.3,11.047112778739544,0.32189679276138533,0.9094786103818433,3.3240201732274195,0.9999747673150352,0.0026009572780411566,0.0041541158726250416,0.002637661584343222,5,51,256,xsum,0
q_small,0.35,11.686745356562987,0.3175893604705627,0.9144329777461588,3.239181285540018,0.9999806015676485,0.002292941247070513,0.0033158965288375697,0.002325298878845419,5,51,256,xsum,0
q_small,0.4,12.064631957785828,0.32542254580429036,0.9171130952440985,3.1582729007420975,0.999982171833248,0.0022046194114511016,0.0027629324093165764,0.0022357306591599927,5,51,256,xsum,0
q_small,0.45,12.281026678283292,0.3193535655213456,0.9185735829587999,3.0758644267756456,0.9999840598916727,0.0020879330283851173,0.003076196847441537,0.0021173976159271947,5,51,256,xsum,0
q_small,0.5,12.418169276686324,0.2910916953885764,0.9194728322895884,2.9879961427856934,0.9999873565006907,0.0018613532801434402,0.003040983252042828,0.0018876204093683357,5,51,256,xsum,0
q_small,0.55,12.488114073690985,0.25580705200915854,0.9199238576698523,2.892478930428413,0.9999904621399643,0.0016174577419788294,0.00275886870465758,0.0016402830551408164,5,51,256,xsum,0
q_small,0.6,12.475496031938361,0.24344438654614237,0.9198428665730074,2.7879496578134733,0.9999913252206316,0.0015424044323975614,0.002370593965651757,0.0015641706048781106,5,51,256,xsum,0
q_small,0.65,12.482274666347438,0.28824011377109726,0.9198863967722143,2.6681580648757257,0.9999878666285297,0.0018242363089659424,0.003414255944981903,0.0018499796492418205,5,51,256,xsum,0
q_small,0.7,12.552951944737543,0.3950031452377551,0.9203374629009696,2.5271006831765206,0.9999777446191603,0.002471854854891687,0.004845661657052247,0.002506737287792131,5,51,256,xsum,0
q_small,0.75,12.714976918628782,0.5575633525722139,0.9213525902249264,2.3570562612093755,0.9999579682555517,0.0034007696260262743,0.006724343740160954,0.003448760760317583,5,51,256,xsum,0
q_small,0.8,12.989862459816225,0.7804128102083222,0.923016890818246,2.1455562101778063,0.9999246818204214,0.00456067819116333,0.008799582549304574,0.004625037775492866,5,51,256,xsum,0
q_small,0.85,13.573476133462355,1.2251678860251938,0.9263269047539912,1.865510298040069,0.9998454203090021,0.006557338178154327,0.011239948781429199,0.006649874319001081,5,51,256,xsum,0
q_small,0.9,15.141367320541578,2.508845578554125,0.9339557664225379,1.453048567283829,0.9995883033953261,0.01079090539170485,0.016755620566356377,0.010943184977424166,5,51,256,xsum,0
q0.5_range,0.0,6.355182215463342,0.7998075537947896,0.842648099441301,3.028977840576977,0.9983458733255377,0.01952736444957499,0.029069057512874252,0.019802931592519016,5,51,256,xsum,1
q0.5_range,0.05,7.14445452293865,0.7271061061290847,0.8600313016495091,3.0349906249829726,0.9991776537236666,0.014046683082530799,0.021783232501361383,0.01424490769880652,5,51,256,xsum,1
q0.5_range,0.1,7.9895913413026864,0.7567511993777765,0.8748371528302783,3.0260560855194374,0.9994494007686928,0.011690097412208835,0.018329744713614815,0.011855066256465227,5,51,256,xsum,1
q0.5_range,0.15,9.320255297658818,0.966872301509094,0.8927068016848001,2.9887359062170638,0.9995338474373143,0.0109755842133301,0.016352138503896718,0.01113046995797931,5,51,256,xsum,1
q0.5_range,0.2,11.492024475908702,1.4236991708563407,0.9129831299875536,2.9293508461308853,0.9995819151462397,0.010630147534808941,0.014162208889647587,0.010780158530548027,5,51,256,xsum,1
q0.5_range,0.25,14.405911485109232,1.9936871823956646,0.930584052176521,2.873721433560461,0.9996803885852891,0.009473046679211228,0.013464288142483127,0.009606728846874281,5,51,256,xsum,1
q0.5_range,0.3,17.632794417258054,2.6370887543760873,0.9432874916853081,2.8358046259208756,0.9997575106349949,0.008363664499778205,0.01283281012327997,0.008481691237933155,5,51,256,xsum,1
q0.5_range,0.35,20.8465342100317,3.0868037082518365,0.9520303955600071,2.813220261085163,0.9998330333694911,0.00700414990471936,0.01151525904032269,0.007102991383454458,5,51,256,xsum,1
q0.5_range,0.4,24.016596353078736,3.5149758514466534,0.9583621265353944,2.8007461861463145,0.9998787147050949,0.0060091572970926155,0.010523214981779105,0.006093957594241629,5,51,256,xsum,1
q0.5_range,0.45,27.50629302549283,4.238662943705495,0.9636446830885863,2.7936941368823844,0.999898615195564,0.00552432088692927,0.010274547616358376,0.005602279247743815,5,51,256,xsum,1
q0.5_range,0.5,30.71091004597679,4.981647136505714,0.9674382817538485,2.7982719886609484,0.9999105848594025,0.005208368872885453,0.010032954068674549,0.005281868567808741,5,51,256,xsum,1
q_large,0.0,11.952735290507958,1.108919585648791,0.9163371416085713,3.570101997562518,0.9997847971072094,0.007653843809856847,0.012161893256035228,0.0077618536683643005,5,51,256,xsum,1
q_large,0.05,11.351151634059413,1.0733037075303753,0.9119032119173287,3.5220571729228545,0.9997497347103131,0.008214042085341957,0.012947768163574125,0.008329957375156141,5,51,256,xsum,1
q_large,0.1,10.751121397149944,1.040494235114297,0.9069864469891398,3.4756688450574345,0.9997045692952395,0.008876592669888876,0.013884524679930621,0.009001857770944147,5,51,256,xsum,1
q_large,0.15,10.154308434579814,1.0175679879150032,0.901519635094541,3.428928466516406,0.9996406313046597,0.009731434833184586,0.015164754217545706,0.009868763334460394,5,51,256,xsum,1
q_large,0.2,9.579729796855867,0.9901180897936069,0.8956129221590147,3.3803600728170653,0.9995648364868344,0.010638848403496583,0.016548931190698113,0.010788982184547099,5,51,256,xsum,1
q_large,0.25,9.038762499989476,0.9606675530840358,0.8893653860247833,3.328603175331515,0.999475864633825,0.01159496165551334,0.0179369703936203,0.01175858795870475,5,51,256,xsum,1
q_large,0.3,8.505271188064729,0.9379791998293971,0.8824258535808618,3.274213251164259,0.99935268250721,0.012785891693652426,0.01965199144335017,0.012966324217104828,5,51,256,xsum,1
q_large,0.35,7.9708704378742725,0.9106486864892686,0.8745431872473532,3.217402072458438,0.9991948298940933,0.014133623239626088,0.02156010625982141,0.01433307474193447,5,51,256,xsum,1
q_large,0.4,7.4360606367385085,0.8785865577680662,0.8655201929016807,3.1576983311613227,0.9989899906343009,0.015667974420339598,0.023721378618936306,0.01588907844888796,5,51,256,xsum,1
q_large,0.45,6.90140985105518,0.8438436411146191,0.855102070217275,3.0946509842060164,0.9987138278884735,0.017470305028804034,0.026254303665639966,0.01771684326777529,5,51,256,xsum,1
q_large,0.5,6.355182215463342,0.7998075537947896,0.842648099441301,3.028977840576977,0.9983458733255377,0.01952736444957499,0.029069057512874252,0.019802931592519016,5,51,256,xsum,1
q_large,0.55,5.815570064274009,0.7489052312837521,0.8280478114874478,2.958111729963823,0.9978592582569812,0.021835162287684447,0.03192385637519113,0.022143296716315305,5,51,256,xsum,1
q_large,0.6,5.296089103033813,0.7054080402456887,0.8111814245294401,2.8785276231125767,0.9971246257395279,0.02479956046182275,0.03510304657687158,0.02514952801839595,5,51,256,xsum,1
q_large,0.65,4.771099730515754,0.6706772280631679,0.7904047166308342,2.792608852534641,0.9958488466652755,0.029052982052382728,0.03966971095172234,0.029462973235722036,5,51,256,xsum,1
q_large,0.7,4.313165650079751,0.6479312738792161,0.7681517286539853,2.6812851130400426,0.9938704254460989,0.034343994944429246,0.044408128040570816,0.034828652082291314,5,51,256,xsum,1
