текст,зерно,исходный: крупный,исходный: мелкий,исходный: средний,маркер: крупный,маркер: мелкий,маркер: средний,маркер без маркера: крупный,маркер без маркера: мелкий,маркер без маркера: средний
26,2,17.800626865261354,2.8064630482116497,11.492498413552543,16.896359886980303,4.782548957052184,8.38965614245202,17.6709603795952,3.6604687201086867,10.25366179082955
27,0,19.493977401412366,3.314463400593966,16.489593161571925,19.69542025750054,6.116931020633492,14.057966532377922,17.394201380613005,3.871354614592351,16.3320141330314
27,1,21.079828228503626,3.5073982121599587,18.176817892559512,17.39101433862569,5.529968789471076,13.17269570919222,18.810944159431568,3.4976128095898913,17.57827902362687
27,2,21.03483503909676,3.2632441026813317,16.58509372511039,18.566237179105833,5.744583602274285,13.066894867091083,17.928845126726376,3.465040975184518,16.048539214919714
28,0,14.715723095528046,2.448205595972668,11.074029555160134,14.102163987784635,4.07088875211979,8.959230178087518,11.924813277777957,2.4513689285647575,9.403924807034363
28,1,15.90376060806716,2.323773455925573,11.55505964592037,13.244418721261178,3.8211691565461687,8.676436765339641,12.765097147527241,2.5275939192455743,10.053555953469028
28,2,14.343186322446961,2.6277181292254843,11.30743612438408,12.95998635125651,3.8328732393549694,8.473853572171041,12.093613442182166,2.546926060737049,9.443818473632955
29,0,15.956880995625207,3.246532759978852,14.155533294881996,19.526698202796076,5.998539728635096,13.959656999168459,20.290269180278383,3.480845067049232,16.42499555132511
29,1,18.572142780191914,3.2388341296466443,16.307402483823005,18.961603352195127,5.665410588672425,13.118006057856494,21.095506662179442,3.578014129559933,16.475372267739207
29,2,17.388455148693353,3.7758224226914288,15.958237165729836,18.83236528314661,6.133975331415187,12.946579685870386,20.73945465023318,3.949256204797819,15.925498103007019
30,0,15.869645935550043,2.521869576053684,12.60174010963535,15.64211419068366,3.860042008408964,10.466863533155832,14.148796796101674,2.892031251307595,10.39327534250701
30,1,15.008208514109558,2.6061812443372796,12.859600084955375,17.09658242611923,4.501937008891203,10.748148080752426,15.765342682868042,2.7801641092660816,11.531823018537708
30,2,15.313621697050934,2.5718644743300385,12.666428738443988,16.47846116794223,3.752194266931182,10.349468702434672,14.689765960222031,2.5881168095468934,11.51142237222567
31,0,17.36388777354128,4.0864526488439,15.843000567129806,15.656596677299254,5.708267714924465,13.71414098260538,15.633989522877705,4.1053842062360815,14.810951945239509
31,1,17.254953291697703,3.615025389816153,15.966109998779647,17.616735906863596,5.880285290621659,13.558482449521497,16.69821363708758,4.033621053232217,15.381010746139356
31,2,17.95333747987936,3.6417022994194403,15.989956277283094,15.536402928008531,5.862933421174757,12.931744100110654,16.82973824997214,4.4215122002910485,15.394012004880727
32,0,14.02640366380202,3.3784125967941216,10.722147422725381,13.3623126576239,4.116789110967349,7.9074797207076815,12.660508988222098,3.528340556411663,8.709617907137034
32,1,14.14664626869841,3.416568626393452,10.600891138205682,13.119810377345901,5.028935915932448,8.286396370307921,11.864361400950635,3.388096535650281,8.367144641319925
32,2,13.155794059316797,3.5088467363146885,10.727413743498648,13.00630749480362,3.917398305102775,7.995809960118922,12.50452755038328,3.4346820003474945,9.363111313163529
33,0,16.13803429038405,2.983568321028454,11.844945593944166,13.63899207328994,4.9001087131137835,8.525765296787103,12.562222725408771,3.282599022563317,9.78551793443046
33,1,15.330861293077342,2.44534208102016,11.39707345901815,12.607219903900356,5.235812333763319,7.979683648309795,12.443463759394128,3.07161378775413,9.652970927357087
33,2,15.661422977731986,2.7745656872330104,11.96112409036659,13.338203139481125,4.396059125215335,8.046004642372798,11.851386035091876,2.8065417001993636,9.572927084742224
34,0,17.592257597515264,3.5028842296909444,14.709871540544317,12.422080081524697,6.124728996818609,10.779336229850554,13.258777160817147,3.77207319741136,12.618314530138175
34,1,16.131516869978896,3.6665753526493665,14.27645656063331,13.723541689401268,4.94201202331913,11.791229274212695,14.907265080595288,4.087046903779606,13.430488108436787
34,2,19.196614973361804,3.6365011513028227,14.580729760944669,14.412277265793055,5.831451152856997,12.272775547078988,14.931511497124966,3.5183374136746655,13.889677138915976
