mode,q,mean_d,cv_within,cv_between,rel_resid,rel_dse,variant
q_large,0.5,5.070591924569272,0.0808197646756264,0.13842398782230156,0.006964106288173977,0.0452609295285968,rep32
q_large,0.6,4.224006216647665,0.08143104819122493,0.14106393808922446,0.009043081304895078,0.04632733773343033,rep32
q_large,0.9,3.348106980347354,0.15400720547887653,0.17645557982711393,0.02654619534783146,0.08980069708957336,rep32
q_small,0.0,9.05179398598661,0.06542969407051562,0.12160633219614456,0.002814594302468513,0.036646685575810606,rep32
q_small,0.3,14.27922694013135,0.08447812225880717,0.1560892523111136,0.0027569371061662695,0.05753140817591307,rep32
q_small,0.5,18.922866486191605,0.07382421639449371,0.15227913712921093,0.0013169336734245888,0.03826765967917847,rep32
q_small,0.6,19.875197457366887,0.08134932332067986,0.16866783842692387,0.0013007518913457,0.03977852232516515,rep32
q_small,0.9,21.20742902301419,0.15239700013074226,0.27216408560142485,0.0019308472512449336,0.0632733971414524,rep32
q0.5_range,0.0,5.050598450662986,0.06870758914387265,0.13485368623803026,0.005713804704068323,0.03692893436243547,rep64
q0.5_range,0.3,12.540037501733956,0.08916964545890407,0.15911997651677917,0.003917999682783628,0.07013195521231239,rep64
q0.5_range,0.5,18.85431255738366,0.06760542180062087,0.15322107361994886,0.0011168700979158406,0.03204119816426328,rep64
q_large,0.0,9.022526921871053,0.05555844194102395,0.11989086004273732,0.002252981078388218,0.029266825916043814,rep64
q_large,0.3,6.7726091661826935,0.061348373632993475,0.12521344237476828,0.003588344715085329,0.03334098972403896,rep64
q_large,0.5,5.050598450662986,0.06870758914387265,0.13485368623803026,0.005713804704068323,0.03692893436243547,rep64
q_large,0.6,4.205500927947844,0.06824136667977442,0.13800584403249955,0.007096539019579864,0.03629944858426311,rep64
q_large,0.9,3.293044186023508,0.13357298110787108,0.16939993600034586,0.021862511392364607,0.07181395859603018,rep64
q_small,0.0,9.022526921871053,0.05555844194102395,0.11989086004273732,0.002252981078388218,0.029266825916043814,rep64
q_small,0.3,14.230386408117626,0.07826836865039513,0.15288249520302905,0.002709889473214347,0.05661918548300699,rep64
q_small,0.5,18.85431255738366,0.06760542180062087,0.15322107361994886,0.0011168700979158406,0.03204119816426328,rep64
q_small,0.6,19.785436889188002,0.07452943571459596,0.16946287737126065,0.0010729053315802631,0.032476649277743096,rep64
q_small,0.9,21.05619348939744,0.13275679821927633,0.27023814202010654,0.0016346172569787624,0.051696023820789215,rep64
q0.5_range,0.0,5.050489450276002,0.115150544751745,0.14141957839206626,0.012988731246032706,0.08207739591256556,grid_log
q0.5_range,0.3,12.54153050516502,0.12621542542391684,0.1649390205761631,0.00497315958554602,0.08848095506659996,grid_log
q0.5_range,0.5,18.774929984439474,0.10247454653602228,0.15568513111559665,0.002751430268725554,0.07935883099827595,grid_log
q_large,0.0,8.987983603289477,0.09270829122382834,0.12386268830388648,0.005314230504476464,0.06769963608195131,grid_log
q_large,0.3,6.762396136330349,0.10546625780958087,0.13186270728832367,0.008186946021648128,0.0747139886784176,grid_log
q_large,0.5,5.050489450276002,0.115150544751745,0.14141957839206626,0.012988731246032706,0.08207739591256556,grid_log
q_large,0.6,4.206780433040703,0.11737746022037483,0.14374231016077688,0.017544629720767965,0.08721418424797468,grid_log
q_large,0.9,3.3726596116434875,0.2196534760682962,0.17987918711892523,0.05115563939490796,0.17540385474593775,grid_log
q_small,0.0,8.987983603289477,0.09270829122382834,0.12386268830388648,0.005314230504476464,0.06769963608195131,grid_log
q_small,0.3,14.198030559188961,0.10833958262743722,0.15708793597216555,0.0038858591497637884,0.08063320607052402,grid_log
q_small,0.5,18.774929984439474,0.10247454653602228,0.15568513111559665,0.002751430268725554,0.07935883099827595,grid_log
q_small,0.6,19.728291800787442,0.1133924848702634,0.17378533788841952,0.0027887133714530896,0.08483467442686111,grid_log
q_small,0.9,21.221366687585796,0.21838281827234207,0.2920464585472163,0.004013901289323336,0.13077279730967747,grid_log
q0.5_range,0.0,5.0702554584562,0.11626533178924588,0.14166655079604043,0.013676562647895182,0.08659070499389633,grid_more_small
q0.5_range,0.3,12.423824298645378,0.12554787638134157,0.1607035310200007,0.005002694298556381,0.08944483771888195,grid_more_small
q0.5_range,0.5,18.716340029226163,0.09806943115671295,0.14950018362064413,0.003084310288194071,0.08990825124080054,grid_more_small
q_large,0.0,9.01435013901237,0.09319292293589342,0.1216251909874237,0.005883524540494361,0.07521244613237385,grid_more_small
