текст,seed,сырой: крупный,сырой: мелкий,сырой: средний,нормированный: крупный,нормированный: мелкий,нормированный: средний,без стоков: крупный,без стоков: мелкий,без стоков: средний,без стоков + норм.: крупный,без стоков + норм.: мелкий,без стоков + норм.: средний
2,4,18.014441233030198,2.992033501769605,12.16710918515839,15.82119167272056,3.042246625486722,11.581352052141337,17.660307971121888,3.063840679335582,12.205452560381328,18.188128489639816,3.1059372130361838,11.54907458875924
2,5,17.310379566867347,2.681334774353324,12.879251225308588,16.088096826748046,2.7434637383741767,12.513609607273201,18.643365349863856,3.0157054001595816,12.812019552931499,19.628104264688048,3.0304095289330517,12.323583854572894
3,0,16.700282527363335,3.8551444268953836,15.132965550393243,16.05093801900183,3.7955500542101817,14.881780940210962,18.944101638527325,4.268634908005542,15.6745061925407,20.44442867019854,4.166862658024964,15.688881257789285
3,1,16.2704093831637,3.913244560747741,14.798511834625572,15.98135089944444,3.880768390467865,14.881821737374239,19.354058359109636,4.715408715753406,16.045534076152734,20.86210428219644,4.58136214908417,16.264457698382763
3,2,16.806045742722162,4.189823280576535,15.77783826003864,16.28891622097411,4.1738482999812385,15.993304341783297,21.61486555338326,4.353110223059259,16.581637610205,22.67614443492448,4.318304205396905,16.920704080029502
3,3,15.831688077489579,3.804385185667459,14.608325691539983,15.418599153591183,3.8037046671888786,14.870802183489042,19.241298202563655,4.583615861458317,15.315881058826957,21.083660727468665,4.555004138663569,15.825975008455789
3,4,19.1706271897581,4.096422135385973,16.20939916378954,20.2802091638011,4.0301844344328135,16.278257478652286,19.925565226780492,4.511954641705211,16.443338113526774,23.505625777322294,4.50700123179681,17.11685402117059
3,5,16.72255208036664,3.5931657589576003,15.616302528263734,16.106219815093592,3.555774607073371,15.507881981695993,18.240730504543663,4.169524176170802,15.389927612363383,19.380792091313293,4.095505959697102,15.373848218362463
4,0,15.446226477704679,2.862295320452461,14.263733997221408,14.021436130126297,2.911662800400888,14.05735200603726,18.214562523848016,3.746820648607778,15.75710415679778,19.021761178066296,3.7127731852087513,15.93572244244857
4,1,16.026390917731106,2.977021788207287,14.625661422874206,14.730473541143775,3.019909779431308,14.488868472777956,18.66985134856934,3.2924797405569692,16.010750541114753,19.46827151526216,3.2682498536719593,16.11099267365058
4,2,15.583552152951597,2.8402037522179784,14.672227948446078,14.388556906017605,2.8642612427589,14.269951597296664,17.24633418479345,3.641778703834575,14.6770416772879,18.25033911293554,3.587828886013265,14.845053863866047
4,3,15.781475096044106,2.9341799392466186,14.25834128244801,14.62878089798469,2.960003759125228,14.04279931053566,17.784865333998923,3.3261533862123605,14.802835328508806,18.50416868907885,3.2882327721743603,14.921766192866352
4,4,15.174917624478597,2.8873449400548177,14.49280365912638,13.713379768967352,2.905081924681969,14.17294527425796,17.88107247730348,3.4765742745729367,15.041680328835549,19.289249734175453,3.4962525621942335,15.313522797649123
4,5,16.045334994996207,2.926206985538684,14.720753309014409,15.035117972891973,2.95241008603949,14.499020082598197,16.488843476285044,3.660284315997626,15.112413106726354,17.23111374547104,3.652854793544068,15.241766788933464
5,0,17.541548136598955,3.279065252025756,14.273225014402527,15.91780443034319,3.228903941312615,14.50520842881873,17.554016888635644,3.4915219738425125,14.14485229709685,17.7700170353283,3.439040175343929,14.85633690102182
5,1,17.437157215405918,3.169055755830159,14.451104237932205,15.743370621298775,3.1168092778744065,14.686629022822013,20.93537883817444,3.7220778147355422,15.551505147290431,21.899237828766346,3.6259181165162175,16.29159073895402
5,2,18.075480656622812,3.16405835151266,15.1149017290082,16.4766461132201,3.153002805282803,15.562812804629925,18.21178226542381,3.4321683717685767,14.386585257279211,18.535689424607522,3.373612351834434,15.069894233050672
5,3,16.69690770717826,2.979499400059877,13.68446654903802,14.987724083362783,2.9495453171338144,13.865222885345883,18.957801092809163,3.5986122265241938,14.887315022647437,19.061522119636653,3.5355942102862676,15.401890714185532
5,4,16.8246011823057,3.1515892335065248,14.110647162372839,15.00910333015364,3.1049105085523263,14.313353779315722,17.83467245504729,3.6348252655636295,14.481800483464117,17.990511150636504,3.534293674676916,14.932680910926251
5,5,17.498084755625996,3.144507991813849,14.210866900512684,16.31865692493937,3.0940854946175365,14.620674473945304,20.04306462676206,3.5037205508023628,15.372574751165894,20.220088635370505,3.4202867307738414,15.843170792331799
6,0,18.78819358936144,3.9093161110522874,15.860045240632157,18.762928814557167,3.81694097607622,16.826088677744803,20.38232981381906,4.288262144918811,16.686628579810645,25.610256656866497,4.101507431846006,18.012849267990788
6,1,16.99197946866664,4.082305567276481,15.245926147517366,17.1839739634802,3.9157228543303764,16.442425700136162,20.876642114315178,4.644766235255665,16.229574451732248,24.483973216741223,4.432858677209176,17.890274754708297
6,2,17.525684151291834,4.221000638605395,15.718608934359557,17.283483318347418,4.098777107966614,16.354456334285448,19.285717091604738,4.4562073033250895,16.490134186463226,22.907211608954483,4.297612207865104,17.991913850854655
6,3,18.930186813451755,3.8387393988878635,16.6748957405107,18.733139876563754,3.723242309210041,17.002775131147963,20.509789228508556,4.703249347801589,15.403721066888934,24.787637523278004,4.533774419501236,17.2695268510672
6,4,18.12224908879766,4.445918483512077,16.37911481619798,18.34242213517022,4.324094506399694,17.54430891687923,20.399612682619434,4.694183413798508,16.71521934134935,25.094868006317565,4.488842341373724,18.935147283653215
6,5,18.7578758473308,4.255929708540042,15.255307759843339,19.40279568499608,4.181846180999872,16.674918171368727,19.363516808573927,4.76811893731337,16.14832789542184,23.336089995231063,4.535861301050528,17.864264090799036
7,0,18.092193244455004,3.7081528706551703,16.668051353999488,16.193170827210686,3.6923384580531007,17.13113879681519,19.085476358867513,4.173050472790855,15.815031776231475,20.64260885913901,4.001660663342595,16.918466115229744
