perturbation,mode,q,n,d0,delta,rel,effect
ideas_up_v2,q0.5_range,0.4,191,14.750864989444896,1.5285865454373815,0.11052164768254046,0.8363312666460674
ideas_up_v2,q0.5_range,0.45,191,15.536334969521118,1.1998995475226961,0.08357758411987924,0.6906584034128753
ideas_up_v2,q0.5_range,0.5,191,16.149253307337904,0.9295095210003437,0.06409418428834139,0.547432715592135
ideas_up_v2,q_large,0.0,191,8.3213606346532,0.8167147275244843,0.10185875592495733,0.8773790711819429
ideas_up_v2,q_large,0.05,191,8.007674988399565,0.8237784882495361,0.10665439926739839,0.8763184654210276
ideas_up_v2,q_large,0.1,191,7.722665124928419,0.8223894061528062,0.11037107734215404,0.8752750981807862
ideas_up_v2,q_large,0.15,191,7.41466402839246,0.8181679245477443,0.1144906080278418,0.8750667611108792
ideas_up_v2,q_large,0.2,191,7.090282936802459,0.8074002470490056,0.11840884340346142,0.8738410865805601
ideas_up_v2,q_large,0.25,191,6.751339437502469,0.7920305555157603,0.12228180034064658,0.8737143851720676
ideas_up_v2,q_large,0.3,191,6.399601202718279,0.771183770883186,0.12591542585861032,0.8724280941777981
ideas_up_v2,q_large,0.35,191,6.035099821098166,0.7443846247246478,0.12922604336074958,0.8686090235056069
ideas_up_v2,q_large,0.4,191,5.656777473244847,0.7128942979907937,0.1324359107201524,0.8624985217468398
ideas_up_v2,q_large,0.45,191,5.264837150318082,0.6763094616281885,0.1354426062732711,0.8537646127393415
ideas_up_v2,q_large,0.5,191,4.860661101480485,0.6329825311248202,0.13776871762777693,0.8402496325493786
ideas_up_v2,q_large,0.55,191,4.4501807706080925,0.5791786947660358,0.13804997263424323,0.818027830774903
ideas_up_v2,q_large,0.6,191,4.050088883483512,0.5053504510576021,0.13249112371324712,0.77515384187857
ideas_up_v2,q_large,0.65,191,3.693725913151486,0.39776981464770417,0.11441048850477561,0.6885939432212919
ideas_up_v2,q_large,0.7,191,3.421470510261558,0.2548499375300761,0.08013699371370388,0.5258331887786838
ideas_up_v2,q_large,0.75,191,3.2628894699707325,0.09743959014683509,0.03568526375626899,0.24321041904738613
ideas_up_v2,q_large,0.8,191,3.220435748040126,-0.04119971431264259,-0.005463881209644846,-0.1079907838558151
ideas_up_v2,q_large,0.85,191,3.2509618129178275,-0.13558839682685034,-0.03185066201043794,-0.3102369827239669
ideas_up_v2,q_large,0.9,191,3.209531474705755,-0.1506092971115188,-0.03195628760775213,-0.2858091282414782
ideas_up_v2,q_small,0.0,191,8.3213606346532,0.8167147275244843,0.10185875592495733,0.8773790711819429
ideas_up_v2,q_small,0.05,191,8.64898372215965,0.9184824474133226,0.11021350408400395,0.8961634356594971
ideas_up_v2,q_small,0.1,191,9.007456824490854,1.0986009889820125,0.12635235135861245,0.9175879233881991
ideas_up_v2,q_small,0.15,191,9.609987946280258,1.3844192673097373,0.1494614500768574,0.9411417640439662
ideas_up_v2,q_small,0.2,191,10.517962546639705,1.6992754073354763,0.1685906118853034,0.9714434701996645
ideas_up_v2,q_small,0.25,191,11.697399100885244,1.886108919121582,0.1700076413010745,1.0095433995652658
ideas_up_v2,q_small,0.3,191,12.991159675168449,1.826031366059825,0.1499092152474465,1.0003483394375525
ideas_up_v2,q_small,0.35,191,14.172867736799276,1.574699364747415,0.11952529113015962,0.907530652909832
ideas_up_v2,q_small,0.4,191,15.082787530567977,1.2930398809000563,0.09297493714068217,0.7680360180148225
