набор,текст,условие,d(x) среднее,d(x) разброс,"d(x) разброс, одиночки","d(x) разброс, повторные",d(x) одиночки,d(x) повторные,центров
механические,2,эхо x4,10.08292569607105,2.2222231529163126,1.7002228014212013,2.3425478468052585,10.768717658648749,9.828879471755316,72.0
механические,2,эхо на четверти,9.91249320507506,2.9005012004171693,2.6570845639959164,3.1127778214070303,10.369981277310485,9.155724203596327,115.66666666666667
механические,2,словарь к 25,8.359015605778863,2.896227684655924,2.8597456513034403,2.8720016302091373,8.738090924727766,8.04117289370531,81.0
механические,2,словарь к 60,9.24931110921458,2.8513535402125343,2.8696665469414224,2.5521842347113144,9.873942691725814,8.330651388820263,103.33333333333333
механические,2,все слова разные,9.324195862727649,3.9597488923446895,3.988475274600195,3.3379396588003982,9.14352415194015,10.655031518302991,163.66666666666666
механические,2,чужие хапаксы,8.928611158703324,3.33097836416162,3.494252614839871,2.7609435462495386,8.461581169189069,9.800577225215406,121.33333333333333
механические,2,хапаксы одного домена,8.344570535344504,3.7514513202429765,3.9354444573436957,2.9544126805510387,7.558280421370111,9.62760189936275,121.0
механические,2,20 чужих хапаксов,10.248990188056807,2.828324514282416,2.6823818279185416,2.7971353938818644,10.732555943380936,9.158549441575802,125.33333333333333
механические,2,маркер каждые 3,9.229104604431166,2.9671486131574407,3.123220482045653,2.5763295614334636,9.023938251030508,9.645359129742658,108.66666666666667
механические,2,без пунктуации,10.685098092708104,2.5639730838446,2.5083418901628485,2.537115584441104,11.025079081575456,10.056041399659065,118.0
механические,2,без служебных,9.24544459723012,3.277759726264653,3.3817853141651475,2.983165486148353,9.283449874415602,9.12577599694297,126.33333333333333
механические,3,исходный,10.731847678845535,2.7466679339778195,2.520959704458589,2.8839733405957175,11.197386877325897,9.3107255983713,135.0
механические,3,перемешивание,10.831349520061984,3.0174656003794165,2.9174350123595723,3.1857803384006647,11.017694592369997,10.285423766340491,137.0
механические,3,эхо x2,10.919316188043075,2.5659482389981427,2.387394714443053,2.44112728489312,11.66297171275088,10.003167701991075,108.33333333333333
механические,3,эхо x4,11.220549649666921,2.315943349698991,1.8650040104530667,2.4373367789894984,11.858746770432072,10.896818341493388,80.0
механические,3,эхо на четверти,10.61265252703114,3.019713155443876,2.9988438857672137,2.693789641984734,11.089003072729811,9.376240799785206,130.33333333333334
механические,3,словарь к 25,9.034267395453353,2.53462065449748,2.2302273299246553,2.6764966861820074,9.59877609898416,8.49858857602134,79.33333333333333
механические,3,словарь к 60,9.017016976508257,2.8474109754686943,2.654090743566139,2.7217237141232986,9.83392710362771,7.92657547199074,97.66666666666667
механические,3,все слова разные,9.95792995069325,3.6937024641163076,3.7298443541684017,3.383837277776737,10.018726106974787,9.540211738315385,159.33333333333334
механические,3,чужие хапаксы,9.841995489136641,3.462565908730481,3.4201544669298976,3.513422080920206,9.939916525096665,9.608037145288248,131.33333333333334
механические,3,хапаксы одного домена,10.168575587813105,3.304265959550435,3.392076723836412,2.7597747136903714,10.297337926369236,9.81330285536177,139.33333333333334
механические,3,20 чужих хапаксов,10.378709428852625,3.067419512151846,2.980731667235901,3.0209455363220266,10.786807633498546,9.222955208059018,138.33333333333334
механические,3,маркер каждые 3,10.241268568111318,3.295436223089586,3.2556075352561926,3.2887600013870273,10.4509791685086,9.584941482532962,110.33333333333333
механические,3,без пунктуации,11.954573768117251,2.543736535959751,2.3414158251114325,2.716037662081438,12.366177013235387,10.655558955277764,135.33333333333334
механические,3,без служебных,10.567611848103654,2.9235942632297784,2.9039271834584994,2.7846850504187395,10.897283484097729,9.587842336087128,142.0
механические,4,исходный,9.967727388320265,2.7931555348698525,2.808008689038352,2.415370622815782,10.401175796457887,8.931712556311943,131.0
механические,4,перемешивание,10.419463636126386,2.6971552869005264,2.766349524219544,2.49818938828991,10.453959879372855,10.33312496653427,131.33333333333334
механические,4,эхо x2,10.28455243521877,2.4536663213439573,2.236855418022045,2.5169534498884265,10.573666287085729,10.059295937741334,105.33333333333333
механические,4,эхо x4,9.9901024208974,2.4727358086039923,2.1964972728029157,2.5014015868887705,10.498728151170749,9.909675577138728,65.33333333333333
механические,4,эхо на четверти,9.773212687009533,2.916453964137556,2.8805479235374416,2.915419970625622,9.863991241836757,9.662495058030458,116.66666666666667
механические,4,словарь к 25,8.913234101634192,2.6188981431730762,2.545220322280622,2.442104971163564,9.517717587850365,8.2681867738932,83.66666666666667
механические,4,словарь к 60,9.593264914094702,2.813347115630876,2.7656971579555703,2.5557973964962923,10.283137001995472,8.61406326952691,107.33333333333333
механические,4,все слова разные,9.868579023408728,3.793446733260993,3.900415401803477,3.019157240794471,9.819339256247744,10.155438036971935,149.33333333333334
механические,4,чужие хапаксы,9.012625729704057,3.3147373080106806,3.5626600341719263,2.589124930564121,9.044431651118112,8.931504580334694,127.33333333333333
