текст,условие,S,C
7,чужие хапаксы,0.0210152512181353,6.541704967705236
7,хапаксы одного домена,0.04278707644214116,5.398074802318362
7,перемешивание,-0.04812616324244227,3.700644203360756
7,эхо x4,0.07170322064659022,0.1323983284708233
7,все слова разные,0.08807193565570703,6.861848876963905
8,исходный,0.16251089103183272,7.008366646811851
8,чужие хапаксы,0.1534677510233511,6.942675451011351
8,хапаксы одного домена,0.2113230256535766,6.091713626613114
8,перемешивание,0.061385515256171974,3.7246983383412715
8,эхо x4,0.027511202248044448,0.8370778137327971
8,все слова разные,0.05978282227244062,6.475058642747068
9,исходный,0.08579579764901513,3.496944804584681
9,чужие хапаксы,0.19950360204559794,3.593466428179136
9,хапаксы одного домена,0.2252891766868779,2.620316543089011
9,перемешивание,0.06379687495747954,0.9839929315740182
9,эхо x4,0.05258537758537759,0.34445314367519647
9,все слова разные,0.06198364784312271,3.2893445799141285
10,исходный,0.05021145598081885,4.677783543349992
10,чужие хапаксы,0.0777656048641147,9.320951589370225
10,хапаксы одного домена,0.08145989262047004,11.031651978907197
10,перемешивание,0.03409557331368603,3.5763110073818147
10,эхо x4,0.04578478701285723,0.18846805937186303
10,все слова разные,0.07761866759983956,7.692670871516465
11,исходный,0.08004870663634962,4.3883624010801885
11,чужие хапаксы,0.12296808053426762,6.464724527978586
11,хапаксы одного домена,0.1359725814656478,7.472896529160496
11,перемешивание,0.0752423399156638,3.8474497220975827
11,эхо x4,0.048767188240872415,0.075904117958898
11,все слова разные,0.15656366603825525,7.851804069864065
12,исходный,0.08998212931413326,3.743417331395838
12,чужие хапаксы,0.17536398048236587,9.018720006495466
12,хапаксы одного домена,0.13003642552196878,7.192587218990025
12,перемешивание,0.05761790581448201,1.8309184874679587
12,эхо x4,0.055095821586259364,0.10533855138359356
12,все слова разные,0.1265631611561144,9.246656276040405
13,исходный,-0.02547233338432268,5.562053393516531
13,чужие хапаксы,0.023960978795135885,11.374233113299029
13,хапаксы одного домена,0.10076971341509615,10.577673917503972
13,перемешивание,0.03720510714142611,4.723260584693949
13,эхо x4,0.04667650523340625,0.5628633951393229
13,все слова разные,0.09314228682409191,12.115810351818993
14,исходный,-0.011318120493617023,3.9152926752434865
14,чужие хапаксы,0.11349211613888222,9.44891696806942
14,хапаксы одного домена,0.16537481493987793,9.516797547581561
14,перемешивание,0.0807032243430424,5.368089210904596
14,эхо x4,0.047634748304284456,0.7432564710907018
14,все слова разные,0.1130674516039405,11.4126387062973
15,исходный,-0.009116242990409954,5.089060278518406
15,чужие хапаксы,0.041065003500791196,6.544273871459214
15,хапаксы одного домена,0.028073047635757426,6.2305401143712755
15,перемешивание,0.0694090237172369,4.858262822431878
15,эхо x4,0.029744326495863005,0.2736750365786625
15,все слова разные,0.07859200900725438,6.522606650630099
16,исходный,0.04149206081084241,2.8174071609844393
16,чужие хапаксы,0.02404950079949723,5.48062161965246
16,хапаксы одного домена,0.044053195220376797,5.1811547989664435
16,перемешивание,0.00895037135734141,2.8661860758646713
16,эхо x4,0.04770268715052787,0.06833341284417199
16,все слова разные,0.08248760426098171,3.6170082915003916
17,исходный,0.09049266089431111,5.532371275427416
17,чужие хапаксы,0.06973312145306336,8.22084367412932
17,хапаксы одного домена,0.12964313397358254,6.670193411218769
17,перемешивание,0.05046468374039156,3.594197881879275
17,эхо x4,0.030930337051309504,0.08066190835798391
17,все слова разные,0.1681666843945575,9.100822911146674
18,исходный,0.04085588694029211,5.525588138266461
18,чужие хапаксы,0.03159934794404443,7.20410210074937
18,хапаксы одного домена,0.11274122287476558,5.834270673542136
18,перемешивание,0.08407705042043134,4.5989966628726355
18,эхо x4,0.06686940063805735,0.8859013491842752
