текст,seed,токенов,стоков,"доля стоков, %",со стоками: крупный,со стоками: мелкий,со стоками: средний,без стоков: крупный,без стоков: мелкий,без стоков: средний
9,3,506,12,2.371541501976284,18.058877655277495,3.722017665093034,10.19879742621259,20.20052389644592,4.129172480943563,10.986027220500628
9,4,506,12,2.371541501976284,15.430007491836436,3.864055094982668,10.508525534328523,16.803506471135638,4.869143248957826,10.57868178025079
9,5,506,12,2.371541501976284,16.989414641471466,4.222895462634749,10.598124894834637,21.01988786336581,4.898111807811333,11.785000116647902
10,0,457,11,2.4070021881838075,15.267407533514156,3.567348761864629,13.984311469936813,18.787495031267653,4.294211237176536,15.246523923591178
10,1,457,11,2.4070021881838075,14.577299311904786,3.8982422885095325,13.47930073552603,18.63941201042433,4.2406365951136795,15.259778273809957
10,2,457,11,2.4070021881838075,15.19976543516544,3.4085815639743013,13.715019215119899,20.69902774166631,4.426022287780026,16.423191929853154
10,3,457,11,2.4070021881838075,16.027381562533147,3.7576435112450746,14.566036227410896,18.594676654274416,4.325997219045928,15.08777032671386
10,4,457,11,2.4070021881838075,15.22659518586032,3.913822305740157,14.30459127041523,17.435486202633548,4.6759894165103875,14.321366192850855
10,5,457,11,2.4070021881838075,15.059813677483033,3.5194740723944222,14.108466937851864,17.943820385634467,4.35848452578445,15.03704750544018
11,0,499,10,2.004008016032064,17.76700310525924,3.429017662365471,13.103533598381393,20.644103572975204,3.729592772644907,14.160876641782753
11,1,499,10,2.004008016032064,19.0209753592438,3.4980494177363792,13.320003843607083,20.1822521680193,4.253381052797581,14.260011506246936
11,2,499,10,2.004008016032064,18.062620800604684,3.287796574254098,13.48602335264432,19.145687270645183,3.799676388603202,13.57353425995677
11,3,499,10,2.004008016032064,20.278413831183926,3.6246704601472315,13.835880665221078,18.197810028187916,3.634805674947001,13.243989580971169
11,4,499,10,2.004008016032064,18.01641487203009,3.32227711933911,13.323875899694704,20.044955239332165,3.496746489273987,13.803604573331956
11,5,499,10,2.004008016032064,18.773859451115158,3.6799228746389296,13.051107562252394,21.637414837354797,4.231289833522019,14.11428961212657
12,0,446,10,2.242152466367713,17.725393736743975,3.6340289716625653,12.059992534372135,20.059818360599063,3.8588669783432743,12.194780358949098
12,1,446,10,2.242152466367713,17.15063360337603,3.6846590634935477,11.59017348448904,17.918539919644058,4.129353884083062,11.56898502860967
12,2,446,10,2.242152466367713,18.496679838824925,3.64645344533282,11.726558775426446,19.643604901777078,4.342518546314092,11.938746569165502
12,3,446,10,2.242152466367713,17.221038338899866,3.3896560422959072,11.542767829994586,19.038741554396708,4.226188866929567,12.415918978206477
12,4,446,10,2.242152466367713,17.40919973962168,3.420804953662705,11.36129794358621,19.664430636875725,4.238323997854391,11.894679849909183
12,5,446,10,2.242152466367713,16.901069469536402,3.576455253453491,11.430959151429008,19.33577513559855,4.178956013886861,12.066747732775696
13,0,1114,27,2.423698384201077,15.113459787203592,3.339200736151536,13.164339933178496,17.0925710789888,3.6210902942070686,14.518307176213131
13,1,1114,27,2.423698384201077,14.95815707815161,3.2952339425302175,13.475885813667839,16.632006689265936,3.5794200676971397,13.840577562742297
13,2,1114,27,2.423698384201077,15.427307860788188,3.394121500046667,13.682016745596126,17.112317473620703,3.8151307152401857,14.927091035464764
13,3,1114,27,2.423698384201077,16.955784067094967,2.8102109775737114,13.56496138721916,15.559424808782264,3.756862804172177,13.127542004939736
13,4,1114,27,2.423698384201077,17.327474946134963,3.3612195193253527,14.582113832826327,16.458992860643956,3.735744386558338,14.339766182218337
13,5,1114,27,2.423698384201077,16.245551788205287,3.3475354436206866,13.567777790132046,15.430611318601276,3.752403880582414,14.223464582753062
14,0,490,12,2.4489795918367347,19.540915762616535,3.505080792974815,17.57559446116084,21.425046496789093,4.35378344971425,16.441471800473003
14,1,490,12,2.4489795918367347,18.62475856521749,3.5065352854653047,15.364124084175051,21.082387278916453,4.339496078557299,16.72713569688689
14,2,490,12,2.4489795918367347,18.180943843465172,3.6241721514782,17.155501992393408,22.74616256929388,4.053409237024325,16.615033713892082
14,3,490,12,2.4489795918367347,17.317417767338256,3.3036027178073675,15.057728739958643,25.282394749482595,4.992452854268696,18.634951514381775
14,4,490,12,2.4489795918367347,18.761717406771286,3.5059290308078346,17.31691959784154,20.302621842924705,4.186675209251568,16.771555221797946
14,5,490,12,2.4489795918367347,18.286460022075808,3.6976639998456124,16.354010823302293,21.099058147962918,4.5232911210425115,17.15854989339949
15,0,445,10,2.247191011235955,19.006923902466525,3.1284684099103486,15.610380571421468,22.37988031978046,4.048529201188939,17.05834890994219
15,1,445,10,2.247191011235955,17.409503351974774,3.2369485654399406,15.714130524317937,23.169950067948484,3.8084461950799446,17.181091979852177
15,2,445,10,2.247191011235955,18.151609733967376,3.2901127490843614,15.843395786126848,20.159076233599095,4.008072900636721,17.124077680177887
15,3,445,10,2.247191011235955,17.931553686861534,3.2415614665229766,15.11553640891222,22.79519339754121,3.794515662504767,18.160427391360297
15,4,445,10,2.247191011235955,19.73972856434686,3.1895576663332292,16.72524100988364,19.972157636094682,3.9102526390651096,16.589949758154358
15,5,445,10,2.247191011235955,19.491955358039103,3.4338429955706835,16.501497015397,22.17289019683999,3.91682176866295,16.50766444951555
16,0,437,12,2.745995423340961,15.799942102241706,3.9898126502670586,15.838854319119472,18.52966814020188,4.639854078166296,15.72210026894302
16,1,437,12,2.745995423340961,16.09567286505857,4.034901466565426,16.52754458544203,20.07967374198553,5.220986204511488,17.423023334478685
