набор,текст,условие,крупный,мелкий,средний,типов
механические,14,без пунктуации,54.2722487087835,19.14330079269877,37.810156465516975,133.33333333333334
механические,14,без служебных,30.731278221245734,17.32945542777983,32.43213773957873,136.33333333333334
механические,15,исходный,33.932286183006376,22.191582605721795,31.00351089975331,139.66666666666666
механические,15,перемешивание,34.10427493398867,20.63240726721234,36.56709257427547,138.66666666666666
механические,15,эхо x2,29.651269764442844,25.885277734932078,27.396723677155475,118.0
механические,15,эхо на четверти,30.455134567058327,21.52423184880801,30.91492566049415,129.0
механические,15,словарь к 60,35.63645587925013,32.244907309552225,35.73731939921019,108.0
механические,15,все слова разные,31.16479848692993,22.545908135928865,33.11011201603297,161.66666666666666
механические,15,чужие хапаксы,29.823910454763396,21.79654782856029,30.03146190893874,140.33333333333334
механические,15,хапаксы одного домена,32.320397087385636,25.817723979668973,34.07895945325824,141.0
механические,15,20 чужих хапаксов,32.321045208619985,24.47805409723018,29.646832485349496,144.66666666666666
механические,15,маркер каждые 3,46.87641210349162,32.27007591490727,43.976673726310516,111.66666666666667
механические,15,без пунктуации,49.711938692815984,21.103743006494316,35.96510639531707,137.33333333333334
механические,15,без служебных,30.878894467006543,19.983515401441586,27.860910499572793,148.0
механические,16,исходный,53.330963166519815,21.972703072643938,40.73467376935263,131.0
механические,16,перемешивание,51.017233858004495,26.84636762042119,37.68866350479609,136.0
механические,16,эхо x2,50.592102453475974,25.85507816510957,39.733223249787564,110.66666666666667
механические,16,эхо на четверти,38.271189956927145,24.694306848578975,33.81877611998758,130.33333333333334
механические,16,словарь к 60,37.08639861106677,24.15962385646473,49.93010358312013,106.0
механические,16,все слова разные,31.25689335939897,18.92820578718516,35.050679841740184,141.66666666666666
механические,16,чужие хапаксы,30.837897884234817,26.471657578652053,36.244699135754225,138.66666666666666
механические,16,хапаксы одного домена,33.40220088067179,30.263487905741567,37.722888157640256,133.66666666666666
механические,16,20 чужих хапаксов,37.091565891748,24.80362281540607,34.907625404855075,136.33333333333334
механические,16,маркер каждые 3,70.09190843426182,27.51642490962035,47.38007759642657,112.66666666666667
механические,16,без пунктуации,41.16538562334378,24.092265843611496,33.457407446605025,139.33333333333334
механические,16,без служебных,37.98583296249137,21.50270794834728,33.772470068657064,146.66666666666666
механические,17,исходный,29.298491861736323,24.269195053650822,28.444765198637743,121.33333333333333
механические,17,перемешивание,43.619218499466,29.630531535160515,38.65646939889,124.66666666666667
механические,17,эхо x2,45.568339440570156,31.746947169364553,34.11568318392841,102.0
механические,17,эхо на четверти,32.24990324331171,28.45485085276317,27.581697901585756,114.33333333333333
механические,17,все слова разные,27.296858177417008,33.522965880655825,34.30630666228274,133.66666666666666
механические,17,чужие хапаксы,26.982443888332728,28.979005510305473,29.201921991257194,134.33333333333334
механические,17,хапаксы одного домена,29.645807667010633,31.339670324486764,34.41914356698202,123.33333333333333
механические,17,20 чужих хапаксов,27.334637006879507,28.963566864070923,29.963048528922105,124.33333333333333
механические,17,маркер каждые 3,32.534720141944625,27.573895065574323,35.883015941890775,104.0
механические,17,без пунктуации,37.50586334269714,21.46236528033928,30.6041133607346,134.33333333333334
механические,17,без служебных,25.563802448298635,22.75139312419813,26.462310945702484,135.33333333333334
механические,18,исходный,26.59753543311867,16.095754683551835,28.342248365483513,130.0
механические,18,перемешивание,28.775373881742578,19.361183337584905,27.633154748922788,130.0
механические,18,эхо на четверти,28.017762396206006,19.54455211624347,27.611016736399847,109.33333333333333
механические,18,все слова разные,28.212486409615064,23.2004407960206,29.091467517650912,142.66666666666666
механические,18,чужие хапаксы,35.20637937424192,21.144299581244834,31.466595545779654,130.0
механические,18,хапаксы одного домена,30.353521572609676,22.950342370680996,28.15600610463082,133.66666666666666
механические,18,20 чужих хапаксов,28.81694879043047,16.761191297683464,27.96489141743345,125.66666666666667
механические,18,без пунктуации,50.49607419921546,18.274104444966536,36.66142825967576,128.33333333333334
механические,18,без служебных,22.134781108743265,19.08154522585352,23.656495657910906,143.0
механические,19,исходный,28.87143776642051,21.82323094391171,29.520925882591538,117.66666666666667
механические,19,перемешивание,35.65313679684423,34.82981276202452,34.403489544566746,119.33333333333333
механические,19,эхо на четверти,31.641277046074705,22.70197180555869,33.68951497093898,107.33333333333333
механические,19,словарь к 60,31.80330493815456,25.99797826546611,34.308641781175204,104.0
механические,19,все слова разные,31.927888880149098,32.39760898158357,34.351239639208565,140.0
