perturbation,mode,q,n,d0,delta,rel,effect
break_at_commas,q_small,0.15,200,9.623569977027621,-0.730348607084805,-0.0711568472600252,-1.0559840930650812
break_at_commas,q_small,0.2,200,10.533997825179572,-0.8493721180981484,-0.07529321361713065,-1.027669363919451
break_at_commas,q_small,0.25,200,11.714500778846968,-0.9245850710806297,-0.0734124174441814,-0.9645056255286157
break_at_commas,q_small,0.3,200,13.006993177097893,-0.9133738884354013,-0.0648532044933327,-0.87419727624956
break_at_commas,q_small,0.35,200,14.185538840755562,-0.8676729227625861,-0.0556888350331033,-0.7902384272962942
break_at_commas,q_small,0.4,200,15.093259030138121,-0.8538760373294335,-0.050663584099652555,-0.7381887185174714
break_at_commas,q_small,0.45,200,15.720746319944292,-0.8843948842980922,-0.049814401947896256,-0.7136104415028056
break_at_commas,q_small,0.5,200,16.158172757975546,-0.9498425800674164,-0.05174771670467933,-0.7097506817406383
break_at_commas,q_small,0.55,200,16.481279635819938,-1.031881895125791,-0.05487493800889327,-0.7109880727083702
break_at_commas,q_small,0.6,200,16.7304569300441,-1.1233344246010664,-0.05858211990927782,-0.7119993238361056
break_at_commas,q_small,0.65,200,16.922051348087663,-1.2129213913012455,-0.06210356590168141,-0.701767077671818
break_at_commas,q_small,0.7,200,17.065368168057965,-1.2963670199285249,-0.06514875490552034,-0.6790086162483846
break_at_commas,q_small,0.75,200,17.15399778664486,-1.3552014185303856,-0.06661408281556044,-0.639001087232242
break_at_commas,q_small,0.8,200,17.1940468699077,-1.3737171165087425,-0.0652739625407267,-0.5774683174264966
break_at_commas,q_small,0.85,200,17.205576112581216,-1.3228151241105686,-0.05933253841446175,-0.4937787293460897
break_at_commas,q_small,0.9,200,17.26836606986298,-1.0914599099359206,-0.04176215062558806,-0.35392361185483834
ideas_down,q0.5_range,0.0,190,4.863466847009589,0.49958329060450973,0.12545761238631914,0.6021169900533686
ideas_down,q0.5_range,0.05,190,5.487271616427627,0.6176709798604064,0.13675275089293581,0.6418714479251134
ideas_down,q0.5_range,0.1,190,6.129963180481524,0.7257112940940156,0.14396633619673546,0.6481339825352703
ideas_down,q0.5_range,0.15,190,7.034439640721891,0.90870243810294,0.15819525180774333,0.6490137155114598
ideas_down,q0.5_range,0.2,190,8.30581504911811,1.2504298910634282,0.18301072221562903,0.6974982811518577
ideas_down,q0.5_range,0.25,190,9.948576825731157,1.76323528356558,0.21076718105014197,0.8087616388259486
ideas_down,q0.5_range,0.3,190,11.781745384839757,2.330836664609211,0.2283512320502711,0.9678949650254972
ideas_down,q0.5_range,0.35,190,13.471160038149696,2.7883628054301948,0.23135109519728572,1.1342650935171
ideas_down,q0.5_range,0.4,190,14.746023628962243,3.140959397703329,0.23212709077784105,1.2667634202780274
ideas_down,q0.5_range,0.45,190,15.521998229060998,3.5100327664843416,0.24339414713132762,1.355920763010355
ideas_down,q0.5_range,0.5,190,16.129397882675555,3.471331949623604,0.23123974327645988,1.313382922296934
ideas_down,q_large,0.0,190,8.32146481740794,1.087231608181878,0.14331044867768458,0.9594953129171114
ideas_down,q_large,0.05,190,8.008112980411296,1.0587439215275602,0.1455933433351245,0.9550750149447224
ideas_down,q_large,0.1,190,7.723734416031692,0.9745336806484576,0.14021227612490803,0.8993839110034569
ideas_down,q_large,0.15,190,7.416236210465366,0.9009457425653179,0.13625877564038155,0.8512656485459072
ideas_down,q_large,0.2,190,7.092200888599643,0.8361081338234587,0.13349384661459968,0.8092909733150239
ideas_down,q_large,0.25,190,6.753499998050035,0.7772727503609632,0.13158168203914608,0.772932524348431
ideas_down,q_large,0.3,190,6.401989759777057,0.7210959006930154,0.1301193140129501,0.738478679674658
ideas_down,q_large,0.35,190,6.037692943761979,0.6657352398530247,0.12887900814403142,0.703923129981053
ideas_down,q_large,0.4,190,5.659516617573448,0.6109556337068609,0.12785883302439116,0.670127800885863
ideas_down,q_large,0.45,190,5.267660888757638,0.5560172896285174,0.12688518707015342,0.6365663766631722
ideas_down,q_large,0.5,190,4.863466847009589,0.49958329060450973,0.12545761238631914,0.6021169900533686
ideas_down,q_large,0.55,190,4.452825574728429,0.4390932179647709,0.12226466063690736,0.5649988654459491
ideas_down,q_large,0.6,190,4.052292649940373,0.3701325099255251,0.1147461081170363,0.5197748083668098
ideas_down,q_large,0.65,190,3.6949700665774237,0.29104728689392273,0.10009915885886916,0.4633895305335839
ideas_down,q_large,0.7,190,3.42143610480612,0.21758836225562872,0.0816330729004648,0.40427271911647195
ideas_down,q_large,0.75,190,3.2616904918194467,0.1759409543956752,0.0692833929336933,0.3601531852447173
ideas_down,q_large,0.8,190,3.2184401052647624,0.1760336246478279,0.06926297636881379,0.334708133311502
ideas_down,q_large,0.85,190,3.2490267025796316,0.2003068744550458,0.0784958645510592,0.3137509831512543
ideas_down,q_large,0.9,190,3.2092328433194863,0.1881685417377397,0.08441609991856142,0.24175021840449143
ideas_down,q_small,0.0,190,8.32146481740794,1.087231608181878,0.14331044867768458,0.9594953129171114
ideas_down,q_small,0.05,190,8.648720759494056,1.1950352023401496,0.15226622916138138,0.9700496472310544
ideas_down,q_small,0.1,190,9.00793907771121,1.2900390613158574,0.15880158886803913,0.9540886657132667
ideas_down,q_small,0.15,190,9.611878740698081,1.4706139878523943,0.17121529701372804,0.9307722947850263
ideas_down,q_small,0.2,190,10.52137992668383,1.8035421437841395,0.19229849913264463,0.9532125959324556
ideas_down,q_small,0.25,190,11.70164935348546,2.2687606617219536,0.2163451734377102,1.038448029012707
ideas_down,q_small,0.3,190,12.994226064058259,2.737112501577156,0.2327327739649063,1.1606289220072745
ideas_down,q_small,0.35,190,14.171158992326525,3.0569860635527375,0.23556320333521266,1.2613973904890394
ideas_down,q_small,0.4,190,15.073804931422096,3.2269865403372227,0.23147732145983782,1.3055420176125145
ideas_down,q_small,0.45,190,15.696487106000204,3.34915373192256,0.22948285971833976,1.3130772325620381
ideas_down,q_small,0.5,190,16.129397882675555,3.471331949623604,0.23123974327645988,1.313382922296934
ideas_down,q_small,0.55,190,16.44843752894879,3.5997663059469973,0.2356800347155673,1.3094929670817859
ideas_down,q_small,0.6,190,16.694548479421037,3.730307709240364,0.24166990470875332,1.29755425768073
ideas_down,q_small,0.65,190,16.8846132363116,3.85694869230933,0.24855442409092737,1.2725118200223093
ideas_down,q_small,0.7,190,17.02850993066139,3.97449691222655,0.2559287485690117,1.2329673279633029
ideas_down,q_small,0.75,190,17.11913598139174,4.079991793438907,0.2639947188286024,1.1779931077812853
ideas_down,q_small,0.8,190,17.160829903894548,4.135249066709914,0.271062245362669,1.0940444496302495
ideas_down,q_small,0.85,190,17.176789147859004,4.050398749413204,0.2711961385276908,0.9751448532271623
ideas_down,q_small,0.9,190,17.259658177978316,3.595062026316093,0.25023209600665464,0.7812608606414185
ideas_down_v2,q0.5_range,0.0,191,4.860661101480485,-1.8320839145788836,-0.3615034945373515,-1.7006466311096393
ideas_down_v2,q0.5_range,0.05,191,5.484414383259366,-2.2250198932746836,-0.3908047199025436,-1.7515964938024178
ideas_down_v2,q0.5_range,0.1,191,6.126283268433688,-2.6192990076874683,-0.413222029362845,-1.7767084659638521
ideas_down_v2,q0.5_range,0.15,191,7.029173976533888,-3.1640614807375256,-0.4351385273866554,-1.759571868963309
ideas_down_v2,q0.5_range,0.2,191,8.298483095664924,-3.9293109378660676,-0.45755154866410547,-1.7327616750334578
ideas_down_v2,q0.5_range,0.25,191,9.939420070912485,-4.893333531991615,-0.476444357806857,-1.7383773472460045
ideas_down_v2,q0.5_range,0.3,191,11.77269814127008,-5.875505129321564,-0.4848708108976578,-1.784166514708092
ideas_down_v2,q0.5_range,0.35,191,13.466816860752356,-6.561928279001544,-0.4754426678023943,-1.8159787576499131
ideas_down_v2,q0.5_range,0.4,191,14.750864989444896,-6.722893667962178,-0.44493757276421475,-1.7585877639642815
ideas_down_v2,q0.5_range,0.45,191,15.536334969521118,-6.336712759714135,-0.3959080211959804,-1.6025945945128732
ideas_down_v2,q0.5_range,0.5,191,16.149253307337904,-5.760184273424668,-0.34405280107479497,-1.4731130475603482
ideas_down_v2,q_large,0.0,191,8.3213606346532,-2.809737912396328,-0.32794461551494025,-1.7173619040412649
ideas_down_v2,q_large,0.05,191,8.007674988399565,-2.7682931027034385,-0.33568411820967403,-1.7152375070832528
ideas_down_v2,q_large,0.1,191,7.722665124928419,-2.7395910307635423,-0.34474154201234064,-1.7388810625059183
ideas_down_v2,q_large,0.15,191,7.41466402839246,-2.6883970829877315,-0.3524581564799884,-1.7511864969247748
ideas_down_v2,q_large,0.2,191,7.090282936802459,-2.6216938684098596,-0.35938135098496515,-1.7556033526889927
ideas_down_v2,q_large,0.25,191,6.751339437502469,-2.5408736164454595,-0.36563575670565196,-1.7566887288360744
ideas_down_v2,q_large,0.3,191,6.399601202718279,-2.4467837092864815,-0.37117928565734987,-1.756932124801907
ideas_down_v2,q_large,0.35,191,6.035099821098166,-2.3360468975440978,-0.3753003662681662,-1.7549502952945648
ideas_down_v2,q_large,0.4,191,5.656777473244847,-2.2019219615454673,-0.3766208453296384,-1.7490483052014933
ideas_down_v2,q_large,0.45,191,5.264837150318082,-2.0371771374077494,-0.3731231346420456,-1.7349739577017518
ideas_down_v2,q_large,0.5,191,4.860661101480485,-1.8320839145788836,-0.3615034945373515,-1.7006466311096393
ideas_down_v2,q_large,0.55,191,4.4501807706080925,-1.579169938155232,-0.3374850680806617,-1.625580963752071
ideas_down_v2,q_large,0.6,191,4.050088883483512,-1.2817720741364698,-0.297202178743842,-1.4856296944665273
ideas_down_v2,q_large,0.65,191,3.693725913151486,-0.9612361792893164,-0.23983824925627023,-1.2599231172725895
ideas_down_v2,q_large,0.7,191,3.421470510261558,-0.648727807281894,-0.16891263876223506,-0.9294056772463444
ideas_down_v2,q_large,0.75,191,3.2628894699707325,-0.3703198213477082,-0.09155515322175806,-0.5339333671301646
ideas_down_v2,q_large,0.8,191,3.220435748040126,-0.13552047316626126,-0.016386598953409638,-0.18107632508202653
