условие,текст,длина,тип,масштаб
исходный,44,0.6644491927876827,прочее,32.84071720483657
исходный,44,0.7236675443063467,служ./пункт.,32.84071720483657
исходный,44,0.47900138438979384,повтор токена,32.84071720483657
исходный,44,0.8069519951055998,служ./пункт.,32.84071720483657
исходный,44,0.7656784544229155,служ./пункт.,32.84071720483657
исходный,44,0.8057263769319702,служ./пункт.,32.84071720483657
исходный,44,0.3273592607000341,повтор токена,32.84071720483657
исходный,44,0.30686605186818716,повтор токена,32.84071720483657
исходный,44,0.80295326231421,два смысловых,32.84071720483657
исходный,44,0.4851627141185698,повтор токена,32.84071720483657
исходный,44,0.4629032937157561,повтор токена,32.84071720483657
исходный,44,0.6807449489846805,повтор токена,32.84071720483657
исходный,44,0.7717446315754087,служ./пункт.,32.84071720483657
исходный,44,0.637190757445204,служ./пункт.,32.84071720483657
исходный,44,0.6294976322499739,повтор токена,32.84071720483657
исходный,44,0.6681302867462274,прочее,32.84071720483657
исходный,44,0.8970354538417533,служ./пункт.,32.84071720483657
исходный,44,0.7260639332758625,служ./пункт.,32.84071720483657
исходный,44,0.29313879979571605,повтор токена,32.84071720483657
исходный,44,0.309468573052699,повтор токена,32.84071720483657
исходный,44,0.7317794581387513,два смысловых,32.84071720483657
исходный,44,0.518380739937136,повтор токена,32.84071720483657
исходный,44,0.5532361242545654,служ./пункт.,32.84071720483657
исходный,44,0.29772178673553257,повтор токена,32.84071720483657
исходный,44,0.3033590815656643,повтор токена,32.84071720483657
исходный,44,0.7510270036264165,служ./пункт.,32.84071720483657
исходный,44,0.6477363561050323,служ./пункт.,32.84071720483657
исходный,44,0.5862489436081562,служ./пункт.,32.84071720483657
исходный,44,0.20566977132411352,повтор токена,32.84071720483657
исходный,44,0.7520085236347641,прочее,32.84071720483657
исходный,44,0.1793802599126478,повтор токена,32.84071720483657
исходный,44,0.764808983388436,прочее,32.84071720483657
исходный,44,0.5139213057255398,повтор токена,32.84071720483657
исходный,44,0.28300748213586524,повтор токена,32.84071720483657
исходный,44,0.34866318827940146,повтор токена,32.84071720483657
исходный,44,0.4602948347652274,повтор токена,32.84071720483657
исходный,44,0.6856554404331345,два смысловых,32.84071720483657
исходный,44,0.7318660939227521,служ./пункт.,32.84071720483657
исходный,44,0.7734488198261357,служ./пункт.,32.84071720483657
исходный,44,0.47230571263176174,служ./пункт.,32.84071720483657
исходный,44,0.7794433869273839,служ./пункт.,32.84071720483657
исходный,44,0.6363918476530722,повтор токена,32.84071720483657
исходный,44,0.3560052521028597,повтор токена,32.84071720483657
исходный,44,0.2277985620006934,повтор токена,32.84071720483657
исходный,44,0.16297003079145228,повтор токена,32.84071720483657
исходный,44,0.1662373374102665,повтор токена,32.84071720483657
исходный,44,0.7139460247547724,служ./пункт.,32.84071720483657
исходный,44,0.31501427619069394,повтор токена,32.84071720483657
исходный,44,0.2788062201190373,повтор токена,32.84071720483657
исходный,44,0.7597198791831358,прочее,32.84071720483657
исходный,44,0.5993500688062688,два смысловых,32.84071720483657
исходный,44,0.7421425485634795,прочее,32.84071720483657
исходный,44,0.5201938581408726,повтор токена,32.84071720483657
исходный,44,0.583968272472287,два смысловых,32.84071720483657
исходный,44,0.7770764478141898,прочее,32.84071720483657
исходный,44,0.300587205222732,повтор токена,32.84071720483657
исходный,44,0.4777748836270087,повтор токена,32.84071720483657
исходный,44,0.30255453715331776,повтор токена,32.84071720483657
исходный,44,0.195435814730831,сток,32.84071720483657
исходный,44,0.12868495756255466,сток,32.84071720483657
исходный,44,0.6718838024863212,два смысловых,32.84071720483657
исходный,44,0.7491599319020645,служ./пункт.,32.84071720483657
исходный,44,0.7026087636148957,служ./пункт.,32.84071720483657
исходный,44,0.7386940864971167,служ./пункт.,32.84071720483657
исходный,44,0.7977423570889666,служ./пункт.,32.84071720483657
исходный,44,0.7955168291675848,два смысловых,32.84071720483657
исходный,44,0.30041441887097864,повтор токена,32.84071720483657
исходный,44,0.5740380626633732,служ./пункт.,32.84071720483657
исходный,44,0.9088591365367188,прочее,32.84071720483657
исходный,44,0.38036157322909986,повтор токена,32.84071720483657
исходный,44,0.4101427250702517,повтор токена,32.84071720483657
исходный,44,0.4572690128127649,повтор токена,32.84071720483657
исходный,44,0.8572410495211141,служ./пункт.,32.84071720483657
исходный,44,0.6246661638798933,повтор токена,32.84071720483657
