mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,L,config,text
q0.5_range,0.3,20.260124521714648,1.8366114808307377,0.9506419618039263,2.7445667443306796,0.9999335454715386,0.00446140537393746,0.0060995838740369734,0.004474382155204984,5,25,128,128,legacy,xsum_22
q_large,0.0,13.102391385991405,1.5981390100626014,0.9236780545977917,3.488994627200655,0.9996953687053459,0.009282223642272342,0.012375918609769165,0.009309222620348997,5,25,128,128,legacy,xsum_22
q_large,0.3,10.160565773052406,1.3091164964229092,0.9015802837818171,3.1243594032256015,0.9994068837749922,0.012643902092748164,0.017980719339539597,0.012680679103145848,5,25,128,128,legacy,xsum_22
q_large,0.6,6.594190689973741,1.0390511726070466,0.8483513675877665,2.6434439611841696,0.9976255384000244,0.023826077214361464,0.035764028681376736,0.02389537954547894,5,25,128,128,legacy,xsum_22
q_large,0.9,2.8374484466137564,0.6668992094605267,0.6475706893658592,1.5728186831416735,0.9532109325261603,0.08259292660089719,0.1314462999172621,0.08283316263705873,5,25,128,128,legacy,xsum_22
q_small,0.0,13.102391385991405,1.5981390100626014,0.9236780545977917,3.488994627200655,0.9996953687053459,0.009282223642272342,0.012375918609769165,0.009309222620348997,5,25,128,128,legacy,xsum_22
q_small,0.3,22.089902706490733,2.3753426941957487,0.9547304479658859,3.1170163072573227,0.9999220164185516,0.0048537486245158095,0.007788132579607421,0.004867866605050786,5,25,128,128,legacy,xsum_22
q_small,0.6,25.51164066616246,3.971810328170842,0.9608022073889447,2.592435329686924,0.9998789891928584,0.0060848564095478735,0.011432572436116395,0.006102555283344967,5,25,128,128,legacy,xsum_22
q_small,0.9,31.028245681276434,10.132408065338277,0.9677713006957581,1.2916330925349986,0.9996453351258305,0.010493898051251229,0.020174255392390705,0.01052442139720188,5,25,128,128,legacy,xsum_22
q0.5_range,0.0,6.45282382541549,1.1986898304873874,0.8450290869461927,2.908947023497316,0.9965303722151224,0.028704224382263187,0.051029634054691186,0.028787715661365183,5,25,128,128,legacy,xsum_22
q0.5_range,0.3,19.67908439480414,2.746011038773883,0.9491846277022914,2.745533394031311,0.9998326089768066,0.00707019047490284,0.012049891089439768,0.007090755365923172,5,25,128,128,legacy,xsum_22
q_large,0.0,11.575124931849464,1.7125668999217785,0.9136078438990791,3.5096849381595456,0.9994131339165776,0.012744851613502734,0.022227853280514687,0.01278192225331539,5,25,128,128,legacy,xsum_22
q_large,0.3,8.688024018215037,1.51848941306454,0.8848990290653627,3.1725807721643537,0.9984518948751048,0.020058957325738508,0.03537880234085655,0.020117302326887996,5,25,128,128,legacy,xsum_22
q_large,0.6,5.341575293950012,1.0096638326030105,0.8127893093386472,2.7497164925029187,0.994345699697908,0.03528390973302839,0.062794262333699,0.03538653918282987,5,25,128,128,legacy,xsum_22
q_large,0.9,3.3372828593289516,0.5843996389816235,0.7003550366716365,1.317307073443015,0.9834392468161491,0.052319371109047504,0.09964768102564658,0.05247155119088959,5,25,128,128,legacy,xsum_22
q_small,0.0,11.575124931849464,1.7125668999217785,0.9136078438990791,3.5096849381595456,0.9994131339165776,0.012744851613502734,0.022227853280514687,0.01278192225331539,5,25,128,128,legacy,xsum_22
q_small,0.3,21.29932201779103,2.2958849034116957,0.9530501487716504,3.110993937017551,0.999915415630157,0.00504611524697708,0.00840430596294972,0.00506079275962663,5,25,128,128,legacy,xsum_22
q_small,0.6,27.853630809234094,2.1481512669042915,0.9640980378160079,2.5623663151858054,0.9999752559621763,0.002760831122138714,0.004860276904088856,0.002768861484454109,5,25,128,128,legacy,xsum_22
