текст,условие,каркас в полном облаке,каркас по центрам,масштаб полного,масштаб центров,q*
20,исходный,0.7320602455104828,0.7477401149660777,31.73872859349163,30.778018152922627,0.45
20,перемешивание,0.7143067366747804,0.7587490276312342,29.27959177550918,27.14784183432258,0.4583333333333333
21,исходный,0.7514961600574117,0.755660572203669,31.830444127744357,31.13933038156792,0.3516666666666666
21,перемешивание,0.7377750504217196,0.7586049580646362,30.15338422767742,28.974201191139628,0.33499999999999996
22,исходный,0.760761364407605,0.7654610371811184,31.32972781772135,30.476131384196123,0.49333333333333335
22,перемешивание,0.7520755049631113,0.7751003354269089,29.06873927754616,27.15929634545868,0.5
23,исходный,0.7551133464790643,0.7616530561411841,31.68293249388582,30.72187649322238,0.39166666666666666
23,перемешивание,0.7471058558791394,0.7714854191037975,30.220415949796664,28.78841493547115,0.3666666666666667
24,исходный,0.7450402857034164,0.7593769444414985,32.68003819501773,31.67980671035593,0.37833333333333335
24,перемешивание,0.744422405010833,0.7647480827708989,30.87838521381038,29.45679786604965,0.355
25,исходный,0.7388409251964886,0.756198270317256,35.33979994782596,33.95867577896007,0.5216666666666667
25,перемешивание,0.7647128623568844,0.7771366525642517,32.05550374825459,31.02936439091532,0.5
26,исходный,0.7471921312771271,0.7555435322420868,34.31728554230722,33.457934880208235,0.4316666666666667
26,перемешивание,0.7295768877181473,0.7625037954873289,32.297193088210015,30.508835778102057,0.4466666666666666
27,исходный,0.7737553863052494,0.7668947506587366,34.4786896731237,34.04026849749229,0.355
27,перемешивание,0.7538726012690592,0.7726639188863477,33.325345894120915,31.998402691356233,0.355
28,исходный,0.7368810255134711,0.7321367689771913,35.55674784230674,35.3379418969404,0.4116666666666666
28,перемешивание,0.7413990898968686,0.7548478987588544,33.36384993128863,32.1560970233084,0.4083333333333334
29,исходный,0.7525089641919432,0.7681062445178188,32.98740110152584,31.771965809540035,0.3416666666666666
29,перемешивание,0.7230830545008226,0.754385955033514,32.12543892820185,30.52998983059507,0.3516666666666666
30,исходный,0.7394810700144516,0.7477764556063523,35.312949699432714,34.168826331615286,0.41333333333333333
30,перемешивание,0.7279923559954948,0.7822570378679666,33.37770660095458,30.685916386108953,0.41500000000000004
31,исходный,0.7625645318910911,0.7758282182412534,31.611749619899282,30.46379900960268,0.3416666666666666
31,перемешивание,0.746559417467573,0.7696309619998766,30.728819260870225,29.357130187664097,0.31833333333333336
32,исходный,0.731118708827958,0.7609102485210251,35.46094535458232,33.794544225014754,0.455
32,перемешивание,0.7322930483774156,0.7770635051450286,32.178947850545285,29.776014428667523,0.465
33,исходный,0.7438077891572948,0.7411142915990002,34.5762340980943,34.096967593714034,0.4383333333333333
33,перемешивание,0.733994713381215,0.751614552597102,33.26625507926328,32.017636071743546,0.43500000000000005
34,исходный,0.7249251727759555,0.7455697426597494,34.89098929275329,33.45454297214238,0.3666666666666667
34,перемешивание,0.7645912983615656,0.7772868590973774,31.923415425588274,30.96998175159842,0.315
35,исходный,0.7552023659718223,0.7714743191775889,30.921428307088064,29.84146531235173,0.3333333333333333
35,перемешивание,0.7528680274338712,0.7796697346400906,29.147085087464706,27.86312993578831,0.31
36,исходный,0.7569373417179502,0.766064395408334,31.382222992299244,30.42305175433893,0.36166666666666664
36,перемешивание,0.730539166902461,0.7744270825558722,30.374410477248365,28.33183103899852,0.3583333333333334
37,исходный,0.7470580504561882,0.7636037048037488,31.897333076857254,30.734974828665372,0.45166666666666666
37,перемешивание,0.7410122192078487,0.7824660749856635,28.676092116983245,26.51006704797891,0.4716666666666667
38,исходный,0.7343708346394392,0.761578210820613,31.670517059776788,29.971772372169426,0.395
38,перемешивание,0.7167369222079364,0.7657786188543487,29.885650920086544,27.484190953681733,0.39833333333333326
39,исходный,0.7391944279491823,0.7662215908955122,31.04397483452152,29.597000082189666,0.3416666666666666
39,перемешивание,0.7400059328511421,0.7829431866049442,28.795184875178705,26.80379152620003,0.33
40,исходный,0.7628457558852083,0.7723886219132186,31.021166574629603,30.268241808749234,0.3
40,перемешивание,0.747520189825123,0.7703469875415602,31.072886692268398,29.857338374386377,0.3133333333333333
41,исходный,0.7545177017565013,0.7664921335311026,31.06318486036646,30.109308904529627,0.31833333333333336
41,перемешивание,0.7406888371917884,0.7676659916556582,27.929600610363945,26.664208001649154,0.325
42,исходный,0.7455166327938919,0.7675396523118261,31.488780326032455,30.196161943016183,0.3566666666666667
42,перемешивание,0.7514004816558639,0.7808443393094787,31.7275750704848,30.082792284634277,0.3866666666666667
43,исходный,0.73713263796909,0.7566708712495505,32.70623786141605,31.555195994620345,0.315
43,перемешивание,0.7493304659863943,0.7739646073791776,30.80473100403562,29.523250196881538,0.31
44,исходный,0.719222295942075,0.7472138626239171,32.90710869599224,31.271564493259557,0.395
44,перемешивание,0.730809317892909,0.7720001332484525,30.153574578787538,27.908468920156412,0.42333333333333334
45,исходный,0.7428821195100969,0.7615272693158565,32.78720182905712,31.44567685272195,0.5216666666666666
45,перемешивание,0.7340530845970897,0.7767661781756919,31.25818772816595,28.795180784159413,0.5183333333333333
46,исходный,0.7600134677648525,0.7588510658676002,33.60639491248009,32.920140138424195,0.385
46,перемешивание,0.7285013846041499,0.7688533760223365,31.804770694468633,30.001992167153997,0.4000000000000001
47,исходный,0.7575026456760737,0.7554752152393904,34.27026088051104,33.888174915100294,0.34
47,перемешивание,0.7544483472702418,0.7710143711877797,32.53551879201368,31.328170999678605,0.3666666666666667
48,исходный,0.7566463164946127,0.764245914069169,30.739843832527367,29.80448682325182,0.3016666666666667
48,перемешивание,0.7539590554369635,0.7715131492505325,29.297814827092083,28.14018692434469,0.3133333333333333
49,исходный,0.7248701523153963,0.7317515920681769,34.20709247902759,33.564762187487695,0.33666666666666667
49,перемешивание,0.7034502554470402,0.7331027372066412,32.440042607155966,30.74572310308403,0.35000000000000003
