набор,текст,условие,каркас: черешок ср,каркас: ребро CV,до ближайшего повторного,одиночки: до ближайшей,каркас: ребро у одиночек ср,"каркас: доля рёбер одиночка-одиночка, %",одиночки: размер цепи,одиночки: разброс до ближайшей,каркас: ребро у одиночек CV,R = обменность,каркас: черешок CV,каркас: ребро ср
механические,20,исходный,0.7781199679857375,0.10344493982710219,0.7936777900641694,0.7754839282489469,0.7513028328288535,39.0212311189048,5.525763125763125,0.08918195665419089,0.09969444630308204,1.099361885289322,0.0857001809000295,0.7477401149660777
механические,20,перемешивание,0.790096570752568,0.10485186528370656,0.788513083208939,0.7808019220624024,0.7591109174670319,35.718261256748484,5.632478632478633,0.09232557217997711,0.10279223366467653,1.0467924619921507,0.09897212161026804,0.7587490276312342
механические,20,эхо x2,0.7937248755357191,0.1007673329852276,0.7890380701215743,0.8236883646592098,0.7798081865450138,11.719987329743427,4.583333333333333,0.08941687385050484,0.09734998474512961,1.037300692682116,0.09885365879304697,0.7680599586780295
механические,20,эхо x4,0.7658048493694762,0.11880157593728569,0.7414141324383103,,0.7575747869271391,0.5847953216374269,,,0.17595822549485765,0.9649572738748046,0.1757278799869034,0.7751424039198688
механические,20,эхо на четверти,0.7826678223915686,0.10346090695779923,0.786031257186164,0.7826680468706018,0.7567365777257015,28.151744568795262,5.4261904761904765,0.08977579637823412,0.103491396879343,1.063227527065823,0.09303248884785513,0.7502767190295346
механические,20,словарь к 25,0.7784385768136942,0.11726897805743904,0.776246235069006,0.8542911660289029,0.7624403967101504,7.301587301587301,4.711111111111111,0.11676548081798525,0.12868410652371307,1.0706749165457652,0.12272063675594765,0.7501829193508942
механические,20,словарь к 60,0.7746639506575589,0.10842257961172298,0.7819969744387191,0.7905695001764861,0.7555216059212168,24.70178061956942,4.088383838383838,0.09361471875719977,0.10999777178481025,1.072798552438148,0.10739176716019415,0.7477721278341797
механические,20,все слова разные,0.7969452536041065,0.09547711083826521,0.9535542154213515,0.7556447141730039,0.761518175404155,84.88872022949016,6.019047619047619,0.080051282789323,0.09084317160571959,1.2257908503269117,0.08098185956266186,0.7664332830474292
механические,20,чужие хапаксы,0.7777075709825377,0.11098423384894927,0.8169025859951113,0.7560468327965024,0.7485909824652346,54.14308113423158,7.405555555555556,0.0966210380395307,0.10733083853692262,1.0679037535758698,0.1008819748309047,0.7531542881242533
механические,20,хапаксы одного домена,0.7836868493494435,0.11435896220488016,0.7970930276500439,0.7578427513198397,0.7489252019681026,49.94737750172533,6.803496503496504,0.10611803800310153,0.11334627112347483,1.0509095947354925,0.10282877011151821,0.7531149779589533
