текст,условие,зерно,как есть: крупный,как есть: мелкий,как есть: средний,без оси: крупный,без оси: мелкий,без оси: средний,без случайного: крупный,без случайного: мелкий,без случайного: средний
4,исходный,2,18.046208861867072,3.218799441364383,15.266243333411126,18.236192786664244,3.2172944720503094,15.33179246650117,18.03112300767742,3.219151871676135,15.25242212559879
4,чужие хапаксы,0,14.426641809759635,3.7560195417790214,12.903136881257904,14.618749183975403,3.759043065024987,13.051202220626454,14.424568704395536,3.756518992237943,12.906582642030148
4,чужие хапаксы,1,14.168562060687274,3.7659526430794465,13.01360974386807,14.34688374471125,3.760092553517285,13.102064634132464,14.160232296067603,3.7663382951393265,13.017293746159686
4,чужие хапаксы,2,15.058325754506646,3.9229263516220056,13.44740006738211,15.2342291252466,3.9248653211245332,13.55419809626074,15.043732528788293,3.9233350219125183,13.4500733181877
4,перемешивание,0,16.086499473203773,5.19445910014865,13.656636387216608,16.74094722451981,5.220185433492114,13.856813146985274,16.087028471371127,5.195382904218647,13.644782315241619
4,перемешивание,1,16.431396776450512,5.05657333152803,13.958448044131472,17.108896141896533,5.093462096804048,14.057859547656076,16.434817185787225,5.05691254604227,13.944890238101072
4,перемешивание,2,16.234613210400823,5.167773607641672,13.649759966324552,16.91692776086854,5.1951090816712835,13.810666403375631,16.23959670651793,5.168119755135872,13.639833585753655
5,исходный,0,17.82346363130629,3.4441083580138874,14.270541755278657,18.00654243651939,3.437888616779727,14.38766639731602,17.834918798561596,3.444489605123343,14.268094762077968
5,исходный,1,19.084956651444667,3.5936482066082043,15.65949679318489,19.18700593092218,3.591872684155028,15.793333745822281,19.083196300315148,3.5938530783123865,15.653164583336826
5,исходный,2,19.346480589455524,3.644159396162548,15.609294427325063,19.584563239341705,3.6363975002778797,15.75026459335931,19.34955844605635,3.6442527318913656,15.604221807178277
5,чужие хапаксы,0,14.574103462583748,3.8920327110556054,12.633656724672566,14.876102792264069,3.8805383149368864,12.766588172279288,14.581825922280773,3.8923596307657258,12.636277745604636
5,чужие хапаксы,1,14.810674987267516,4.153977610457445,13.143795295243933,15.130963163863761,4.138399378905743,13.268370251075947,14.818210583199654,4.155192693348529,13.13599304105458
5,чужие хапаксы,2,14.74934370616195,4.126962300942629,12.889767856960209,14.954282055899732,4.108314334776188,13.018276088700384,14.753842925704468,4.127185687981733,12.886641343416201
5,перемешивание,0,17.04496980500965,5.352313547852238,14.136174223578598,17.314013154322897,5.36269848640313,14.232336256020426,17.062510129475456,5.351111889073353,14.144904631351872
5,перемешивание,1,17.232989225359248,6.243005164055873,14.3123725537773,17.369346071601775,6.2729300217305575,14.447510434276328,17.23995422845282,6.2430935681860324,14.315014111868754
5,перемешивание,2,17.19426926334589,5.5811775684820635,14.377832806405772,17.30753056107805,5.582643755398229,14.416987818984097,17.203074503479794,5.579526271553555,14.386561093222124
6,исходный,0,19.94505869574222,4.641664770703401,16.244388288857955,20.043087976869984,4.651180980937615,16.30145993494733,19.933256009689998,4.639855443927627,16.228948925625165
6,исходный,1,20.399339191781532,4.904928361901449,16.33802336302779,20.607330253289177,4.910261935287527,16.46189137614757,20.378242457606476,4.903120868243923,16.329320914011465
6,исходный,2,18.40374766051814,4.728854880480843,15.522889614887026,18.668597516359462,4.73708064502578,15.605375241746287,18.395690744623632,4.728237511009307,15.518158265292595
6,чужие хапаксы,0,16.309375151514047,4.8939960016484765,14.291676754431396,16.285688903074927,4.886246519090619,14.336669328784765,16.306161116803494,4.89348195032207,14.29414580487556
6,чужие хапаксы,1,15.118841699240313,5.59481090101046,13.498958311167518,15.228570180693358,5.6059057044889995,13.61211507104286,15.111899314613787,5.5954151071524825,13.498516748088543
6,чужие хапаксы,2,16.077856380065466,5.205150767573865,14.602991710284991,16.21761004429135,5.188519271699107,14.739472697141874,16.069902879594363,5.205729750662868,14.590724150836483
6,перемешивание,0,17.699576203222264,6.911749276350586,14.409913036909511,18.16347211911621,6.915257250738839,14.588691412889478,17.71064407806502,6.910522928109468,14.413605797070565
6,перемешивание,1,17.22610649126407,5.202531523563356,14.668633480164214,17.572904091473404,5.196267684844677,14.789016711654174,17.227454667729987,5.201758790748836,14.664952648761869
6,перемешивание,2,18.1279361910498,6.00338759236188,15.524248282822137,18.782711226172708,6.002926810816753,15.745812807160927,18.123123019936063,6.002291131704474,15.525081650622885
7,исходный,0,20.19255338621022,4.699614041321889,16.782913072158475,20.340090656076868,4.699477351784796,16.85441002437789,20.18370165637997,4.69791793543084,16.790529814014064
7,исходный,1,21.857619877279557,4.30139572285201,16.923781355134896,22.091546920828023,4.301174615308467,17.07404596396103,21.867438652031563,4.299806167962775,16.93157221088277
7,исходный,2,23.24910982168732,4.553677645337844,18.596161986154613,23.455180176797764,4.564026080793541,18.62464893559384,23.254666737475564,4.55132812253484,18.604911121913133
7,чужие хапаксы,0,18.463135113783355,4.8594771239445,15.306367983525831,18.792027193812856,4.8577267086027245,15.510550010374228,18.477144853302686,4.859585963860569,15.307216270412487
7,чужие хапаксы,1,16.836481454570393,4.8056029024460285,15.056194206022042,17.226733909983654,4.798741427189574,15.245776531023992,16.8344298799298,4.8054019134638315,15.061383954446388
7,чужие хапаксы,2,16.782316289024973,4.851076641083584,14.878047336722876,17.055596048931072,4.858645722806523,15.054148049266763,16.78022448177164,4.851670228369501,14.879283117142027
7,перемешивание,0,17.78857290149785,5.536642763469437,14.936420277567432,18.1254762385294,5.534048609754736,15.076944134629628,17.773169691762394,5.536724116598757,14.923988157200586
7,перемешивание,1,18.373883824912276,5.683834942632453,15.230597575242427,18.80064014136681,5.681612263425602,15.401914641165934,18.353041856320267,5.682809833806073,15.224087709827558
