qid,"верно::все рёбра: разрыв, % длины","верно::все рёбра: медиана, % длины","верно::длинные 30%: разрыв, % длины","верно::короткие 30%: разрыв, % длины","верно::рёбер с разрывом < 10 токенов, %",верно::связь длины и разрыва (rho),"верно::длина текста, токенов","верно::все рёбра: разрыв, токенов","абсурд::все рёбра: разрыв, % длины","абсурд::все рёбра: медиана, % длины","абсурд::длинные 30%: разрыв, % длины","абсурд::короткие 30%: разрыв, % длины","абсурд::рёбер с разрывом < 10 токенов, %",абсурд::связь длины и разрыва (rho),"абсурд::длина текста, токенов","абсурд::все рёбра: разрыв, токенов"
q028,25.33717357910906,17.81874039938556,25.732206861239113,27.007168458781358,12.5,-0.017949059358893918,651.0,164.945,25.356304985337246,18.988269794721408,25.522971652003907,29.97800586510264,14.000000000000002,-0.059074527433680225,682.0,172.93
q029,30.139372822299656,21.0801393728223,25.606852497096394,35.93786295005807,11.5,-0.21450130140215684,574.0,173.0,26.25084745762712,20.76271186440678,19.059322033898304,28.73446327683616,10.5,-0.20625323790213185,590.0,154.88
q030,26.69758064516129,20.403225806451612,22.41935483870968,34.612903225806456,10.0,-0.24971318787056415,620.0,165.525,30.268817204301076,24.270353302611365,25.734767025089603,35.985663082437284,9.0,-0.10115274625039174,651.0,197.05
q031,22.085820895522385,14.054726368159205,16.99419568822554,30.630182421227197,21.0,-0.26973312146620515,402.0,88.785,25.505668934240365,18.594104308390023,22.75132275132275,30.952380952380953,18.0,-0.16166980347283605,441.0,112.48
q034,28.1938622754491,20.35928143712575,26.509481037924147,26.432135728542914,15.0,0.022468361996248375,668.0,188.335,28.344273743016757,18.435754189944134,29.033985102420857,34.26675977653632,12.5,-0.1207136642674788,716.0,202.945
q036,22.023195876288653,13.23024054982818,19.954180985108813,30.337915234822447,22.0,-0.2361012685663223,582.0,128.175,23.216614906832298,16.07142857142857,22.97360248447205,23.975155279503106,19.5,-0.017071811915060433,644.0,149.515
q037,29.19210977701544,24.271012006861064,20.854774156660945,37.74156660949114,15.5,-0.26530349948478965,583.0,170.19,29.603727714748786,23.176661264181522,28.200972447325775,32.9119394921664,13.5,-0.12308375480449157,617.0,182.655
q038,27.406807131280388,19.286871961102108,30.243111831442466,28.77363587250135,15.5,-0.00023254601851901014,617.0,169.1,27.57177033492823,19.059011164274324,28.059542796384903,27.687400318979265,17.5,-0.03798769747367458,627.0,172.875
q039,28.52094240837696,22.97120418848168,26.56413612565445,29.552792321116932,11.5,-0.05761691914949224,764.0,217.9,29.36363636363636,25.031133250311335,27.67123287671233,32.459526774595275,10.5,-0.05625910380184222,803.0,235.79
q040,26.9151376146789,19.4954128440367,26.314984709480125,25.347859327217126,16.0,-0.05383764337519083,436.0,117.35,25.89614561027837,17.34475374732334,19.832262669521768,26.627408993576015,20.5,-0.18295188434157786,467.0,120.935
q041,27.44599018003273,18.248772504091654,21.369339879978178,31.70212765957447,15.5,-0.19958077895335047,611.0,167.695,26.674366616989563,21.535022354694483,28.17933432687531,27.41182314952806,13.0,-0.03872584054278718,671.0,178.985
q042,23.387949260042284,14.059196617336152,20.00352360817477,30.50387596899225,19.0,-0.16649894619779812,473.0,110.625,22.9625468164794,17.04119850187266,22.465667915106113,29.943820224719104,17.0,-0.07569612393645452,534.0,122.62
q043,31.33766233766234,25.036075036075037,20.177970177970174,35.339105339105345,12.0,-0.20649126005744858,693.0,217.17,26.851444291609354,19.188445667125173,22.31774415405777,31.508482347546995,12.0,-0.14656462143226404,727.0,195.21
q044,27.213986013986013,21.888111888111887,29.72027972027972,30.4988344988345,6.5,-0.07416227394677084,715.0,194.58,31.1171875,26.041666666666668,30.236545138888893,32.67361111111111,9.5,-0.07840088514976011,768.0,238.98
q045,25.383892617449664,15.570469798657719,23.199105145413867,26.870246085011193,10.0,-0.043892190815500144,745.0,189.11,28.975510204081633,24.14965986394558,28.963718820861676,29.71201814058957,11.0,0.01624889369646571,735.0,212.97
q046,28.499345549738223,21.596858638743456,23.88089005235602,33.547120418848166,14.000000000000002,-0.16160526007330842,764.0,217.735,25.390088945362137,19.567979669631512,24.29479034307497,30.836509953409575,14.000000000000002,-0.1094123565131307,787.0,199.82
q048,27.24489795918367,19.26020408163265,20.48894557823129,29.426020408163264,14.000000000000002,-0.16121386223145748,392.0,106.8,28.855421686746986,23.85542168674699,26.164658634538156,29.425702811244985,17.0,-0.09555437515939291,415.0,119.75
q049,27.278420038535643,20.616570327552985,26.05009633911368,32.09698137443802,15.5,-0.14552654071900828,519.0,141.575,29.14666666666667,22.285714285714285,26.7015873015873,33.682539682539684,14.499999999999998,-0.14382068105754786,525.0,153.02
q050,24.511111111111113,15.347222222222223,23.81712962962963,26.643518518518515,17.0,-0.11884707263388171,720.0,176.48,23.581521739130434,16.168478260869566,18.568840579710145,27.55661231884058,15.0,-0.20968101446483395,736.0,173.56
q051,27.390941597139452,25.26817640047676,24.93047278506158,31.281287246722286,9.0,-0.10415207217816257,839.0,229.81,30.16953316953317,24.201474201474202,31.969696969696965,33.3968058968059,7.000000000000001,0.029685188360169156,814.0,245.58
q052,27.137254901960787,19.28104575163399,22.698801742919393,33.093681917211335,10.5,-0.179298390820405,612.0,166.08,30.50234375,25.0,24.934895833333332,37.5390625,10.5,-0.18353839138337585,640.0,195.215
q053,26.857766143106456,20.680628272251308,26.006399069226294,29.34845840605003,13.5,-0.07583698190750793,573.0,153.895,31.02260869565217,26.956521739130434,29.2463768115942,31.750724637681163,10.5,-0.030374547717837378,575.0,178.38
q054,30.56085753803596,25.03457814661134,32.56800368833564,29.93775933609958,11.0,0.01732745030239271,723.0,220.955,27.314814814814813,21.97530864197531,24.720164609053494,26.520576131687246,8.0,-0.03865983635201296,810.0,221.25
q055,30.705043859649123,29.16666666666667,26.176900584795323,34.47368421052632,14.000000000000002,-0.11510947980172738,456.0,140.015,25.951515151515153,23.03030303030303,27.309764309764308,31.612794612794612,17.5,-0.06800204500755831,495.0,128.46
