x,y,tok,cls,hap,text,norm
3.0615156,29.113209,Ġdo,служ,повторяется,4,39.53506
-28.753044,55.0293,Ġa,служ,повторяется,4,38.82295
31.034412,27.771112,Ġthose,служ,hapax,4,38.624264
-29.250238,55.32716,Ġa,служ,повторяется,4,38.572247
3.1801233,29.180151,Ġdid,служ,повторяется,4,39.588707
-33.95178,-65.84956,.,сток,сток,4,26.157393
66.40717,-3.7161584,Ġthe,служ,повторяется,4,38.750355
48.42169,9.915718,Ġit,служ,повторяется,4,37.847153
-37.418987,-11.18164,Ġbiological,смысл-редк,hapax,5,34.561203
24.702251,31.222305,Ġthan,служ,повторяется,5,39.303932
-26.211906,55.317333,Ġa,служ,повторяется,5,39.00167
-54.1356,9.907989,Ġcase,смысл-част,hapax,5,37.202984
-43.02923,-13.633398,Ġsocial,смысл-част,повторяется,5,36.041443
-38.068417,-13.858982,ure,подслово,повторяется,5,36.237125
23.630625,-5.6006026,Ġme,служ,повторяется,5,35.99117
-28.969988,-11.984763,Ġblue,смысл-редк,повторяется,5,34.61754
-27.121395,10.786402,Ġargued,смысл-редк,hapax,5,36.636707
8.3702755,38.760586,Ġwas,служ,повторяется,5,39.180832
-10.448361,9.703848,Ġimportant,смысл-част,hapax,5,37.835213
-12.431941,-8.544463,Ġreduction,смысл-редк,hapax,5,37.79823
-38.714878,-13.337427,Ġculture,смысл-редк,hapax,5,36.005222
-12.853307,-8.720783,Ġorientation,смысл-редк,hapax,5,36.41311
19.076038,35.117207,Ġdoesn,смысл-част,повторяется,5,39.542538
-32.599274,-64.95623,"""",сток,сток,5,26.141998
-10.599674,20.475689,Ġfind,смысл-част,hapax,5,37.735813
37.674877,21.593227,Ġif,служ,повторяется,5,40.045425
13.379546,62.1264,Ġfor,служ,повторяется,5,39.242367
0.7959456,8.961445,Ġmuch,служ,hapax,5,36.926064
13.866274,-23.07406,'m,подслово,hapax,5,38.26659
18.77997,-45.44853,"Ġ""",пункт,повторяется,5,38.17274
0.01683084,-23.156845,born,подслово,повторяется,5,36.308956
65.70743,21.187151,Ġand,служ,повторяется,5,39.880203
40.474125,49.030033,Ġof,служ,повторяется,5,39.12229
-38.285088,-11.003413,Ġenvironmental,смысл-редк,hapax,5,36.58593
9.456096,45.832504,Ġare,служ,hapax,5,40.67269
-42.10732,-13.691583,Ġsociety,смысл-редк,hapax,5,35.99312
-26.189718,55.136692,Ġa,служ,повторяется,5,39.564262
40.52643,48.51835,Ġof,служ,повторяется,5,39.43219
-18.506134,20.191704,Ġlove,смысл-част,повторяется,5,35.700947
13.271478,62.14507,Ġfor,служ,повторяется,5,39.927647
33.86298,-31.779137,.,пункт,повторяется,5,40.77863
-38.358692,-10.921765,Ġneutral,смысл-редк,hapax,5,36.016384
-9.077821,-14.040439,ions,подслово,hapax,5,38.99591
-12.36678,17.736607,Ġthink,смысл-част,hapax,5,37.46131
47.25123,8.930358,Ġit,служ,повторяется,5,38.799656
25.277628,-42.93028,"""",пункт,повторяется,5,40.648235
33.729275,-31.55782,.,пункт,повторяется,5,40.902054
12.499867,-24.586613,'s,подслово,повторяется,5,38.84201
-54.285522,9.686022,Ġcase,смысл-част,hapax,6,36.716858
-47.410637,-19.611612,Ġdata,смысл-част,повторяется,6,35.76754
35.756516,-27.79032,.,пункт,повторяется,6,42.179306
-20.591383,51.751434,Ġan,служ,hapax,6,37.9836
-35.431324,7.8051615,Ġadvances,смысл-редк,повторяется,6,36.887276
-36.203022,5.7345734,Ġtests,смысл-редк,hapax,6,35.10539
0.55748594,-10.788401,Ġ24,пункт,hapax,6,36.661476
-35.61238,-19.194029,Ġmedical,смысл-редк,hapax,6,35.97127
-12.098765,3.5852988,Ġrebounds,смысл-редк,hapax,6,38.084732
19.797869,1.276545,Ġtheir,служ,повторяется,6,36.570236
34.9202,7.2208986,ĠThey,служ,повторяется,6,39.517307
40.74309,50.144516,Ġof,служ,повторяется,6,39.16515
-8.9806185,40.924522,Ġat,служ,повторяется,6,37.04045
66.11014,-3.662381,Ġthe,служ,повторяется,6,38.4455
-42.233616,14.671589,Ġdifficult,смысл-част,hapax,6,37.989082
33.40259,31.56415,Ġthat,служ,повторяется,6,39.775955
-2.8685384,-1.2630544,Ġincluding,смысл-част,повторяется,6,37.288425
54.27121,-48.84154,",",пункт,повторяется,6,42.354454
-34.90811,-11.553976,Ġconsent,смысл-редк,повторяется,6,34.728767
-27.605265,26.23504,Ġaround,служ,hapax,6,37.483047
5.8298874,-0.16779312,Ġsaid,смысл-част,повторяется,6,35.826954
40.65291,49.764553,Ġof,служ,повторяется,6,38.531506
11.367613,61.61242,Ġfor,служ,повторяется,6,40.19185
-41.021767,-3.7487137,Ġstudy,смысл-част,hapax,6,35.23213
-46.191284,-26.887867,ĠDNA,смысл-редк,повторяется,6,35.326378
-2.5837662,28.992563,Ġhow,служ,повторяется,6,38.634987
35.31732,-27.397722,.,пункт,повторяется,6,42.468662
15.086224,12.668746,Ġall,служ,hapax,6,37.741592
-35.567513,7.768153,Ġunderstanding,смысл-редк,повторяется,6,36.764736
35.14799,-27.459156,.,пункт,повторяется,6,41.712902
10.850771,-39.51277,-,пункт,повторяется,6,37.96116
3.3624542,-28.690603,ĠParticipants,смысл-редк,повторяется,6,37.046616
-31.491787,-66.68466,.,сток,сток,6,26.195063
5.7617645,-0.19866462,Ġsaid,смысл-част,повторяется,6,35.87775
54.768444,-49.142982,",",пункт,повторяется,6,42.1059
66.51605,-6.562798,Ġthe,служ,повторяется,6,39.786575
-26.766394,-26.251501,ĠDavid,смысл-редк,hapax,6,36.377724
-39.587044,-3.2039928,Ġbenefit,смысл-редк,hapax,6,35.90689
-0.37845877,20.774128,Ġjust,служ,hapax,6,38.189903
-34.064182,-8.579348,Ġrisks,смысл-редк,повторяется,6,34.66316
-15.159662,-29.393616,ters,подслово,повторяется,7,36.74997
-37.30793,-15.221018,Ġtelevision,смысл-редк,hapax,7,35.05094
-45.430504,-21.270287,Ġhearing,смысл-редк,повторяется,7,35.066208
31.366676,-30.466574,.,пункт,повторяется,7,41.816174
-21.318184,2.397311,Ġclosed,смысл-редк,hapax,7,35.72262
14.4219265,31.22623,Ġcan,служ,hapax,7,39.075977
22.077147,1.9708695,Ġthemselves,смысл-част,hapax,7,37.91449
16.031725,22.616844,Ġwhere,служ,повторяется,7,38.361538
-32.359447,-67.812744,Ġthe,сток,сток,7,26.220062
6.98285,8.145007,Ġpersons,смысл-редк,hapax,7,36.002342
-24.736935,6.697143,Ġdescribing,смысл-редк,hapax,7,37.118065
1.8835012,-12.2267,Ġ50,пункт,повторяется,7,37.083557
-19.479933,-1.0822806,Ġpersonal,смысл-редк,hapax,7,36.519176
65.70852,19.651808,Ġand,служ,повторяется,7,40.227108
-13.695528,-0.07096186,Ġimmense,смысл-редк,hapax,7,37.755028
-21.369225,2.4422464,Ġsigned,смысл-редк,hapax,7,35.751
41.69739,49.802433,Ġof,служ,повторяется,7,39.244595
-19.616434,-13.983219,ued,подслово,повторяется,7,37.459644
-27.063505,54.262714,Ġa,служ,повторяется,7,38.539387
-17.808777,-40.90503,it,подслово,повторяется,7,37.834927
31.157162,-30.434929,.,пункт,повторяется,7,41.904865
-38.027454,-15.993564,Ġcharacters,смысл-част,повторяется,7,35.690075
12.61102,7.448186,Ġany,служ,hapax,7,37.20048
1.2666007,12.849496,Ġsome,служ,повторяется,7,36.648235
15.003507,47.380394,Ġis,служ,повторяется,7,40.674465
-32.39037,-28.20789,ĠLanguage,смысл-редк,hapax,7,35.77125
-1.0753427,-17.918833,ing,подслово,hapax,7,39.06989
-32.10555,-28.251795,ĠEnglish,смысл-част,повторяется,7,33.952385
-20.182438,-1.4490472,Ġsilly,смысл-редк,hapax,7,36.38616
12.625611,-24.581211,'s,подслово,повторяется,7,38.1977
-45.472015,-21.21757,Ġimpaired,смысл-редк,повторяется,7,36.195183
-27.822138,38.98413,Ġwith,служ,повторяется,7,38.193237
-16.123999,41.63731,Ġon,служ,повторяется,7,38.78659
-32.72168,2.6588018,Ġaddress,смысл-редк,hapax,7,36.935955
-18.785023,23.492807,Ġattempt,смысл-редк,повторяется,7,37.107307
-45.427357,-21.219303,Ġdeaf,смысл-редк,повторяется,7,34.92151
66.27618,-5.438749,Ġthe,служ,повторяется,7,39.240906
39.52177,-46.118824,".,",пункт,повторяется,7,38.680695
19.666302,26.086786,Ġbecause,служ,hapax,7,37.862534
-2.6619852,8.779999,Ġalso,служ,hapax,7,38.317196
-6.174358,-30.804087,cent,подслово,hapax,8,37.582935
34.49976,29.797882,Ġthat,служ,повторяется,8,39.23026
28.71914,-59.547096,Ġ.,пункт,повторяется,8,39.73744
-36.094063,5.7238607,Ġtesting,смысл-редк,hapax,8,35.732723
-44.540874,23.84872,ĠFriday,смысл-редк,hapax,8,37.567192
19.62411,-48.95791,Ġ(,пункт,hapax,8,39.244816
47.091175,-46.123905,",",пункт,повторяется,8,41.39144
-13.34424,-17.75866,res,подслово,hapax,8,37.522476
-36.44267,5.672277,Ġnegative,смысл-редк,повторяется,8,37.41996
2.160591,37.713364,Ġhave,служ,повторяется,8,37.95308
3.4088156,45.326984,Ġbeen,служ,повторяется,8,38.66936
-39.188686,-33.635433,ĠSierra,смысл-редк,повторяется,8,35.83151
-27.677889,-37.57209,ĠWest,смысл-част,повторяется,8,35.04867
-39.640057,-33.27363,ĠEbola,смысл-редк,повторяется,8,35.55911
26.51102,4.864908,Ġhe,служ,повторяется,8,37.50692
15.464236,22.827633,Ġwhere,служ,hapax,8,39.18005
16.612284,36.60473,Ġdoes,служ,hapax,8,38.319447
19.071741,-42.54016,Ġ',пункт,повторяется,8,38.200397
-27.726938,-37.709816,ĠWest,смысл-част,повторяется,8,36.589695
-3.0619211,23.628271,Ġmore,служ,повторяется,8,37.54556
58.186905,-2.135287,ĠThe,служ,повторяется,8,38.347397
-39.08841,-22.723782,ĠDoctors,смысл-редк,hapax,8,36.013718
34.508224,30.349573,Ġthat,служ,повторяется,8,40.080997
-14.460427,10.699021,Ġtaken,смысл-част,повторяется,8,36.391068
-6.558159,-11.720811,after,подслово,hapax,8,43.92221
-35.030834,5.2301764,Ġsymptoms,смысл-редк,hapax,8,36.91448
-20.02614,3.3685746,Ġtoe,смысл-редк,hapax,8,36.34063
-42.95224,-25.56672,Ġaid,смысл-редк,hapax,8,35.2309
