набор,текст,условие,полн: каркас ребро,полн: каркас CV,полн: ячейки ребро,q*
механические,1,хапаксы одного домена,0.7287543108036793,0.09992799413444363,0.42934787583615597,0.31166666666666665
механические,1,20 чужих хапаксов,0.7419438045180021,0.09382239250390434,0.423235864261937,0.33666666666666667
механические,1,маркер каждые 3,0.7649642620705164,0.08261605234812852,0.4042553127616804,0.4183333333333333
механические,1,без пунктуации,0.7542155406792665,0.09310663887484595,0.4532405115032942,0.315
механические,1,без служебных,0.7362849657367475,0.08504300330884888,0.42344295139603916,0.2816666666666667
механические,2,исходный,0.7418056719119072,0.10697590712207498,0.38066064546340833,0.3933333333333333
механические,2,перемешивание,0.7320913223634081,0.1037257969171992,0.4551417704150374,0.38833333333333336
механические,2,эхо x2,0.7512802914123542,0.09429906014454247,0.3362152285131783,0.51
механические,2,эхо x4,0.7715374177346805,0.09410760069775574,0.2500576957020369,0.645
механические,2,эхо на четверти,0.7356482041275768,0.10241543225195228,0.3750814450838438,0.4266666666666667
механические,2,словарь к 25,0.7362776537007192,0.11727750254762935,0.41519772856923437,0.6
механические,2,словарь к 60,0.7411747490787609,0.10600177759751044,0.41803487695522584,0.4883333333333333
механические,2,все слова разные,0.7371459330035209,0.1235097804488731,0.43862586768070216,0.18666666666666668
механические,2,чужие хапаксы,0.7190321686912061,0.11945264604323504,0.38917413684935626,0.3983333333333334
механические,2,хапаксы одного домена,0.7104247640312277,0.13003492824408758,0.3901569964767048,0.39999999999999997
механические,2,20 чужих хапаксов,0.7415991981998008,0.10385587654746294,0.39988327403366425,0.37833333333333335
механические,2,маркер каждые 3,0.7550941009845816,0.11192701606247546,0.40253728656430154,0.46166666666666667
механические,2,без пунктуации,0.7349875014584001,0.08941931637825506,0.42776046379459665,0.41500000000000004
механические,2,без служебных,0.7314920785461138,0.1218809700717109,0.38048215891781384,0.37333333333333335
механические,3,исходный,0.7419155706394708,0.10406100754554364,0.43647401194807917,0.33
механические,3,перемешивание,0.7486107870427793,0.09486211015414543,0.4815771606723789,0.32
механические,3,эхо x2,0.7595172217326782,0.09082154943925985,0.3697945673332031,0.4633333333333334
механические,3,эхо x4,0.783985611288918,0.08452764596554481,0.2841264155924031,0.605
механические,3,эхо на четверти,0.737323409318876,0.1067916051930941,0.4228420508570084,0.35333333333333333
механические,3,словарь к 25,0.7504482280120358,0.08996801066984622,0.45191269148724933,0.6083333333333333
механические,3,словарь к 60,0.7424013225270295,0.10411981521779227,0.4659823928232519,0.5166666666666666
механические,3,все слова разные,0.7446634695781627,0.10699591788128036,0.45849358958395176,0.20833333333333334
