текст,условие,среднее: смысловые,разброс: смысловые,среднее: смысл. одиночки,разброс: смысл. одиночки,разброс: все,среднее: все,"смысловых > 0.1, %","одиночек > 0.1, %","смысловых > 0.2, %","одиночек > 0.2, %","смысловых > 0.3, %","одиночек > 0.3, %","смысловых > 0.5, %","одиночек > 0.5, %",расслоение одиночек
9,эхо на четверти,-0.007218470334304742,0.06360468706103815,-0.0008917945846213449,0.06614546780174273,0.06464594373817457,-0.0072110450105908434,4.545454545454546,5.263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.05155946738467371
9,словарь к 25,0.0009920052154206757,0.04507353038542598,,,0.07643857669549972,0.004814553049222361,1.3157894736842104,,0.0,,0.0,,0.0,,
9,словарь к 60,0.002170753011790193,0.05206982446923672,-0.004561554962636532,0.05631346085066312,0.07610833684416754,0.007546539487292343,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043618271423364066
9,все слова разные,0.25432999855719995,0.069498246685294,0.2725286938725559,0.06364350191290948,0.0996402385380642,0.2126587506044569,100.0,100.0,72.41379310344827,85.1063829787234,29.310344827586203,36.17021276595745,0.0,0.0,0.07091101505759417
9,чужие хапаксы,0.08549708920984678,0.07750594529004068,0.11667157291560425,0.08315650595810363,0.08013733538255918,0.07482413932543203,39.743589743589745,58.06451612903226,8.974358974358974,12.903225806451612,1.282051282051282,3.225806451612903,0.0,0.0,0.0913287317662936
9,хапаксы одного домена,0.08023691163841086,0.0706921788852664,0.14603252818207263,0.052533979275770824,0.08087794582983732,0.07669113930366644,40.78947368421053,84.0,3.9473684210526314,12.0,0.0,0.0,0.0,0.0,0.044023574678589916
9,20 чужих хапаксов,0.031604077338433595,0.052254983555230075,0.048089389024299385,0.061969875297894696,0.06135768459030926,0.026251451419366214,6.756756756756757,14.814814814814813,0.0,0.0,0.0,0.0,0.0,0.0,0.04367146971680071
9,маркер каждые 3,-0.01641649495990501,0.09938416654095306,0.08785337059685512,0.0526380113612854,0.09412266666320131,0.010284352337899273,8.91089108910891,26.31578947368421,0.9900990099009901,5.263157894736842,0.0,0.0,0.0,0.0,0.025207106806726276
9,без пунктуации,0.05267484514621033,0.060870161501961007,0.07743813362935886,0.0631339777984666,0.07319178961712686,0.06511875737134253,21.176470588235293,36.0,2.3529411764705883,4.0,0.0,0.0,0.0,0.0,0.08019562924580903
9,без служебных,0.14474749284965943,0.060983021048495414,0.1614319030951711,0.05356945257728301,0.07148422943306018,0.13676148746656241,72.91666666666666,90.0,17.708333333333336,10.0,1.0416666666666665,3.3333333333333335,0.0,0.0,0.048630241771417726
10,исходный,-0.014745679116159049,0.04035345832053376,-0.009611902202015585,0.03489346061223169,0.04460301817481519,-0.02311268129424002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02554533099741921
10,перемешивание,0.3183275146219532,0.080013913216215,0.31772489001340376,0.07755050123242041,0.1026448541734141,0.29965865745335013,100.0,100.0,93.33333333333333,94.44444444444444,64.44444444444444,63.888888888888886,0.0,0.0,0.06973286883096563
10,эхо x2,0.05212092330729001,0.04712302880432006,0.06211311638026689,0.04406721307778549,0.05671772899709738,0.03655195892027399,17.857142857142858,27.586206896551722,0.0,0.0,0.0,0.0,0.0,0.0,0.0235411473644158
10,эхо x4,-0.010502895998953815,0.0683180199901616,0.0075229186556100384,0.057363838604369485,0.0602843858053427,0.0009092281748137657,6.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.047008000391874145
10,эхо на четверти,0.011855662353164766,0.03642519952777755,0.0073574173920155795,0.03882111294301932,0.04696622153343644,-0.004551244265437543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033024502176798434
10,словарь к 25,0.11520252072662035,0.08326458562927713,,,0.08931492410762995,0.024580279789575322,57.89473684210527,,15.789473684210526,,0.0,,0.0,,
10,словарь к 60,0.08456777418106343,0.08829218987297767,0.03645535924864084,0.049908814025095435,0.07636190900292743,0.03532595886061214,31.11111111111111,6.25,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.05061463687235827
10,все слова разные,0.1763553529915703,0.0653450688917056,0.177675578417696,0.06658181872380163,0.0700472812673934,0.14440993453179943,86.36363636363636,85.71428571428571,31.818181818181817,33.33333333333333,2.272727272727273,2.380952380952381,0.0,0.0,0.05063542859507847
10,чужие хапаксы,0.16939704573864822,0.05417868767212488,0.17437433264870736,0.05810449687131243,0.07258273669954973,0.14514299923860677,89.47368421052632,86.66666666666667,26.31578947368421,33.33333333333333,1.7543859649122806,2.2222222222222223,0.0,0.0,0.04996289292595252
10,хапаксы одного домена,0.19536224160965446,0.05515614126653099,0.19836811292288792,0.05211581329432225,0.07914703933234539,0.1622903595644639,97.43589743589743,96.7741935483871,46.15384615384615,51.61290322580645,5.128205128205128,3.225806451612903,0.0,0.0,0.04646110392356925
