набор,текст,условие,зерно,"бессмысленных, %","бессм. среди одиночек, %","бессм. среди повторных, %","бессм. среди смысловых, %","осмысленных одиночек, шт","осмысленных типов, шт","бессмысленных типов, шт"
механические,35,словарь к 25,1.0,93.13026819923373,95.90444676651573,92.34591166409348,94.04630069081895,1.3333333333333333,5.0,58.666666666666664
механические,35,словарь к 60,1.0,45.380596741953326,56.24364560639071,40.40843269569462,36.94444444444444,21.0,45.333333333333336,46.666666666666664
механические,35,хапаксы одного домена,1.0,94.6876853479892,96.87515768015903,93.08780341002252,98.61349342481418,2.0,4.333333333333333,90.0
механические,35,чужие хапаксы,1.0,96.23009554140128,98.11902945770221,94.71019721019722,100.0,1.3333333333333333,3.3333333333333335,96.33333333333333
механические,35,эхо x2,1.0,42.34316702661419,52.13843111404088,39.09003229372115,44.913158500115024,20.666666666666668,49.666666666666664,46.0
механические,35,эхо x4,1.0,15.288831868075029,25.441595441595442,14.694006699402385,13.996101364522417,10.666666666666666,53.0,15.0
механические,35,эхо на четверти,1.0,40.134846941895056,50.82963819805926,33.255558211809706,45.541743970315395,30.333333333333332,57.0,51.0
механические,36,20 чужих хапаксов,1.0,5.901821527942746,5.166556216393057,6.414140782259589,5.2118017018128,67.33333333333333,95.0,9.333333333333334
механические,36,без пунктуации,1.0,57.25599465695783,61.300348592110176,53.97664683851068,49.948465535011884,27.666666666666668,48.666666666666664,67.0
механические,36,без служебных,1.0,47.671140392659375,50.46296296296296,44.7960178223336,54.89613032248284,39.0,58.666666666666664,59.666666666666664
механические,36,все слова разные,1.0,89.27545235691544,97.0338303671637,82.20205457868532,98.48406546080965,2.3333333333333335,6.0,96.33333333333333
механические,36,исходный,1.0,0.5952380952380952,0.9525753555147309,0.34364261168384874,0.7092198581560284,68.66666666666667,97.33333333333333,1.0
механические,36,маркер каждые 3,1.0,21.656267104542966,37.15174023165144,14.95880574973076,16.672797633109468,32.666666666666664,52.333333333333336,30.666666666666668
механические,36,перемешивание,1.0,98.39945544451166,97.6060064088233,98.97544719203336,100.0,1.6666666666666667,2.6666666666666665,93.33333333333333
механические,36,словарь к 25,1.0,37.636070270523334,54.90204004635245,32.76075440018527,30.14696444615582,16.666666666666668,40.333333333333336,40.666666666666664
механические,36,словарь к 60,1.0,39.581118199539254,36.63705482192877,40.74903287362304,31.185400516795866,31.666666666666668,57.0,42.333333333333336
механические,36,хапаксы одного домена,1.0,65.72742784448347,78.2972582972583,56.85324219333632,74.37839937839938,14.666666666666666,28.666666666666668,77.66666666666667
механические,36,чужие хапаксы,1.0,80.78118832898735,92.05138236828378,72.61976955730746,91.43118785975929,5.666666666666667,14.333333333333334,92.0
