mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,policy,genre,text,ntok,L_used
q_small,0.0,8.528045068233427,0.38404306404662214,0.8827398316966037,3.6122881394106416,0.9997853383458946,0.00682822364291705,0.011560395502526077,0.005280571803449371,8,51,256,abs_L,xsum,xsum_5,538,256
q_small,0.3,12.473299303719394,0.948124456412157,0.9198287497437176,3.217100805886699,0.9997367137030743,0.007880058589301624,0.011807030813644204,0.006094002975335862,8,51,256,abs_L,xsum,xsum_5,538,256
q_small,0.6,16.414499990922987,0.8909324515501517,0.9390782539490702,2.6297375279526904,0.9999256134700292,0.004275788812410473,0.00776354150785874,0.003306659392115828,8,51,256,abs_L,xsum,xsum_5,538,256
q_small,0.9,14.931789427151264,0.7631724245828229,0.9330287903617468,1.3773519737282915,0.9999192534447325,0.004426146056439705,0.008046344016614526,0.003422937397170438,8,51,256,abs_L,xsum,xsum_5,538,256
q0.5_range,0.0,4.99609523927219,0.28714849582718,0.799843687498304,3.1214726244681676,0.9987603686100881,0.01487551167069592,0.02451301594688271,0.011503900809054559,8,51,256,abs_L,xsum,xsum_6,381,256
q0.5_range,0.3,11.777507619164258,0.9669258238500057,0.9150923920123126,2.889893951734103,0.9996519489719233,0.009013908724155438,0.015721555229168516,0.006970860173423838,8,51,256,abs_L,xsum,xsum_6,381,256
q_large,0.0,8.690014860657392,0.4389405928479631,0.8849253981684962,3.638122913529993,0.9997412055620177,0.0075160816998242124,0.010902232577174154,0.005812523310902882,8,51,256,abs_L,xsum,xsum_6,381,256
q_large,0.3,6.665529222096678,0.358606362111382,0.8499744031299221,3.330440451073363,0.9994592430894088,0.010436995623181051,0.016939623790268143,0.008071397142602917,8,51,256,abs_L,xsum,xsum_6,381,256
q_large,0.6,4.1645030255489575,0.23050261733342906,0.7598753095231137,3.0004871936462476,0.9981678157692055,0.017186058345382612,0.02761409699645334,0.013290750253208371,8,51,256,abs_L,xsum,xsum_6,381,256
q_large,0.9,4.1239984908339915,0.5982248281152789,0.7575168850758306,1.103982589451988,0.987228579313257,0.04548353625170334,0.0780494321541596,0.03517445994919204,8,51,256,abs_L,xsum,xsum_6,381,256
q_small,0.0,8.690014860657392,0.4389405928479631,0.8849253981684962,3.638122913529993,0.9997412055620177,0.0075160816998242124,0.010902232577174154,0.005812523310902882,8,51,256,abs_L,xsum,xsum_6,381,256
q_small,0.3,13.06402908479135,0.9341871350530393,0.9234539364916018,3.239007257760271,0.9997892398762713,0.007077932060025659,0.011153909070005241,0.005473682529668113,8,51,256,abs_L,xsum,xsum_6,381,256
q_small,0.6,17.41061469105946,0.9364254159849436,0.9425637740111777,2.6525659646777977,0.999935554627213,0.0039945859341732675,0.0067079282275228636,0.0030891925855901655,8,51,256,abs_L,xsum,xsum_6,381,256
q_small,0.9,16.59289917614558,1.4881819001681755,0.9397332564138262,1.3854229884034497,0.9998015373450371,0.006989373583531705,0.012604541681488612,0.0054051962851650506,8,51,256,abs_L,xsum,xsum_6,381,256
q0.5_range,0.0,5.366080025283222,0.2853571860268518,0.8136442253398523,3.0482011583016573,0.9991107071151504,0.012814489456785741,0.024297018337152032,0.009910019829431656,8,51,256,abs_L,xsum,xsum_7,477,256
q0.5_range,0.3,12.887651209880817,1.1883326535070153,0.922406342031253,2.83324171342933,0.999639146508803,0.009251608956541093,0.017022863319692938,0.007154684431451923,8,51,256,abs_L,xsum,xsum_7,477,256
q_large,0.0,9.135644791332082,0.3827236390165977,0.8905386513113117,3.5889440015905145,0.9998409292354865,0.005929712833047753,0.010785311794450081,0.004585713067735301,8,51,256,abs_L,xsum,xsum_7,477,256
q_large,0.3,7.148086729024031,0.34546799066322315,0.8601024248992939,3.267940747364258,0.9996293651208951,0.008742889151948555,0.016354014107257342,0.006761268574492671,8,51,256,abs_L,xsum,xsum_7,477,256
q_large,0.6,4.405536738545682,0.21838600073563683,0.7730129018671829,2.9340456176731013,0.9987303608689391,0.014549696201521706,0.026963897671175907,0.011251933083680821,8,51,256,abs_L,xsum,xsum_7,477,256
q_large,0.9,4.202377816048989,0.3986591078022398,0.7620394824613402,1.0867756806351518,0.9947623239722035,0.029190281601063958,0.04834310355033811,0.022574154863427315,8,51,256,abs_L,xsum,xsum_7,477,256
q_small,0.0,9.135644791332082,0.3827236390165977,0.8905386513113117,3.5889440015905145,0.9998409292354865,0.005929712833047753,0.010785311794450081,0.004585713067735301,8,51,256,abs_L,xsum,xsum_7,477,256
q_small,0.3,13.978911151906296,1.0448851042430383,0.9284636700860903,3.187514530921189,0.9998010340774813,0.006914306599179455,0.01207817100592301,0.005347143617052509,8,51,256,abs_L,xsum,xsum_7,477,256
q_small,0.6,17.304367071869095,0.7476452829648234,0.9422111195487957,2.6203094492414674,0.9999578687037756,0.0032285754796917638,0.0046305705837434985,0.0024968023215017395,8,51,256,abs_L,xsum,xsum_7,477,256
q_small,0.9,16.93976331796206,1.4493450385617404,0.9409672979940841,1.332746889652484,0.9998271611594991,0.0065310633539521325,0.012542495500976969,0.0050507644150166965,8,51,256,abs_L,xsum,xsum_7,477,256
q0.5_range,0.0,5.043254421867816,0.2717880466841243,0.8017153376867232,3.108541874964603,0.9989352065312292,0.013817687964322993,0.028949422288981452,0.010685838260285015,8,51,256,abs_L,xsum,xsum_8,623,256
q0.5_range,0.3,10.764854221035037,0.917760357094724,0.9071051052371938,2.9105413859662153,0.9995428450573437,0.010240938853095237,0.01702804754994336,0.007919777642989073,8,51,256,abs_L,xsum,xsum_8,623,256
q_large,0.0,8.534031400074184,0.41554016013103573,0.8828220857036796,3.6341971691274164,0.999749443829634,0.007377875366653891,0.014258814459149782,0.005705642150565616,8,51,256,abs_L,xsum,xsum_8,623,256
q_large,0.3,6.636168065254571,0.35324647238526385,0.8493106277347364,3.3259704698389734,0.9994651008235257,0.010372175716690576,0.020794354376743485,0.008021268999704304,8,51,256,abs_L,xsum,xsum_8,623,256
q_large,0.6,4.30687342852382,0.21747045420398137,0.7678130048175691,2.9640078772823486,0.9986030357477279,0.015160126617905322,0.03467198494082879,0.011724006321654924,8,51,256,abs_L,xsum,xsum_8,623,256
q_large,0.9,3.8745459260607387,0.3736606731034041,0.7419052402311559,1.2191622245079277,0.9932918498263412,0.03218566971239817,0.06823394076850242,0.02489062292719765,8,51,256,abs_L,xsum,xsum_8,623,256
q_small,0.0,8.534031400074184,0.41554016013103573,0.8828220857036796,3.6341971691274164,0.999749443829634,0.007377875366653891,0.014258814459149782,0.005705642150565616,8,51,256,abs_L,xsum,xsum_8,623,256
q_small,0.3,11.928592984285702,0.8497428184840954,0.9161678161609367,3.2529305960690498,0.9997451359313319,0.00772210756719126,0.012675833490641608,0.00597185236087156,8,51,256,abs_L,xsum,xsum_8,623,256
q_small,0.6,16.44363903562492,0.7635930550999975,0.9391862106779701,2.64671009980674,0.9999457554042342,0.003651681446396726,0.005304753864055378,0.002824009155151806,8,51,256,abs_L,xsum,xsum_8,623,256
q_small,0.9,13.956430820787133,0.5865913096656926,0.9283484428905298,1.4088860802540435,0.9999368642151242,0.0038941589539758154,0.0069983943958567,0.003011527894497874,8,51,256,abs_L,xsum,xsum_8,623,256
q0.5_range,0.0,5.40058668800467,0.16991966136564432,0.8148349322452103,3.0931588473898706,0.9996933787220922,0.007533356766367827,0.016242827267360482,0.005825882895190598,8,51,256,abs_L,xsum,xsum_10,484,256
q0.5_range,0.3,13.023868064219453,0.8879688898763686,0.9232178954002686,2.8420752009291856,0.9998071167146485,0.0067693124314129995,0.011416591962058575,0.00523501311957439,8,51,256,abs_L,xsum,xsum_10,484,256
q_large,0.0,8.948973137621953,0.263366713278419,0.8882553355986792,3.627497068689375,0.9999177627017464,0.004252470011605089,0.008405774511064834,0.0032886259168721024,8,51,256,abs_L,xsum,xsum_10,484,256
q_large,0.3,7.020543740440386,0.21916220662421856,0.8575608902997488,3.316372461122505,0.9998387129135937,0.00574977632193498,0.01216004565302864,0.0044465600878854416,8,51,256,abs_L,xsum,xsum_10,484,256
q_large,0.6,4.515540966084747,0.13796236768801245,0.7785425915719104,2.9719406261114054,0.9995470274747201,0.008749190049370775,0.018316611423027318,0.006766141341262507,8,51,256,abs_L,xsum,xsum_10,484,256
q_large,0.9,3.651110210342929,0.2703582684944944,0.726110705404843,1.3695549864279046,0.9953409541196591,0.026225063952099233,0.0495119554104857,0.02028101897230053,8,51,256,abs_L,xsum,xsum_10,484,256
q_small,0.0,8.948973137621953,0.263366713278419,0.8882553355986792,3.627497068689375,0.9999177627017464,0.004252470011605089,0.008405774511064834,0.0032886259168721024,8,51,256,abs_L,xsum,xsum_10,484,256
q_small,0.3,14.02503980987797,0.7531066068797317,0.9286989546157516,3.199960263564701,0.999898034428855,0.004950796062770876,0.008680272256906818,0.0038286727941042684,8,51,256,abs_L,xsum,xsum_10,484,256
q_small,0.6,17.039285735118355,0.6274793203681766,0.941312093972403,2.636747574783604,0.9999683725972167,0.0027946242971971062,0.004152849522544244,0.002161208395732803,8,51,256,abs_L,xsum,xsum_10,484,256
q_small,0.9,17.567726547775365,0.8577350315610252,0.9430774382057631,1.343220000764566,0.9999478951733419,0.0035937578190735563,0.005710193461845314,0.0027792142144480816,8,51,256,abs_L,xsum,xsum_10,484,256
q0.5_range,0.0,5.127211614202524,0.238309615751032,0.8049622143096316,3.1099007917807273,0.9992396245752827,0.01172211199346036,0.01938017629632771,0.009065235309589057,8,51,256,abs_L,xsum,xsum_11,401,256
q0.5_range,0.3,12.340504540711233,0.7237505388375748,0.9189660360562238,2.8419273046476015,0.9998395540429255,0.006145395702269325,0.011717935125092005,0.0047525103106580485,8,51,256,abs_L,xsum,xsum_11,401,256
q_large,0.0,8.385344656049682,0.3197901767970411,0.8807443174946255,3.636901786755802,0.999840033648399,0.005880984952584048,0.010768801120035754,0.004548029610796187,8,51,256,abs_L,xsum,xsum_11,401,256
q_large,0.3,6.621472509195005,0.27026376383613565,0.8489761909286287,3.3302606684212686,0.9996837866527521,0.00797086483502073,0.014697429783505633,0.006164227520663812,8,51,256,abs_L,xsum,xsum_11,401,256
