contrast,mode,q,n,diff,rel,effect
topics_up − topics_down,q_large,0.35,186,1.0331854636229272,0.1777031007709484,1.0168064409170507
topics_up − topics_down,q_large,0.4,186,0.9972297700294324,0.183357770547737,1.020091896550403
topics_up − topics_down,q_large,0.45,186,0.9555189883891565,0.189142493687345,1.0205494864376603
topics_up − topics_down,q_large,0.5,186,0.9043724118188197,0.19421944775220448,1.0161390900466207
topics_up − topics_down,q_large,0.55,186,0.8390174356159872,0.19687943475680328,1.0031901628811142
topics_up − topics_down,q_large,0.6,186,0.7482992573490089,0.192482932397664,0.9702159042020192
topics_up − topics_down,q_large,0.65,186,0.615941165547054,0.17301933015823762,0.8925452746281131
topics_up − topics_down,q_large,0.7,186,0.4370204747901562,0.13260019197187276,0.7397537239700331
topics_up − topics_down,q_large,0.75,186,0.24639897305214153,0.07958929025492344,0.5010025706469587
topics_up − topics_down,q_large,0.8,186,0.10465662448709263,0.035178785761035,0.23194792543865014
topics_up − topics_down,q_large,0.85,186,0.05890663329150761,0.01812019115862954,0.1155619543687262
topics_up − topics_down,q_large,0.9,186,0.09820296063558587,0.027224785281323903,0.1590900847635705
topics_up − topics_down,q_small,0.0,186,1.150289070139733,0.1413624360836564,0.9394230350982743
topics_up − topics_down,q_small,0.05,186,1.271598414108012,0.1505203592408121,0.9521004745583045
topics_up − topics_down,q_small,0.1,186,1.4592400591650347,0.16580055671104796,0.9652733185838611
topics_up − topics_down,q_small,0.15,186,1.8109329970424435,0.19235657180500748,0.9883043716928905
topics_up − topics_down,q_small,0.2,186,2.266969454486571,0.21966874662193925,1.0334763322515692
topics_up − topics_down,q_small,0.25,186,2.567282524915813,0.2242343707785588,1.0743264042896785
topics_up − topics_down,q_small,0.3,186,2.497355665953596,0.19701299722622811,1.043569580652958
topics_up − topics_down,q_small,0.35,186,2.1368270257560926,0.15400510639959644,0.9230032989327295
topics_up − topics_down,q_small,0.4,186,1.7395325064554277,0.11673013841767882,0.7715283854211716
topics_up − topics_down,q_small,0.45,186,1.4364190711882663,0.09156895244331667,0.6332838565050831
topics_up − topics_down,q_small,0.5,186,1.2222253579844844,0.07526091499702399,0.5217630281363146
topics_up − topics_down,q_small,0.55,186,1.0598225093449982,0.06362465155548439,0.4330595790331947
topics_up − topics_down,q_small,0.6,186,0.9262161451098138,0.05451751042534779,0.35958708500524056
topics_up − topics_down,q_small,0.65,186,0.7985855618921756,0.04623477364083646,0.2935996832825351
topics_up − topics_down,q_small,0.7,186,0.671439119181185,0.0382766169049137,0.23233797362891573
topics_up − topics_down,q_small,0.75,186,0.5319959786119687,0.029855970443593283,0.17210596492965827
topics_up − topics_down,q_small,0.8,186,0.378623144080469,0.020853755017044288,0.1135344067270996
topics_up − topics_down,q_small,0.85,186,0.21311460579364835,0.0111161079056415,0.05819630512578673
topics_up − topics_down,q_small,0.9,186,0.10072534533480802,0.004477776128535645,0.024649087596582787
syntax_complex − syntax_simple,q0.5_range,0.0,188,1.124629042464102,0.23541333933820738,1.6885735015136583
syntax_complex − syntax_simple,q0.5_range,0.05,188,1.33851637657697,0.24844533837149588,1.7645508797540175
syntax_complex − syntax_simple,q0.5_range,0.1,188,1.5898884271818843,0.26406068814501993,1.7994953654545764
syntax_complex − syntax_simple,q0.5_range,0.15,188,2.0139885926811996,0.29139826111696987,1.7717758013343514
syntax_complex − syntax_simple,q0.5_range,0.2,188,2.659279568936691,0.32643545345641956,1.7395387925069068
syntax_complex − syntax_simple,q0.5_range,0.25,188,3.412620845979118,0.3520802781764631,1.7726202207793493
syntax_complex − syntax_simple,q0.5_range,0.3,188,3.9520886965902644,0.34671642770572575,1.8194697899962997
syntax_complex − syntax_simple,q0.5_range,0.35,188,4.05172144852939,0.31060238160251746,1.7989745020959311
